Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
303,Pedro Bigas,es,DF,,Eibar,La Liga,29,1990,17.0,0,10,0,0.0,0.59,0.00,0.00,,13.6,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
304,El Bilal Touré,ml,FW,,Reims,Ligue 1,18,2001,13.8,4,19,9,47.4,1.37,0.65,0.21,0.44,11.2,0,0,0,3.1,3.1,0.16,+0.9,+0.9,Matches
305,Cristiano Biraghi,it,DF,,Fiorentina,Serie A,27,1992,31.1,1,25,6,24.0,0.80,0.19,0.04,0.17,20.5,7,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
306,Davide Biraschi,it,DF,,Genoa,Serie A,26,1994,10.2,0,2,0,0.0,0.20,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
307,Yves Bissouma,ml,MF,,Brighton,Premier League,23,1996,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,26.5,2,0,0,1.4,1.4,0.03,-0.4,-0.4,Matches
308,Leonardo Bittencourt,de,MF,FW,Werder Bremen,Bundesliga,26,1993,16.8,4,42,10,23.8,2.50,0.59,0.07,0.30,22.1,7,1,1,4.3,3.6,0.08,-0.3,-0.6,Matches
309,Alejandro Blanco,es,MF,,Valencia,La Liga,21,1998,6.4,1,7,2,28.6,1.09,0.31,0.14,0.50,15.3,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
310,Antonio Blanco,es,MF,FW,Real Madrid,La Liga,20,2000,2.4,0,2,0,0.0,0.82,0.00,0.00,,32.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
311,Rubén Blanco,es,GK,,Celta Vigo,La Liga,25,1995,18.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
312,Ludovic Blas,fr,MF,FW,Nantes,Ligue 1,22,1997,31.0,10,71,24,33.8,2.29,0.78,0.14,0.42,19.8,0,0,0,8.1,8.1,0.11,+1.9,+1.9,Matches
313,Alejandro Blesa,es,MF,,Levante,La Liga,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
314,Jérôme Boateng,de,DF,,Bayern Munich,Bundesliga,31,1988,26.3,1,9,3,33.3,0.34,0.11,0.11,0.33,18.1,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
315,Antonin Bobichon,fr,MF,FW,Angers,Ligue 1,24,1995,10.1,0,22,3,13.6,2.17,0.30,0.00,0.00,24.1,3,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
316,Yann Bodiger,fr,MF,,Cádiz,La Liga,25,1995,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
317,Jean-Paul Boëtius,nl,MF,FW,Mainz 05,Bundesliga,26,1994,22.9,2,29,10,34.5,1.26,0.44,0.07,0.20,20.6,0,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches
318,Sacha Boey,fr,DF,,Dijon,Ligue 1,19,2000,20.7,0,10,1,10.0,0.48,0.05,0.00,0.00,25.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
319,Sacha Boey,fr,DF,,Rennes,Ligue 1,19,2000,1.4,0,1,0,0.0,0.73,0.00,0.00,,11.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
320,Jeremie Boga,ci,FW,MF,Sassuolo,Serie A,23,1997,19.8,4,32,15,46.9,1.61,0.76,0.13,0.27,15.6,0,0,0,3.6,3.6,0.11,+0.4,+0.4,Matches
321,Melayro Bogarde,nl,DF,MF,Hoffenheim,Bundesliga,18,2002,3.1,0,4,2,50.0,1.30,0.65,0.00,0.00,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
322,Jayden Bogle,eng,DF,MF,Sheffield Utd,Premier League,20,2000,12.3,2,17,7,41.2,1.38,0.57,0.12,0.29,13.1,0,0,0,1.9,1.9,0.11,+0.1,+0.1,Matches
323,Quentin Boisgard,fr,MF,FW,Lorient,Ligue 1,23,1997,14.6,2,24,7,29.2,1.64,0.48,0.08,0.29,21.6,3,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches
324,Willy Boly,ci,DF,,Wolves,Premier League,29,1991,20.9,1,15,3,20.0,0.72,0.14,0.07,0.33,13.3,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
325,Giacomo Bonaventura,it,MF,,Fiorentina,Serie A,30,1989,25.1,3,44,11,25.0,1.76,0.44,0.07,0.27,20.9,1,0,0,2.7,2.7,0.06,+0.3,+0.3,Matches
326,Federico Bonazzoli,it,FW,,Torino,Serie A,23,1997,6.3,2,21,5,23.8,3.35,0.80,0.10,0.40,17.3,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
327,Federico Bonazzoli,it,FW,,Sampdoria,Serie A,23,1997,1.5,0,4,0,0.0,2.75,0.00,0.00,,20.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
328,Kevin Bonifazi,it,DF,,Udinese,Serie A,24,1996,27.4,0,17,0,0.0,0.62,0.00,0.00,,14.8,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
329,Leonardo Bonucci,it,DF,,Juventus,Serie A,33,1987,22.5,2,16,3,18.8,0.71,0.13,0.13,0.67,13.7,0,0,0,2.5,2.5,0.16,-0.5,-0.5,Matches
330,Elias Bördner,de,GK,,Eint Frankfurt,Bundesliga,18,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
