Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
14,Abdel Abqar,ma,DF,,Alavés,La Liga,25,1999,8.5,0,4,0,0.0,0.47,0.00,0.00,,7.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3
15,Tammy Abraham,eng,FW,,Roma,Serie A,27,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
16,Tammy Abraham,eng,FW,,Milan,Serie A,27,1997,3.9,1,12,6,50.0,3.07,1.53,0.00,0.00,15.9,0,1,2,3.4,1.7,0.14,-2.4,-1.7
17,Federico Accornero,it,MF,,Genoa,Serie A,20,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
18,Francesco Acerbi,it,DF,,Inter,Serie A,36,1988,6.3,0,1,0,0.0,0.16,0.00,0.00,,11.7,0,0,0,0.2,0.2,0.15,-0.2,-0.2
19,Akor Adams,ng,FW,,Montpellier,Ligue 1,24,2000,7.1,3,19,10,52.6,2.67,1.40,0.16,0.30,12.9,0,0,0,3.9,3.9,0.20,-0.9,-0.9
20,Che Adams,sct,FW,MF,Torino,Serie A,28,1996,6.3,3,14,8,57.1,2.23,1.27,0.21,0.38,18.0,0,0,0,2.2,2.2,0.16,+0.8,+0.8
21,Junior Adamu,at,FW,,Freiburg,Bundesliga,23,2001,6.3,2,14,5,35.7,2.24,0.80,0.14,0.40,14.3,0,0,0,2.4,2.4,0.17,-0.4,-0.4
22,Tosin Adarabioyo,eng,DF,,Chelsea,Premier League,27,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
23,Martin Adeline,fr,MF,,Reims,Ligue 1,20,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
24,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,22,2002,3.4,2,8,4,50.0,2.36,1.18,0.25,0.50,16.8,0,0,0,0.7,0.7,0.09,+1.3,+1.3
25,Simon Adingra,ci,FW,MF,Brighton,Premier League,22,2002,1.5,1,5,1,20.0,3.28,0.66,0.20,1.00,14.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7
26,Amine Adli,ma,MF,,Leverkusen,Bundesliga,24,2000,2.3,0,5,0,0.0,2.20,0.00,0.00,,13.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4
27,Yacine Adli,fr,MF,,Fiorentina,Serie A,24,2000,2.2,1,1,1,100.0,0.45,0.45,1.00,1.00,20.8,0,0,0,0.0,0.0,0.02,+1.0,+1.0
28,Adryelson,br,DF,,Lyon,Ligue 1,26,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
29,Vasilije Adžić,me,MF,,Juventus,Serie A,18,2006,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0
30,Michel Aebischer,ch,MF,,Bologna,Serie A,27,1997,4.2,0,5,2,40.0,1.19,0.48,0.00,0.00,21.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2
31,Oladapo Afolayan,eng,FW,MF,St. Pauli,Bundesliga,26,1998,4.7,1,16,6,37.5,3.37,1.26,0.06,0.17,18.6,0,0,0,1.3,1.3,0.08,-0.3,-0.3
32,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,27,1997,8.0,0,8,3,37.5,1.00,0.37,0.00,0.00,26.0,1,0,0,0.4,0.4,0.05,-0.4,-0.4
33,Asher Agbinone,eng,MF,,Crystal Palace,Premier League,19,2005,0.0,0,1,0,0.0,30.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
34,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,23,2000,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
35,Lucien Agoume,fr,MF,,Sevilla,La Liga,22,2002,6.7,0,3,0,0.0,0.45,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
36,Felix Agu,de,DF,,Werder Bremen,Bundesliga,25,1999,6.5,2,3,3,100.0,0.46,0.46,0.67,0.67,12.9,0,0,0,0.7,0.7,0.22,+1.3,+1.3
37,Álvaro Aguado,es,MF,,Espanyol,La Liga,28,1996,2.5,0,5,0,0.0,1.97,0.00,0.00,,24.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2
38,Nayef Aguerd,ma,DF,,Real Sociedad,La Liga,28,1996,5.7,0,6,3,50.0,1.05,0.53,0.00,0.00,11.6,0,0,0,1.1,1.1,0.19,-1.1,-1.1
39,Ruben Aguilar,fr,DF,,Lens,Ligue 1,31,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,13.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
40,Honest Ahanor,it,DF,,Genoa,Serie A,16,2008,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
41,Jean-Eudes Aholou,ci,MF,,Angers,Ligue 1,30,1994,6.0,0,12,1,8.3,2.01,0.17,0.00,0.00,22.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7
42,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,29,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
43,Ayman Aiki,fr,FW,MF,Saint-Étienne,Ligue 1,19,2005,1.0,0,2,0,0.0,2.07,0.00,0.00,,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
44,Ola Aina,ng,DF,,Nott'ham Forest,Premier League,28,1996,8.6,0,3,0,0.0,0.35,0.00,0.00,,26.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
45,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,23,2001,7.3,2,9,3,33.3,1.24,0.41,0.22,0.67,14.7,0,0,0,1.0,1.0,0.11,+1.0,+1.0
46,Kristoffer Ajer,no,DF,,Brentford,Premier League,26,1998,7.1,0,1,1,100.0,0.14,0.14,0.00,0.00,6.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3
47,Ludovic Ajorque,fr,FW,,Brest,Ligue 1,30,1994,6.5,2,6,3,50.0,0.93,0.46,0.33,0.67,11.9,0,0,0,1.2,1.2,0.21,+0.8,+0.8
48,Manuel Akanji,ch,DF,,Manchester City,Premier League,29,1995,6.7,0,4,0,0.0,0.60,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
49,Ümit Akdag,ro,DF,,Toulouse,Ligue 1,21,2003,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
50,Nathan Aké,nl,DF,,Manchester City,Premier League,29,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
51,Ilias Akhomach,ma,MF,FW,Villarreal,La Liga,20,2004,5.1,0,12,4,33.3,2.36,0.79,0.00,0.00,23.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4
52,Sergio Akieme,es,DF,,Reims,Ligue 1,26,1997,5.0,1,5,1,20.0,1.00,0.20,0.20,1.00,18.8,0,0,0,0.2,0.2,0.04,+0.8,+0.8
53,Maghnes Akliouche,fr,FW,MF,Monaco,Ligue 1,22,2002,4.4,0,9,1,11.1,2.07,0.23,0.00,0.00,17.0,0,0,0,1.0,1.0,0.11,-1.0,-1.0
54,Clément Akpa,ci,DF,,Auxerre,Ligue 1,22,2001,5.0,0,2,0,0.0,0.40,0.00,0.00,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
55,David Akpan Ankeye,ng,FW,MF,Genoa,Serie A,22,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
56,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,29,1995,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
57,Andreas Albers,dk,FW,,St. Pauli,Bundesliga,34,1990,0.3,0,1,0,0.0,3.33,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1
58,Raúl Albiol,es,DF,,Villarreal,La Liga,39,1985,6.2,0,1,0,0.0,0.16,0.00,0.00,,4.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
59,Carlos Alcaraz,ar,MF,,Southampton,Premier League,21,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
60,Omar Alderete,py,DF,,Getafe,La Liga,27,1996,9.0,0,15,5,33.3,1.67,0.56,0.00,0.00,21.0,2,0,0,0.4,0.4,0.02,-0.4,-0.4
61,Carles Aleñá,es,MF,FW,Getafe,La Liga,26,1998,3.4,0,4,1,25.0,1.18,0.30,0.00,0.00,12.9,0,0,0,0.8,0.8,0.19,-0.8,-0.8
62,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,26,1998,7.4,0,8,2,25.0,1.09,0.27,0.00,0.00,25.2,2,0,0,0.3,0.3,0.04,-0.3,-0.3
63,Alfon,es,FW,MF,Celta Vigo,La Liga,25,1999,2.3,0,9,2,22.2,3.93,0.87,0.00,0.00,16.1,0,0,0,0.8,0.8,0.09,-0.8,-0.8
64,Mohamed Ali Cho,fr,FW,,Nice,Ligue 1,20,2004,4.8,2,10,6,60.0,2.10,1.26,0.20,0.33,16.3,0,0,0,1.2,1.2,0.12,+0.8,+0.8
65,Faride Alidou,de,FW,MF,Hellas Verona,Serie A,23,2001,0.7,0,1,0,0.0,1.53,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0
66,Alisson,br,GK,,Liverpool,Premier League,32,1992,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
67,Jim Allevinah,ga,FW,,Angers,Ligue 1,29,1995,3.4,0,5,0,0.0,1.48,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3
68,Domingos André Ribeiro Almeida,pt,FW,MF,Valencia,La Liga,24,2000,5.0,0,3,1,33.3,0.59,0.20,0.00,0.00,21.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
69,Iker Almena,es,FW,DF,Girona,La Liga,20,2004,0.5,0,1,0,0.0,1.87,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
70,Miguel Almirón,py,FW,,Newcastle Utd,Premier League,30,1994,0.4,0,2,0,0.0,4.74,0.00,0.00,,15.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2
71,Pontus Almqvist,se,FW,MF,Parma,Serie A,25,1999,2.5,1,6,4,66.7,2.41,1.61,0.17,0.25,18.3,0,0,0,0.5,0.5,0.08,+0.5,+0.5
72,Marcos Alonso,es,DF,MF,Celta Vigo,La Liga,33,1990,5.1,0,4,1,25.0,0.78,0.19,0.00,0.00,20.3,1,0,0,0.3,0.3,0.06,-0.3,-0.3
73,Giorgio Altare,it,DF,,Venezia,Serie A,26,1998,2.2,0,3,1,33.3,1.39,0.46,0.00,0.00,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
74,Adrià Altimira,es,FW,DF,Leganés,La Liga,23,2001,3.0,0,3,0,0.0,1.01,0.00,0.00,,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
75,Sergi Altimira,es,MF,,Betis,La Liga,23,2001,4.7,0,7,1,14.3,1.50,0.21,0.00,0.00,23.7,0,0,0,0.3,0.2,0.03,-0.3,-0.2
76,Edson Álvarez,mx,MF,DF,West Ham,Premier League,27,1997,3.0,0,3,0,0.0,0.99,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
77,Hugo Álvarez,es,MF,DF,Celta Vigo,La Liga,21,2003,8.5,1,6,3,50.0,0.71,0.35,0.17,0.33,18.0,1,0,0,0.4,0.4,0.07,+0.6,+0.6
78,Julián Álvarez,ar,FW,MF,Atlético Madrid,La Liga,24,2000,6.1,3,17,7,41.2,2.81,1.16,0.18,0.43,16.7,0,0,0,2.0,2.0,0.12,+1.0,+1.0
79,Yeray Álvarez,es,DF,,Athletic Club,La Liga,29,1995,4.0,0,1,0,0.0,0.25,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
80,Skelly Alvero,fr,MF,,Werder Bremen,Bundesliga,22,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
81,Selim Amallah,ma,MF,FW,Valladolid,La Liga,27,1996,5.9,2,11,4,36.4,1.87,0.68,0.09,0.25,22.6,0,1,1,2.5,1.7,0.15,-0.5,-0.7
82,Amath,sn,FW,DF,Valladolid,La Liga,28,1996,3.3,0,5,1,20.0,1.54,0.31,0.00,0.00,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4
83,Jordan Amavi,fr,DF,,Brest,Ligue 1,30,1994,4.8,0,1,0,0.0,0.21,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.01,0.0,0.0
84,Aurele Amenda,ch,DF,,Eint Frankfurt,Bundesliga,21,2003,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
85,Kelvin Amian,fr,DF,,Nantes,Ligue 1,26,1998,6.2,0,3,1,33.3,0.48,0.16,0.00,0.00,23.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
86,Michael Amir Murillo,pa,DF,,Marseille,Ligue 1,28,1996,7.3,0,3,0,0.0,0.41,0.00,0.00,,23.7,1,0,0,0.1,0.1,0.05,-0.1,-0.1
87,Nadiem Amiri,de,MF,,Mainz 05,Bundesliga,27,1996,6.2,2,15,7,46.7,2.40,1.12,0.07,0.14,30.4,3,1,1,1.3,0.5,0.03,+0.7,+0.5
88,Samuel Amo-Ameyaw,eng,DF,,Southampton,Premier League,18,2006,0.1,0,1,0,0.0,9.00,0.00,0.00,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
89,Mathis Amougou,fr,MF,,Saint-Étienne,Ligue 1,18,2006,6.7,0,5,1,20.0,0.75,0.15,0.00,0.00,19.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
90,Mohamed Amoura,dz,FW,,Wolfsburg,Bundesliga,24,2000,4.4,1,12,4,33.3,2.71,0.90,0.08,0.25,18.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3
91,Sofyan Amrabat,ma,MF,,Fiorentina,Serie A,28,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
92,Joachim Andersen,dk,DF,,Crystal Palace,Premier League,28,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0
93,Joachim Andersen,dk,DF,,Fulham,Premier League,28,1996,4.7,0,5,1,20.0,1.06,0.21,0.00,0.00,17.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
94,Elliot Anderson,eng,MF,FW,Nott'ham Forest,Premier League,21,2002,6.3,0,15,3,20.0,2.37,0.47,0.00,0.00,19.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8
95,André,br,MF,,Wolves,Premier League,23,2001,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
96,Benjamin André,fr,MF,,Lille,Ligue 1,34,1990,5.9,0,4,1,25.0,0.68,0.17,0.00,0.00,15.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
97,Marcos André,br,FW,,Valladolid,La Liga,28,1996,2.8,0,3,0,0.0,1.07,0.00,0.00,,17.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
98,Robert Andrich,de,MF,DF,Leverkusen,Bundesliga,30,1994,4.5,2,10,4,40.0,2.20,0.88,0.20,0.50,24.8,0,0,0,0.5,0.5,0.05,+1.5,+1.5
99,Angeliño,es,DF,,Roma,Serie A,27,1997,7.6,0,5,0,0.0,0.65,0.00,0.00,,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
100,Lorenzo Anghelè,it,FW,,Juventus,Serie A,19,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
101,Faustino Anjorin,eng,MF,,Empoli,Serie A,22,2001,3.3,0,4,0,0.0,1.22,0.00,0.00,,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
102,Waldemar Anton,de,DF,,Dortmund,Bundesliga,28,1996,7.0,0,6,0,0.0,0.86,0.00,0.00,,12.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
103,Michail Antonio,jm,FW,,West Ham,Premier League,34,1990,5.4,1,14,3,21.4,2.58,0.55,0.07,0.33,12.0,0,0,0,1.8,1.8,0.13,-0.8,-0.8
104,Antoniu,es,MF,DF,Espanyol,La Liga,22,2002,0.7,0,3,0,0.0,4.58,0.00,0.00,,20.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
105,Antony,br,FW,,Manchester Utd,Premier League,24,2000,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,22.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
106,Anuar,ma,MF,FW,Valladolid,La Liga,29,1995,1.2,1,3,1,33.3,2.43,0.81,0.33,1.00,15.7,0,0,0,0.6,0.6,0.19,+0.4,+0.4
107,Dennis Appiah,fr,DF,,Saint-Étienne,Ligue 1,32,1992,5.9,0,2,0,0.0,0.34,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
108,Aritz Arambarri,es,DF,,Leganés,La Liga,26,1998,2.0,0,1,0,0.0,0.51,0.00,0.00,,15.7,0,0,0,0.0,0.0,0.02,0.0,0.0
109,Mauro Arambarri,uy,MF,FW,Getafe,La Liga,29,1995,6.2,3,9,3,33.3,1.45,0.48,0.22,0.67,17.6,1,1,1,1.4,0.6,0.07,+1.6,+1.4
110,Jon Aramburu,ve,DF,,Real Sociedad,La Liga,22,2002,5.8,0,4,2,50.0,0.68,0.34,0.00,0.00,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
111,Julian Araujo,mx,DF,,Bournemouth,Premier League,23,2001,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
112,Cameron Archer,eng,FW,,Southampton,Premier League,23,2001,3.9,2,12,6,50.0,3.08,1.54,0.17,0.33,11.7,0,0,1,3.4,2.6,0.21,-1.4,-0.6
113,Carlens Arcus,ht,DF,,Angers,Ligue 1,28,1996,6.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
114,Alphonse Areola,fr,GK,,West Ham,Premier League,31,1993,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
115,Adu Ares,es,FW,,Athletic Club,La Liga,23,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
116,Jesús Areso,es,DF,,Osasuna,La Liga,25,1999,8.8,0,3,0,0.0,0.34,0.00,0.00,,21.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
117,Joe Aribo,ng,MF,,Southampton,Premier League,28,1996,5.0,1,7,3,42.9,1.40,0.60,0.14,0.33,13.1,0,0,0,1.2,1.2,0.18,-0.2,-0.2
118,Adam Armstrong,eng,FW,,Southampton,Premier League,27,1997,2.6,0,7,1,14.3,2.73,0.39,0.00,0.00,19.6,0,0,0,0.8,0.8,0.11,-0.8,-0.8
119,Harrison Armstrong,eng,MF,,Everton,Premier League,17,2007,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
120,José Arnaiz,es,FW,,Osasuna,La Liga,29,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
121,Hákon Arnar Haraldsson,is,MF,,Lille,Ligue 1,21,2003,1.9,0,6,1,16.7,3.21,0.54,0.00,0.00,19.8,2,0,0,0.5,0.5,0.08,-0.5,-0.5
122,Marko Arnautović,at,FW,,Inter,Serie A,35,1989,0.4,0,2,0,0.0,4.50,0.00,0.00,,4.7,0,0,0,0.9,0.9,0.44,-0.9,-0.9
123,Maximilian Arnold,de,MF,,Wolfsburg,Bundesliga,30,1994,6.4,1,5,2,40.0,0.78,0.31,0.20,0.50,29.5,1,0,0,0.1,0.1,0.02,+0.9,+0.9
124,Jann-Fiete Arp,de,FW,MF,Holstein Kiel,Bundesliga,24,2000,2.1,1,5,2,40.0,2.39,0.96,0.00,0.00,19.9,0,1,1,1.1,0.3,0.06,-0.1,-0.3
125,Kepa Arrizabalaga,es,GK,,Bournemouth,Premier League,30,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
126,Arthur,br,DF,,Leverkusen,Bundesliga,21,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
127,Takuma Asano,jp,FW,,Mallorca,La Liga,29,1994,3.5,0,9,3,33.3,2.54,0.85,0.00,0.00,12.8,0,0,0,0.7,0.7,0.08,-0.7,-0.7
128,Marco Asensio,es,FW,MF,Paris S-G,Ligue 1,28,1996,3.7,2,12,7,58.3,3.22,1.88,0.17,0.29,15.4,2,0,0,3.6,3.6,0.30,-1.6,-1.6
129,Kristjan Asllani,al,MF,,Inter,Serie A,22,2002,1.6,0,3,1,33.3,1.86,0.62,0.00,0.00,17.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4
130,Iago Aspas,es,FW,MF,Celta Vigo,La Liga,37,1987,7.0,4,15,7,46.7,2.14,1.00,0.20,0.43,20.8,1,1,2,3.1,1.5,0.10,+0.9,+1.5
131,Yaser Asprilla,co,FW,MF,Girona,La Liga,20,2003,3.8,1,6,1,16.7,1.59,0.26,0.17,1.00,22.0,0,0,0,0.6,0.6,0.10,+0.4,+0.4
132,Lorenz Assignon,tg,DF,MF,Rennes,Ligue 1,24,2000,4.7,0,1,0,0.0,0.21,0.00,0.00,,14.5,0,0,0,0.0,0.0,0.03,0.0,0.0
133,Dehmaine Assoumani,fr,MF,FW,Nantes,Ligue 1,19,2005,0.4,0,2,1,50.0,5.29,2.65,0.00,0.00,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
134,Valentin Atangana Edoa,fr,MF,,Reims,Ligue 1,19,2005,7.6,0,7,1,14.3,0.93,0.13,0.00,0.00,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
135,Arthur Atta,fr,MF,,Udinese,Serie A,21,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
136,Noah Atubolu,de,GK,,Freiburg,Bundesliga,22,2002,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
137,Emil Audero,it,GK,,Como,Serie A,27,1997,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
138,Tommaso Augello,it,DF,,Cagliari,Serie A,30,1994,7.2,0,2,0,0.0,0.28,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
139,Carlos Augusto,br,DF,,Inter,Serie A,25,1999,2.1,0,1,0,0.0,0.47,0.00,0.00,,7.0,0,0,0,0.3,0.3,0.30,-0.3,-0.3
140,Yann Aurel Bisseck,de,DF,,Inter,Serie A,23,2000,2.7,0,3,0,0.0,1.10,0.00,0.00,,10.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
141,Ezequiel Ávila,ar,FW,,Betis,La Liga,30,1994,2.8,1,8,5,62.5,2.82,1.76,0.13,0.20,11.7,0,0,0,0.9,0.9,0.12,+0.1,+0.1
142,Taiwo Awoniyi,ng,FW,,Nott'ham Forest,Premier League,27,1997,1.1,0,3,1,33.3,2.78,0.93,0.00,0.00,11.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3
143,Yasin Ayari,se,MF,FW,Brighton,Premier League,21,2003,3.1,0,6,1,16.7,1.91,0.32,0.00,0.00,17.8,0,0,0,0.5,0.5,0.09,-0.5,-0.5
144,Florian Ayé,fr,FW,,Auxerre,Ligue 1,27,1997,2.5,0,3,1,33.3,1.19,0.40,0.00,0.00,10.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3
145,André Ayew,gh,FW,,Le Havre,Ligue 1,34,1989,1.3,0,2,0,0.0,1.57,0.00,0.00,,15.9,1,0,0,0.2,0.2,0.08,-0.2,-0.2
146,Jordan Ayew,gh,FW,MF,Crystal Palace,Premier League,33,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5
147,Jordan Ayew,gh,FW,MF,Leicester City,Premier League,33,1991,4.5,1,7,2,28.6,1.56,0.44,0.14,0.50,19.6,1,0,0,0.4,0.4,0.06,+0.6,+0.6
148,Neil El Aynaoui,fr,MF,,Lens,Ligue 1,23,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
149,César Azpilicueta,es,DF,,Atlético Madrid,La Liga,35,1989,4.3,0,3,1,33.3,0.69,0.23,0.00,0.00,11.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
