Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Rodrigo Abajas,es,DF,,Valencia,La Liga,21,2003,0.7,0,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2,James Abankwah,ie,DF,,Udinese,Serie A,20,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
3,Keyliane Abdallah,fr,FW,,Marseille,Ligue 1,18,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
4,Yunis Abdelhamid,ma,DF,,Saint-Étienne,Ligue 1,37,1987,5.9,0,2,1,50.0,0.34,0.17,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
5,Himad Abdelli,dz,MF,FW,Angers,Ligue 1,24,1999,7.9,2,9,2,22.2,1.14,0.25,0.00,0.00,27.5,0,2,3,2.7,0.3,0.03,-0.7,-0.3
6,Mohamed Abdelmoneim,eg,DF,,Nice,Ligue 1,25,1999,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
7,Ali Abdi,tn,DF,MF,Nice,Ligue 1,30,1993,3.5,1,6,3,50.0,1.74,0.87,0.17,0.33,17.9,0,0,0,0.6,0.6,0.09,+0.4,+0.4
8,Abel,es,DF,,Osasuna,La Liga,24,2000,7.8,2,4,3,75.0,0.51,0.39,0.50,0.67,27.1,0,0,0,0.2,0.2,0.06,+1.8,+1.8
9,Nabil Aberdin,fr,MF,,Getafe,La Liga,22,2002,2.6,0,2,0,0.0,0.77,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
10,Oliver Abildgaard,dk,MF,,Como,Serie A,28,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
11,Matthis Abline,fr,FW,,Nantes,Ligue 1,21,2003,7.0,2,21,8,38.1,2.99,1.14,0.10,0.25,14.3,0,0,0,1.5,1.5,0.07,+0.5,+0.5
12,Abner,br,DF,,Lyon,Ligue 1,24,2000,6.2,1,5,3,60.0,0.81,0.49,0.20,0.33,18.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8
13,Zakaria Aboukhlal,ma,MF,FW,Toulouse,Ligue 1,24,2000,6.3,1,18,9,50.0,2.86,1.43,0.06,0.11,13.4,0,0,1,4.1,3.3,0.18,-3.1,-2.3
