Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
64,Carlos Alcaraz,ar,MF,,Juventus,it Serie A,20,2002,4.2,0,11,2,18.2,2.61,0.47,0.00,0.00,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4
65,Rubén Alcaraz,es,MF,,Cádiz,La Liga,32,1991,34.8,3,46,10,21.7,1.32,0.29,0.02,0.10,24.9,8,2,2,3.3,1.7,0.04,-0.3,-0.7
66,Omar Alderete,py,DF,,Getafe,La Liga,26,1996,24.4,0,24,5,20.8,0.98,0.21,0.00,0.00,19.7,3,0,0,1.2,1.2,0.05,-1.2,-1.2
67,Iván Alejo,es,MF,,Cádiz,La Liga,28,1995,18.8,0,11,2,18.2,0.59,0.11,0.00,0.00,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5
68,Carles Aleñá,es,MF,,Getafe,La Liga,25,1998,11.3,1,16,5,31.3,1.41,0.44,0.06,0.20,18.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2
69,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,24,1998,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,+0.4,+0.7
70,Aboubacar Ali,fr,MF,FW,Strasbourg,Ligue 1,17,2006,1.4,0,4,2,50.0,2.77,1.38,0.00,0.00,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
71,Mohamed Ali Cho,fr,FW,MF,Real Sociedad,La Liga,19,2004,2.8,0,3,0,0.0,1.08,0.00,0.00,,17.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4
72,Mohamed Ali Cho,fr,FW,,Nice,Ligue 1,19,2004,9.6,1,18,6,33.3,1.88,0.63,0.06,0.17,21.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1
73,Faride Alidou,de,FW,MF,Köln,Bundesliga,22,2001,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,14.5,0,0,0,3.0,3.0,0.09,+1.0,+1.0
74,Nabil Alioui,fr,MF,FW,Le Havre,Ligue 1,24,1999,11.2,4,28,9,32.1,2.50,0.80,0.14,0.44,19.0,1,0,0,2.4,2.4,0.09,+1.6,+1.6
75,Alisson,br,GK,,Liverpool,Premier League,30,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
76,Tadeo Allende,ar,MF,FW,Celta Vigo,La Liga,24,1999,3.7,1,8,2,25.0,2.14,0.54,0.13,0.50,17.4,0,0,0,1.2,1.2,0.16,-0.2,-0.2
77,Jim Allevinah,ga,MF,DF,Clermont Foot,Ligue 1,28,1995,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,14.8,0,0,0,2.6,2.6,0.07,-0.6,-0.6
78,Domingos André Ribeiro Almeida,pt,FW,MF,Valencia,La Liga,23,2000,10.7,2,10,4,40.0,0.93,0.37,0.20,0.50,19.3,0,0,0,0.6,0.6,0.06,+1.4,+1.4
79,Miguel Almirón,py,FW,,Newcastle Utd,Premier League,29,1994,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5
80,Pontus Almqvist,se,FW,MF,Lecce,it Serie A,24,1999,23.4,2,40,15,37.5,1.71,0.64,0.05,0.13,19.7,0,0,0,2.3,2.3,0.06,-0.3,-0.3
81,Marcos Alonso,es,DF,,Barcelona,La Liga,32,1990,2.8,0,3,2,66.7,1.07,0.71,0.00,0.00,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
82,Adrià Altimira,es,DF,MF,Villarreal,La Liga,22,2001,8.6,0,1,0,0.0,0.12,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0
83,Sergi Altimira,es,MF,,Betis,La Liga,21,2001,6.3,1,7,2,28.6,1.11,0.32,0.14,0.50,22.3,0,0,0,0.2,0.2,0.03,+0.8,+0.8
84,Edson Álvarez,mx,MF,,West Ham,Premier League,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3
85,Gastón Álvarez,uy,DF,,Getafe,La Liga,23,2000,28.2,2,14,3,21.4,0.50,0.11,0.14,0.67,16.5,0,0,0,0.7,0.7,0.05,+1.3,+1.3
86,Hugo Álvarez,es,MF,DF,Celta Vigo,La Liga,20,2003,8.5,1,12,4,33.3,1.42,0.47,0.08,0.25,13.9,0,0,0,1.0,1.0,0.09,0.0,0.0
87,Julián Álvarez,ar,MF,FW,Manchester City,Premier League,23,2000,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5
88,Yeray Álvarez,es,DF,,Athletic Club,La Liga,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.00,0.00,14.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
89,Skelly Alvero,fr,MF,,Lyon,Ligue 1,21,2002,4.7,1,9,3,33.3,1.90,0.63,0.11,0.33,22.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6
90,Skelly Alvero,fr,MF,,Werder Bremen,Bundesliga,21,2002,1.4,1,5,3,60.0,3.66,2.20,0.20,0.33,15.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7
91,Papa Amadou Diallo,sn,FW,,Metz,Ligue 1,19,2004,9.9,2,13,5,38.5,1.32,0.51,0.15,0.40,14.7,0,0,0,2.6,2.6,0.20,-0.6,-0.6
92,Selim Amallah,ma,FW,MF,Valencia,La Liga,26,1996,6.7,0,11,4,36.4,1.64,0.60,0.00,0.00,21.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4
93,Amath,sn,FW,MF,Mallorca,La Liga,27,1996,4.4,0,12,2,16.7,2.74,0.46,0.00,0.00,14.1,0,0,0,1.6,1.6,0.13,-1.6,-1.6
94,Lorenzo Amatucci,it,MF,,Fiorentina,it Serie A,19,2004,0.2,0,1,0,0.0,4.09,0.00,0.00,,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0
95,Jordan Amavi,fr,DF,,Brest,Ligue 1,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.00,1.00,26.9,1,0,0,0.1,0.1,0.10,+0.9,+0.9
96,Zeki Amdouni,ch,FW,,Burnley,Premier League,22,2000,21.7,5,48,21,43.8,2.21,0.97,0.08,0.19,17.8,0,1,1,5.8,5.0,0.10,-0.8,-1.0
97,Kelvin Amian,fr,DF,,Nantes,Ligue 1,25,1998,8.9,0,1,0,0.0,0.11,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
98,Bruno Amione,ar,DF,,Hellas Verona,it Serie A,21,2002,6.4,0,5,3,60.0,0.78,0.47,0.00,0.00,9.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
99,Michael Amir Murillo,pa,DF,,Marseille,Ligue 1,27,1996,11.1,3,6,4,66.7,0.54,0.36,0.50,0.75,16.8,0,0,0,0.8,0.8,0.14,+2.2,+2.2
100,Nadiem Amiri,de,MF,,Mainz 05,Bundesliga,26,1996,14.6,1,35,8,22.9,2.40,0.55,0.03,0.13,26.8,11,0,1,2.2,1.4,0.04,-1.2,-0.4
101,Nadiem Amiri,de,MF,,Leverkusen,Bundesliga,26,1996,1.0,0,3,2,66.7,3.14,2.09,0.00,0.00,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
102,Kofi Amoako,de,MF,,Wolfsburg,Bundesliga,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
103,Sofyan Amrabat,ma,MF,DF,Manchester Utd,Premier League,26,1996,10.4,0,3,0,0.0,0.29,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
104,Joachim Andersen,dk,DF,,Crystal Palace,Premier League,27,1996,37.9,2,21,8,38.1,0.55,0.21,0.10,0.25,12.8,1,0,0,1.7,1.7,0.08,+0.3,+0.3
105,Elliot Anderson,eng,MF,FW,Newcastle Utd,Premier League,20,2002,11.4,0,19,4,21.1,1.67,0.35,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5
106,Felipe Anderson,br,FW,MF,Lazio,it Serie A,30,1993,30.8,5,43,11,25.6,1.40,0.36,0.12,0.45,17.3,1,0,0,4.4,4.4,0.10,+0.6,+0.6
107,Benjamin André,fr,MF,,Lille,Ligue 1,32,1990,28.6,4,23,9,39.1,0.81,0.32,0.17,0.44,17.0,0,0,0,2.6,2.6,0.11,+1.4,+1.4
108,Komnen Andrić,rs,FW,,Clermont Foot,Ligue 1,28,1995,1.9,0,2,0,0.0,1.07,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
109,Robert Andrich,de,MF,DF,Leverkusen,Bundesliga,28,1994,18.8,4,23,9,39.1,1.22,0.48,0.17,0.44,20.0,2,0,0,1.7,1.7,0.07,+2.3,+2.3
110,Miguel Ángel Rubio,es,DF,,Granada,La Liga,25,1998,17.3,1,9,2,22.2,0.52,0.12,0.11,0.50,10.4,0,0,0,0.8,0.8,0.09,+0.2,+0.2
111,Angeliño,es,DF,,Roma,it Serie A,26,1997,12.7,0,8,2,25.0,0.63,0.16,0.00,0.00,24.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2
112,Ângelo,br,FW,MF,Strasbourg,Ligue 1,18,2004,12.2,0,9,4,44.4,0.74,0.33,0.00,0.00,22.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
113,Fabrizio Angileri,ar,DF,MF,Getafe,La Liga,29,1994,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
114,Jaidon Anthony,eng,FW,,Bournemouth,Premier League,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.00,0.00,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
115,Waldemar Anton,de,DF,,Stuttgart,Bundesliga,27,1996,32.1,0,28,6,21.4,0.87,0.19,0.00,0.00,15.9,0,0,0,1.7,1.7,0.06,-1.7,-1.7
116,Michail Antonio,jm,FW,,West Ham,Premier League,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.20,0.43,13.1,0,0,0,5.8,5.8,0.19,+0.2,+0.2
117,Antony,br,FW,,Manchester Utd,Premier League,23,2000,14.7,1,43,15,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,3.4,3.4,0.08,-2.4,-2.4
118,Christopher Antwi-Adjei,gh,FW,MF,Bochum,Bundesliga,29,1994,13.5,2,29,9,31.0,2.15,0.67,0.07,0.22,18.2,0,0,0,2.2,2.2,0.08,-0.2,-0.2
119,Houssem Aouar,dz,MF,FW,Roma,it Serie A,25,1998,8.4,4,12,7,58.3,1.43,0.83,0.33,0.57,13.3,0,0,0,2.3,2.3,0.19,+1.7,+1.7
120,Stredair Appuah,fr,FW,MF,Nantes,Ligue 1,19,2004,0.9,0,4,0,0.0,4.29,0.00,0.00,,23.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4
121,Mauro Arambarri,uy,MF,,Getafe,La Liga,27,1995,3.8,0,9,2,22.2,2.39,0.53,0.00,0.00,21.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
122,Jon Aramburu,ve,DF,,Real Sociedad,La Liga,21,2002,6.0,0,4,0,0.0,0.66,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
123,Asaf Arania,il,MF,,Darmstadt 98,Bundesliga,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
124,Julian Araujo,mx,DF,,Las Palmas,La Liga,21,2001,16.2,1,7,2,28.6,0.43,0.12,0.14,0.50,20.5,0,0,0,0.7,0.7,0.10,+0.3,+0.3
125,Ronald Araújo,uy,DF,,Barcelona,La Liga,24,1999,22.2,1,23,9,39.1,1.04,0.41,0.04,0.11,12.4,0,0,0,2.1,2.1,0.09,-1.1,-1.1
126,Oliver Arblaster,eng,MF,,Sheffield Utd,Premier League,19,2004,10.5,0,1,1,100.0,0.10,0.10,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0
127,Cameron Archer,eng,FW,MF,Sheffield Utd,Premier League,22,2001,20.4,4,42,9,21.4,2.06,0.44,0.10,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5
128,Cameron Archer,eng,MF,,Aston Villa,Premier League,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
129,Alphonse Areola,fr,GK,,West Ham,Premier League,30,1993,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
130,Adu Ares,es,FW,,Athletic Club,La Liga,21,2001,2.9,0,4,0,0.0,1.36,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
131,Jesús Areso,es,DF,,Osasuna,La Liga,24,1999,29.6,1,9,2,22.2,0.30,0.07,0.11,0.50,27.1,0,0,0,0.2,0.2,0.02,+0.8,+0.8
132,Simone Aresti,it,GK,,Cagliari,it Serie A,37,1986,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
133,Matias Arezo,uy,FW,,Granada,La Liga,20,2002,4.1,0,12,4,33.3,2.93,0.98,0.00,0.00,18.1,0,0,0,1.2,1.2,0.10,-1.2,-1.2
134,Iñigo Arguibide,es,DF,,Osasuna,La Liga,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
135,Yoël Armougom,fr,DF,MF,Clermont Foot,Ligue 1,25,1998,2.6,0,2,0,0.0,0.77,0.00,0.00,,28.1,0,0,0,0.0,0.0,0.02,0.0,0.0
136,José Arnaiz,es,FW,MF,Osasuna,La Liga,28,1995,10.3,2,29,9,31.0,2.81,0.87,0.07,0.22,22.7,5,0,0,1.7,1.7,0.06,+0.3,+0.3
137,Hákon Arnar Haraldsson,is,FW,MF,Lille,Ligue 1,20,2003,14.3,2,12,6,50.0,0.84,0.42,0.17,0.33,18.2,0,0,0,0.8,0.8,0.06,+1.2,+1.2
138,Marko Arnautović,at,FW,,Inter,it Serie A,34,1989,8.9,5,17,9,52.9,1.91,1.01,0.29,0.56,11.5,0,0,0,5.0,5.0,0.29,0.0,0.0
139,Maximilian Arnold,de,MF,,Wolfsburg,Bundesliga,29,1994,27.8,2,32,12,37.5,1.15,0.43,0.06,0.17,27.8,8,0,0,1.0,1.0,0.03,+1.0,+1.0
140,Mohamed El Arouch,fr,FW,,Lyon,Ligue 1,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
141,Sergio Arribas,es,MF,FW,Almería,La Liga,21,2001,22.7,9,60,22,36.7,2.64,0.97,0.15,0.41,16.8,1,0,0,8.6,8.6,0.15,+0.4,+0.4
142,Kepa Arrizabalaga,es,GK,,Real Madrid,La Liga,28,1994,13.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
143,Arthur,br,DF,,Leverkusen,Bundesliga,20,2003,2.0,0,2,1,50.0,0.98,0.49,0.00,0.00,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
144,Takuma Asano,jp,FW,MF,Bochum,Bundesliga,28,1994,22.1,6,65,23,35.4,2.95,1.04,0.09,0.26,14.9,0,0,0,7.9,7.9,0.12,-1.9,-1.9
145,Marco Asensio,es,MF,FW,Paris S-G,Ligue 1,27,1996,12.4,4,27,10,37.0,2.18,0.81,0.15,0.40,19.2,1,0,0,3.2,3.2,0.12,+0.8,+0.8
