Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Max Aarons,eng,DF,,Bournemouth,Premier League,23,2000,13.7,0,2,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0
2,Brenden Aaronson,us,MF,FW,Union Berlin,Bundesliga,22,2000,14.1,2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0
3,Paxten Aaronson,us,MF,,Eint Frankfurt,Bundesliga,19,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
4,Keyliane Abdallah,fr,FW,,Marseille,Ligue 1,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
5,Yunis Abdelhamid,ma,DF,,Reims,Ligue 1,35,1987,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,+0.6,+0.4
6,Salis Abdul Samed,gh,MF,,Lens,Ligue 1,23,2000,16.9,0,5,0,0.0,0.30,0.00,0.00,,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8
7,Nabil Aberdin,fr,DF,,Getafe,La Liga,20,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
8,Laurent Abergel,fr,MF,,Lorient,Ligue 1,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,+0.9,+0.9
9,Matthis Abline,fr,FW,,Nantes,Ligue 1,20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,+1.2,+1.2
10,Abner,br,DF,,Betis,La Liga,23,2000,15.6,0,4,0,0.0,0.26,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
11,Zakaria Aboukhlal,ma,MF,FW,Toulouse,Ligue 1,23,2000,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,+0.2,0.0
12,Abdel Abqar,ma,DF,,Alavés,La Liga,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.00,0.00,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5
13,Tammy Abraham,eng,FW,,Roma,it Serie A,25,1997,2.7,1,4,2,50.0,1.49,0.74,0.25,0.50,11.9,0,0,0,0.6,0.6,0.15,+0.4,+0.4
14,Francesco Acerbi,it,DF,,Inter,it Serie A,35,1988,26.5,3,15,6,40.0,0.57,0.23,0.20,0.50,12.0,0,0,0,1.6,1.6,0.11,+1.4,+1.4
15,Joshua Acheampong,eng,DF,,Chelsea,Premier League,17,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
16,Marcos Acuña,ar,DF,,Sevilla,La Liga,31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,+0.7,+0.7
17,Akor Adams,ng,FW,,Montpellier,Ligue 1,23,2000,25.0,8,79,32,40.5,3.16,1.28,0.10,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4
18,Tyler Adams,us,MF,,Bournemouth,Premier League,24,1999,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
19,Junior Adamu,at,FW,MF,Freiburg,Bundesliga,22,2001,1.2,0,2,1,50.0,1.71,0.86,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
20,Sargis Adamyan,am,FW,MF,Köln,Bundesliga,30,1993,8.9,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1
21,Tosin Adarabioyo,eng,DF,,Fulham,Premier League,25,1997,18.0,2,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3
22,Elijah Adebayo,eng,FW,,Luton Town,Premier League,25,1998,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1
23,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,21,2002,10.1,3,23,10,43.5,2.27,0.99,0.13,0.30,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5
24,Simon Adingra,ci,FW,,Brighton,Premier League,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,+1.7,+1.7
25,Nathaniel Adjei,gh,DF,,Lorient,Ligue 1,20,2002,13.8,0,4,0,0.0,0.29,0.00,0.00,,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4
26,Amine Adli,ma,MF,FW,Leverkusen,Bundesliga,23,2000,10.0,4,27,15,55.6,2.71,1.50,0.15,0.27,13.7,0,0,0,3.3,3.3,0.12,+0.7,+0.7
27,Yacine Adli,fr,MF,,Milan,it Serie A,23,2000,15.6,1,4,1,25.0,0.26,0.06,0.25,1.00,19.8,0,0,0,0.3,0.3,0.07,+0.7,+0.7
28,Adryelson,br,DF,FW,Lyon,Ligue 1,25,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
29,Adson,br,MF,FW,Nantes,Ligue 1,22,2000,2.6,0,5,0,0.0,1.89,0.00,0.00,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
30,Michel Aebischer,ch,MF,,Bologna,it Serie A,26,1997,24.8,0,18,5,27.8,0.73,0.20,0.00,0.00,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1
31,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,26,1997,28.8,1,32,5,15.6,1.11,0.17,0.03,0.20,15.1,0,0,0,2.4,2.4,0.07,-1.4,-1.4
32,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,22,2000,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
33,Lucien Agoume,fr,MF,,Inter,it Serie A,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
34,Lucien Agoume,fr,MF,,Sevilla,La Liga,21,2002,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,13.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9
35,Felix Agu,de,DF,MF,Werder Bremen,Bundesliga,23,1999,17.9,0,11,0,0.0,0.61,0.00,0.00,,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9
36,Nayef Aguerd,ma,DF,,West Ham,Premier League,27,1996,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5
37,Ruben Aguilar,fr,DF,,Lens,Ligue 1,30,1993,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,16.1,0,0,0,1.4,1.4,0.12,-0.4,-0.4
38,Brandon Aguilera,cr,FW,,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
39,Naouirou Ahamada,fr,MF,FW,Crystal Palace,Premier League,21,2002,3.9,0,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
40,Anel Ahmedhodžić,ba,DF,,Sheffield Utd,Premier League,24,1999,29.4,2,19,5,26.3,0.65,0.17,0.11,0.40,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1
41,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,27,1995,4.5,0,3,0,0.0,0.66,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
42,Ola Aina,ng,DF,,Nott'ham Forest,Premier League,26,1996,18.8,1,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0,0,0,0.3,0.3,0.02,+0.7,+0.7
43,Rayan Aït-Nouri,dz,DF,MF,Wolves,Premier League,22,2001,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3
44,Tosin Aiyegun,bj,MF,FW,Lorient,Ligue 1,25,1998,10.0,2,11,3,27.3,1.10,0.30,0.18,0.67,22.7,0,0,0,1.8,1.8,0.17,+0.2,+0.2
45,Kristoffer Ajer,no,DF,,Brentford,Premier League,25,1998,20.4,2,12,4,33.3,0.59,0.20,0.17,0.50,9.9,0,0,0,1.3,1.3,0.11,+0.7,+0.7
46,Ludovic Ajorque,fr,FW,,Mainz 05,Bundesliga,29,1994,15.1,2,27,6,22.2,1.79,0.40,0.07,0.33,13.1,0,0,2,5.3,3.7,0.14,-3.3,-1.7
47,Manuel Akanji,ch,DF,MF,Manchester City,Premier League,28,1995,27.9,2,15,5,33.3,0.54,0.18,0.13,0.40,17.0,0,0,0,1.9,1.9,0.13,+0.1,+0.1
48,Marley Aké,fr,FW,,Udinese,it Serie A,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
49,Nathan Aké,nl,DF,,Manchester City,Premier League,28,1995,22.7,2,20,5,25.0,0.88,0.22,0.10,0.40,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5
50,Ilias Akhomach,ma,MF,FW,Villarreal,La Liga,19,2004,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,18.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2
51,Sergio Akieme,es,DF,,Almería,La Liga,25,1997,18.6,2,9,5,55.6,0.48,0.27,0.22,0.40,17.4,0,0,0,1.2,1.2,0.13,+0.8,+0.8
52,Sergio Akieme,es,DF,,Reims,Ligue 1,25,1997,9.1,2,11,2,18.2,1.21,0.22,0.18,1.00,18.3,0,0,0,1.4,1.4,0.13,+0.6,+0.6
53,Ebenezer Akinsanmiro,ng,MF,,Inter,it Serie A,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
54,Maghnes Akliouche,fr,MF,FW,Monaco,Ligue 1,21,2002,17.9,7,36,22,61.1,2.01,1.23,0.19,0.32,15.7,1,0,0,5.4,5.4,0.15,+1.6,+1.6
55,Paul Akouokou,ci,MF,,Betis,La Liga,25,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
56,Paul Akouokou,ci,MF,,Lyon,Ligue 1,25,1997,3.4,0,2,0,0.0,0.59,0.00,0.00,,15.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
57,Jean-Daniel Akpa-Akpro,ci,MF,,Monza,it Serie A,30,1992,7.8,0,7,3,42.9,0.89,0.38,0.00,0.00,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5
58,David Akpan Ankeye,ng,FW,,Genoa,it Serie A,21,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
59,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,28,1995,12.2,0,2,0,0.0,0.16,0.00,0.00,,6.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3
60,David Alaba,at,DF,,Real Madrid,La Liga,31,1992,12.8,0,14,3,21.4,1.09,0.23,0.00,0.00,19.8,6,0,0,1.0,1.0,0.07,-1.0,-1.0
61,Luis Alberto,es,MF,,Lazio,it Serie A,30,1992,25.7,5,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4,0,0,4.7,4.7,0.08,+0.3,+0.3
62,Raúl Albiol,es,DF,,Villarreal,La Liga,37,1985,22.6,0,6,1,16.7,0.27,0.04,0.00,0.00,9.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
63,Thiago Alcántara,es,MF,,Liverpool,Premier League,32,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
