Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
743,Carlos Dominguez,es,DF,,Celta Vigo,La Liga,22,2001,17.6,1068,110,498,515,63,10,1068,2,2,100.0,0,0.0,592,2792,1490,11,11,1,17,2,629,3
744,Mario Dominguez,es,FW,,Valencia,La Liga,19,2004,0.3,10,0,0,2,8,2,10,0,0,,0,,4,9,2,0,0,0,2,0,9,1
745,Nicolás Domínguez,ar,MF,FW,Nott'ham Forest,Premier League,25,1998,16.6,1049,39,266,542,248,33,1049,17,7,41.2,8,47.1,492,2030,1106,14,13,2,21,7,628,43
746,Nicolás Domínguez,ar,MF,,Bologna,Serie A,25,1998,1.1,103,2,23,69,12,0,103,0,0,,0,,39,210,116,1,2,0,1,3,79,3
747,Giulio Donati,it,DF,,Monza,Serie A,33,1990,0.4,51,0,11,25,15,1,51,0,0,,0,,30,120,58,0,2,0,3,0,39,5
748,Jamie Donley,eng,FW,,Tottenham,Premier League,18,2005,0.0,7,2,4,2,1,0,7,1,0,0.0,1,100.0,2,9,8,0,0,0,0,1,1,0
749,Gianluigi Donnarumma,it,GK,,Paris S-G,Ligue 1,24,1999,24.1,842,739,838,4,0,0,842,1,1,100.0,0,0.0,622,2547,1432,0,0,0,1,0,459,0
750,Patrick Dorgu,dk,DF,MF,Lecce,Serie A,18,2004,17.4,949,57,263,431,265,32,949,38,15,39.5,16,42.1,535,2892,1460,37,34,4,41,20,567,86
751,Niklas Dorsch,de,MF,,Augsburg,Bundesliga,25,1998,15.4,796,61,252,467,85,2,796,11,7,63.6,3,27.3,436,2039,801,12,8,1,21,10,470,12
752,Alberto Dossena,it,DF,,Cagliari,Serie A,24,1998,33.1,1720,270,930,748,55,35,1720,8,5,62.5,3,37.5,774,3763,2159,9,6,0,22,10,849,2
753,Carlos Dotor,es,MF,,Celta Vigo,La Liga,22,2001,7.9,414,14,89,237,93,8,414,3,3,100.0,0,0.0,203,883,348,3,6,0,13,9,282,12
754,Abdoulaye Doucouré,ml,FW,MF,Everton,Premier League,30,1993,29.2,1190,36,188,523,495,100,1190,48,25,52.1,21,43.8,635,3292,1692,55,37,17,61,42,800,140
755,Cheick Doucouré,ml,MF,,Crystal Palace,Premier League,23,2000,10.2,545,25,145,312,97,7,545,13,10,76.9,3,23.1,276,1153,579,9,9,1,16,8,318,5
756,Siriné Doucouré,ml,FW,,Lorient,Ligue 1,21,2002,4.7,181,7,10,83,89,35,181,25,13,52.0,11,44.0,122,787,315,14,7,12,30,10,135,35
757,Désiré Doué,fr,MF,FW,Rennes,Ligue 1,18,2005,18.1,1056,14,124,442,512,70,1056,106,64,60.4,31,29.2,828,6050,2891,78,73,29,58,44,827,172
758,Guela Doué,ci,DF,,Rennes,Ligue 1,20,2002,13.7,843,66,270,338,246,24,843,29,20,69.0,7,24.1,509,3429,1708,41,41,9,19,15,442,85
759,Alfie Doughty,eng,DF,,Luton Town,Premier League,23,1999,32.5,1998,102,541,665,818,76,1998,67,33,49.3,24,35.8,897,5522,2794,94,52,28,51,13,968,164
760,Douglas,br,MF,,Nantes,Ligue 1,26,1997,19.7,1248,66,310,757,195,14,1248,8,2,25.0,4,50.0,892,4287,1756,12,16,1,16,8,806,18
761,Ismaël Doukouré,fr,MF,DF,Strasbourg,Ligue 1,20,2003,18.4,919,56,273,585,72,2,919,31,22,71.0,9,29.0,672,3877,1720,15,16,0,11,24,607,7
762,Kamory Doumbia,ml,MF,,Brest,Ligue 1,20,2003,9.8,641,10,76,357,220,37,641,29,13,44.8,15,51.7,482,2648,1049,22,22,6,32,18,449,43
763,Anastasios Douvikas,gr,FW,,Celta Vigo,La Liga,23,1999,10.1,292,10,25,123,145,49,292,22,9,40.9,11,50.0,172,842,319,10,6,6,38,20,218,53
764,Artem Dovbyk,ua,FW,,Girona,La Liga,26,1997,28.7,606,19,36,230,341,185,598,25,17,68.0,8,32.0,351,1294,449,18,7,16,50,39,487,118
765,Nikola Dovedan,at,MF,FW,Heidenheim,Bundesliga,29,1994,7.3,311,3,46,163,109,24,311,23,8,34.8,13,56.5,185,997,453,12,11,4,25,15,198,25
766,Damion Downs,us,FW,MF,Köln,Bundesliga,19,2004,2.0,52,1,4,21,27,8,52,4,1,25.0,3,75.0,22,89,37,1,1,1,2,1,32,5
767,Tommy Doyle,eng,MF,,Wolves,Premier League,21,2001,13.6,1061,40,265,620,182,6,1061,3,1,33.3,1,33.3,637,3091,1408,21,17,2,7,7,766,17
768,Radu Drăgușin,ro,DF,,Tottenham,Premier League,21,2002,4.8,411,44,217,189,7,2,411,3,1,33.3,1,33.3,284,1550,738,5,2,1,1,1,312,1
769,Radu Drăgușin,ro,DF,,Genoa,Serie A,21,2002,19.0,909,173,487,347,80,28,909,1,0,0.0,1,100.0,447,1898,922,6,6,1,5,4,495,13
770,Dion Drena Beljo,hr,FW,MF,Augsburg,Bundesliga,21,2002,6.5,239,5,24,92,126,38,239,24,11,45.8,10,41.7,133,963,402,16,13,6,24,5,178,35
771,Tim Drexler,de,DF,,Hoffenheim,Bundesliga,18,2005,6.4,417,35,197,208,13,4,417,5,1,20.0,3,60.0,263,1190,603,6,2,0,4,1,289,0
772,Domingos Duarte,pt,DF,,Getafe,La Liga,28,1995,10.1,453,45,173,264,20,6,453,3,1,33.3,1,33.3,211,1150,728,7,1,0,5,2,236,0
773,Rubén Duarte,es,DF,,Alavés,La Liga,27,1995,20.9,1024,88,405,429,197,12,1024,5,3,60.0,1,20.0,395,1913,981,16,15,2,10,4,468,39
774,Martin Dúbravka,sk,GK,,Newcastle Utd,Premier League,34,1989,22.1,709,604,702,7,0,0,709,0,0,,0,,378,2050,1374,0,0,0,3,0,260,0
775,Marvin Ducksch,de,FW,,Werder Bremen,Bundesliga,29,1994,30.0,1166,25,81,531,559,110,1160,28,12,42.9,16,57.1,586,2105,834,17,20,7,53,17,779,150
776,Ondrej Duda,sk,MF,,Hellas Verona,Serie A,28,1994,27.3,1473,52,271,898,331,19,1472,38,21,55.3,13,34.2,776,4107,1556,34,29,6,49,24,804,47
777,Denzel Dumfries,nl,DF,,Inter,Serie A,27,1996,18.2,977,32,231,385,367,73,977,33,14,42.4,12,36.4,502,2532,1121,50,19,11,29,9,626,147
778,Paul Dummett,wls,DF,,Newcastle Utd,Premier League,31,1991,0.2,26,3,7,16,3,1,26,0,0,,0,,12,54,33,1,0,0,0,0,20,0
779,Alfred Duncan,gh,MF,,Fiorentina,Serie A,30,1993,21.0,1184,26,157,698,343,17,1184,40,20,50.0,16,40.0,634,2974,1442,23,26,3,18,19,777,47
780,Lewis Dunk,eng,DF,,Brighton,Premier League,31,1991,31.9,3481,554,1811,1542,145,51,3481,8,5,62.5,2,25.0,2417,10752,5605,33,18,2,9,2,2681,13
781,Jhon Durán,co,FW,MF,Aston Villa,Premier League,19,2003,5.3,189,8,22,90,80,27,189,5,2,40.0,3,60.0,102,508,206,9,5,5,16,14,138,25
782,Julien Duranville,be,FW,MF,Dortmund,Bundesliga,17,2006,0.1,14,0,1,6,7,1,14,5,3,60.0,2,40.0,12,57,26,2,1,1,3,4,13,1
783,Hugo Duro,es,FW,,Valencia,La Liga,23,1999,33.1,913,36,92,416,418,123,913,41,13,31.7,22,53.7,512,2033,782,27,20,13,94,38,666,157
784,Jean-Kevin Duverne,ht,DF,,Nantes,Ligue 1,26,1997,15.0,894,53,324,444,133,6,894,15,9,60.0,6,40.0,621,3240,1644,18,28,1,21,8,556,23
785,Paulo Dybala,ar,FW,MF,Roma,Serie A,29,1993,21.8,1277,8,87,590,612,88,1270,77,28,36.4,43,55.8,808,5078,2296,79,61,31,70,41,993,167
786,Aron Dønnum,no,FW,MF,Toulouse,Ligue 1,25,1998,17.7,774,19,108,343,341,48,774,74,31,41.9,34,45.9,601,4386,2001,69,37,21,46,23,567,120
787,George Earthy,eng,FW,,West Ham,Premier League,18,2004,0.4,18,0,3,7,8,1,18,0,0,,0,,13,48,13,0,1,0,0,0,15,3
788,Simon Ebonog,cm,MF,,Le Havre,Ligue 1,18,2004,0.2,24,2,5,18,1,0,24,0,0,,0,,16,71,20,0,0,0,0,0,17,0
789,Festy Ebosele,ie,DF,,Udinese,Serie A,20,2002,18.9,706,35,166,245,314,46,706,108,49,45.4,37,34.3,406,3692,1887,67,45,30,56,34,405,98
790,Enzo Ebosse,cm,DF,,Udinese,Serie A,24,1999,0.1,17,5,9,8,0,0,17,0,0,,0,,12,38,21,0,0,0,0,0,12,0
791,Tyronne Ebuehi,ng,DF,,Empoli,Serie A,27,1995,12.2,668,44,266,258,150,20,668,13,4,30.8,7,53.8,345,2020,1217,34,14,6,19,4,360,35
792,Ederson,br,GK,,Manchester City,Premier League,29,1993,30.9,1283,965,1263,20,0,0,1283,1,1,100.0,0,0.0,847,3714,2353,0,0,0,0,0,842,0
793,Éderson,br,MF,,Atalanta,Serie A,24,1999,31.9,2027,80,508,1159,385,41,2027,42,22,52.4,18,42.9,1198,5502,2448,32,26,7,33,36,1373,50
794,Odsonne Édouard,fr,FW,MF,Crystal Palace,Premier League,25,1998,17.3,597,18,59,222,326,98,597,50,19,38.0,24,48.0,341,1762,877,33,18,25,55,26,415,100
795,John Egan,ie,DF,,Sheffield Utd,Premier League,30,1992,5.4,257,58,163,81,13,9,257,0,0,,0,,106,485,233,0,2,0,2,1,133,1
796,Maximilian Eggestein,de,MF,,Freiburg,Bundesliga,26,1996,32.4,1635,71,371,958,324,35,1635,37,20,54.1,14,37.8,859,4467,2100,42,41,3,30,19,999,72
797,Lilian Egloff,de,MF,DF,Stuttgart,Bundesliga,20,2002,1.2,56,2,20,22,14,1,56,2,0,0.0,1,50.0,27,182,69,2,3,0,0,1,32,2
798,Kingsley Ehizibue,nl,DF,,Udinese,Serie A,28,1995,10.6,413,43,132,146,139,28,413,21,11,52.4,6,28.6,200,1268,596,18,10,7,17,10,198,44
799,Hjalmar Ekdal,se,DF,,Burnley,Premier League,24,1998,4.9,268,36,131,124,15,3,268,3,2,66.7,1,33.3,142,885,523,5,4,0,2,1,150,1
800,Hugo Ekitike,fr,FW,,Paris S-G,Ligue 1,21,2002,0.1,11,0,0,1,10,2,11,0,0,,0,,11,56,6,0,0,1,2,1,11,3
801,Hugo Ekitike,fr,FW,,Eint Frankfurt,Bundesliga,21,2002,8.0,311,2,20,137,159,56,311,39,18,46.2,19,48.7,190,1040,500,16,9,9,26,13,225,60
802,Emmanuel Ekong,se,FW,,Empoli,Serie A,21,2002,0.1,4,0,0,3,1,1,4,3,0,0.0,2,66.7,4,36,1,0,0,0,0,0,4,1
803,Caleb Ekuban,gh,FW,,Genoa,Serie A,29,1994,12.6,385,10,32,150,208,52,385,22,10,45.5,11,50.0,246,1057,373,14,8,9,55,17,297,93
804,Anthony Elanga,se,FW,MF,Nott'ham Forest,Premier League,21,2002,27.0,1022,25,181,348,507,122,1022,76,28,36.8,42,55.3,625,4704,2514,98,54,42,67,22,740,196
805,Simon Elisor,fr,FW,,Metz,Ligue 1,24,1999,8.5,260,9,28,121,117,33,259,18,5,27.8,12,66.7,167,1041,193,9,8,5,28,23,194,43
806,Harvey Elliott,eng,MF,FW,Liverpool,Premier League,20,2003,15.0,1141,8,91,546,512,71,1141,20,9,45.0,10,50.0,722,3946,1753,44,50,9,15,9,860,122
807,Elif Elmas,mk,FW,MF,Napoli,Serie A,23,1999,3.8,240,7,27,107,111,12,240,13,6,46.2,7,53.8,140,1045,623,14,13,4,9,7,181,26
808,Elif Elmas,mk,MF,FW,RB Leipzig,Bundesliga,23,1999,3.0,160,1,20,77,63,14,160,10,5,50.0,3,30.0,95,472,211,9,7,4,6,6,113,18
809,Mohamed Elneny,eg,MF,,Arsenal,Premier League,31,1992,0.3,45,1,9,30,6,1,45,0,0,,0,,27,148,62,1,0,0,1,0,37,0
810,Aritz Elustondo,es,DF,,Real Sociedad,La Liga,29,1994,9.0,545,47,225,282,41,14,545,3,2,66.7,1,33.3,273,1407,661,4,5,1,3,3,322,2
811,Nico Elvedi,ch,DF,,Gladbach,Bundesliga,26,1996,27.6,1999,289,1047,881,79,25,1999,9,6,66.7,1,11.1,1184,6532,3837,37,19,0,7,4,1270,6
812,Adri Embarba,es,FW,MF,Almería,La Liga,31,1992,27.5,1316,18,195,514,633,65,1315,119,46,38.7,65,54.6,749,4984,2406,94,55,24,79,35,821,167
813,Breel Embolo,ch,FW,,Monaco,Ligue 1,26,1997,2.0,79,3,8,31,40,18,79,7,4,57.1,3,42.9,67,415,150,8,5,6,8,7,67,20
814,Emanuel Emegha,nl,FW,,Strasbourg,Ligue 1,20,2003,23.1,504,28,44,237,232,88,503,34,10,29.4,22,64.7,352,2016,598,24,19,13,46,29,366,115
815,Emerson,br,DF,,Tottenham,Premier League,24,1999,12.9,1220,103,462,517,249,12,1220,21,10,47.6,6,28.6,686,2759,1292,21,19,2,15,12,814,35
816,Youssef En-Nesyri,ma,FW,,Sevilla,La Liga,26,1997,28.6,565,31,75,248,248,115,564,37,11,29.7,25,67.6,269,1239,458,17,10,11,59,17,373,81
817,Julio Enciso,py,MF,FW,Brighton,Premier League,19,2004,5.3,257,5,24,106,131,21,257,29,17,58.6,7,24.1,193,1299,839,28,20,7,15,8,202,29
818,Wataru Endo,jp,MF,,Liverpool,Premier League,30,1993,19.1,1514,48,295,1002,224,9,1514,16,10,62.5,5,31.3,890,3465,1523,10,21,2,27,22,1098,21
819,Arne Engels,be,MF,DF,Augsburg,Bundesliga,19,2003,15.6,724,25,142,337,249,18,724,11,6,54.5,5,45.5,357,1747,786,23,18,4,15,7,406,62
820,Christian Eriksen,dk,MF,,Manchester Utd,Premier League,31,1992,12.7,896,27,165,492,246,12,896,6,3,50.0,3,50.0,515,2319,1199,20,21,2,8,14,620,23
821,Martin Erlic,hr,DF,,Sassuolo,Serie A,25,1998,29.1,1476,196,700,729,53,15,1476,6,4,66.7,2,33.3,690,3537,2051,19,8,1,10,0,824,11
822,Gonzalo Escalante,ar,MF,,Cádiz,La Liga,30,1993,18.9,907,50,221,549,141,19,907,7,3,42.9,4,57.1,397,1557,679,4,9,0,17,12,511,14
823,Aarón Escandell,es,GK,,Las Palmas,La Liga,27,1995,1.7,88,69,87,1,0,0,88,0,0,,0,,42,156,108,0,0,0,0,0,44,0
824,Alfonso Espino,uy,DF,,Rayo Vallecano,La Liga,31,1992,27.9,1740,82,607,801,360,27,1740,50,24,48.0,25,50.0,725,3497,1887,41,26,10,42,18,887,89
825,Bernardo Espinosa,co,DF,,Girona,La Liga,34,1989,0.0,11,4,8,3,0,0,11,0,0,,0,,5,11,5,0,0,0,0,0,6,0
826,Maxime Estève,fr,DF,,Burnley,Premier League,21,2002,14.5,979,158,465,463,52,8,979,3,1,33.3,0,0.0,514,2716,1664,15,18,2,5,3,600,3
827,Maxime Estève,fr,DF,,Montpellier,Ligue 1,21,2002,11.1,493,79,256,218,26,9,493,5,2,40.0,3,60.0,282,1411,699,8,4,1,5,1,249,10
828,Oscar Estupiñan,co,FW,,Metz,Ligue 1,26,1996,2.9,88,0,6,52,30,9,88,2,1,50.0,1,50.0,54,312,105,5,3,0,3,4,62,8
829,Pervis Estupiñán,ec,DF,,Brighton,Premier League,25,1998,13.8,1109,56,256,546,316,37,1109,23,9,39.1,9,39.1,693,3046,1806,47,30,13,20,6,735,88
830,Karl Etta,cm,FW,,Cádiz,La Liga,19,2003,0.2,4,0,0,3,1,0,4,0,0,,0,,2,4,0,0,0,0,1,0,2,1
831,Jonny Evans,nir,DF,,Manchester Utd,Premier League,35,1988,15.5,1005,185,556,420,31,8,1005,7,4,57.1,2,28.6,567,2683,1441,7,5,0,5,3,625,1
832,Eberechi Eze,eng,MF,FW,Crystal Palace,Premier League,25,1998,22.8,1274,11,121,522,658,103,1273,140,69,49.3,64,45.7,789,4822,2098,68,61,43,77,48,887,139
833,Abde Ezzalzouli,ma,FW,MF,Barcelona,La Liga,21,2001,0.8,54,0,2,13,39,7,54,4,2,50.0,2,50.0,41,302,143,7,3,4,4,2,43,12
834,Abde Ezzalzouli,ma,FW,,Betis,La Liga,21,2001,9.6,518,7,58,194,271,60,517,50,21,42.0,23,46.0,300,2801,1587,57,34,35,29,31,377,89
835,Giovanni Fabbian,it,MF,FW,Bologna,Serie A,20,2003,11.7,425,9,78,208,144,47,425,24,12,50.0,11,45.8,209,1275,491,11,10,5,22,13,290,41
836,Łukasz Fabiański,pl,GK,,West Ham,Premier League,38,1985,8.0,260,222,255,5,0,0,260,0,0,,0,,140,822,585,0,0,0,0,0,94,0
837,Nicolò Fagioli,it,MF,,Juventus,Serie A,22,2001,4.9,263,3,38,143,84,5,263,7,3,42.9,2,28.6,167,775,326,8,6,1,10,4,191,15
838,Romain Faivre,fr,MF,FW,Bournemouth,Premier League,25,1998,0.5,37,1,3,15,19,3,37,7,2,28.6,3,42.9,24,215,121,4,4,0,3,1,31,4
839,Romain Faivre,fr,MF,FW,Lorient,Ligue 1,25,1998,16.1,798,10,117,365,335,40,798,93,44,47.3,43,46.2,657,5115,2142,68,48,11,37,17,599,78
840,Ilhan Fakili,fr,MF,FW,Clermont Foot,Ligue 1,17,2006,1.0,45,0,3,19,23,4,45,6,1,16.7,5,83.3,33,181,73,2,1,2,5,2,35,7
841,Radamel Falcao,co,FW,DF,Rayo Vallecano,La Liga,37,1986,4.5,169,4,13,67,91,23,168,8,3,37.5,4,50.0,97,429,171,7,4,5,13,12,132,23
842,Wladimiro Falcone,it,GK,,Lecce,Serie A,28,1995,38.0,1250,1113,1246,4,0,0,1250,0,0,,0,,708,4067,2547,0,1,1,1,0,568,0
843,Fali,es,DF,,Cádiz,La Liga,29,1993,28.3,1307,191,647,615,52,18,1307,5,3,60.0,1,20.0,643,3354,2047,16,8,0,6,2,696,10
844,Davide Faraoni,it,DF,,Hellas Verona,Serie A,31,1991,6.7,386,20,94,194,102,12,386,7,3,42.9,4,57.1,190,782,400,13,8,1,14,2,211,31
845,Davide Faraoni,it,DF,,Fiorentina,Serie A,31,1991,4.4,298,15,72,153,73,4,298,4,1,25.0,3,75.0,159,842,408,7,1,1,4,2,176,16
846,Ansu Fati,es,MF,FW,Brighton,Premier League,20,2002,5.8,300,4,27,141,135,43,300,18,5,27.8,9,50.0,212,1025,451,16,5,9,15,10,238,50
847,Ansu Fati,es,MF,FW,Barcelona,La Liga,20,2002,0.6,42,0,1,16,25,5,42,3,1,33.3,1,33.3,32,266,157,6,4,2,1,1,35,5
848,Khalil Fayad,fr,FW,MF,Montpellier,Ligue 1,19,2004,11.4,473,12,95,242,139,24,473,23,10,43.5,11,47.8,338,1944,832,18,14,4,15,14,307,47
849,Federico Fazio,ar,DF,,Salernitana,Serie A,36,1987,15.1,773,134,403,346,27,17,773,2,2,100.0,0,0.0,325,1521,825,2,0,0,8,3,370,2
850,Jacopo Fazzini,it,MF,,Empoli,Serie A,20,2003,13.7,714,24,160,324,242,36,714,41,20,48.8,17,41.5,364,2063,939,24,19,7,32,21,382,51
851,Peter Federico,do,MF,FW,Valencia,La Liga,21,2002,7.2,272,7,41,94,141,29,272,29,13,44.8,14,48.3,138,866,403,19,8,9,25,7,158,48
852,Nabil Fekir,fr,MF,FW,Betis,La Liga,30,1993,11.7,749,4,48,361,351,54,749,34,21,61.8,6,17.6,449,2232,1113,32,28,7,43,23,584,77
853,Felipe,br,DF,,Nott'ham Forest,Premier League,34,1989,4.2,257,22,133,116,9,4,257,2,1,50.0,1,50.0,147,692,361,1,1,0,3,1,156,0
854,Luiz Felipe,it,DF,,Betis,La Liga,26,1997,4.0,209,36,134,73,4,3,209,0,0,,0,,106,499,145,0,0,0,1,0,129,0
855,João Félix,pt,FW,,Barcelona,La Liga,23,1999,17.1,929,15,91,351,495,104,929,89,29,32.6,51,57.3,613,3648,1930,69,53,31,43,32,766,169
856,Ohis Felix Uduokhai,de,DF,,Augsburg,Bundesliga,25,1997,32.5,2036,299,1027,916,103,53,2036,7,6,85.7,1,14.3,1077,5100,2608,25,11,1,17,7,1202,6
857,Kiko Femenía,es,DF,,Villarreal,La Liga,32,1991,17.6,1275,62,460,604,228,9,1275,11,6,54.5,5,45.5,627,3750,2073,46,27,1,18,5,743,45
858,Evan Ferguson,ie,FW,,Brighton,Premier League,18,2004,15.2,448,13,64,204,185,45,448,16,7,43.8,6,37.5,286,1299,414,13,9,5,40,31,336,62
859,Lewis Ferguson,sct,MF,,Bologna,Serie A,23,1999,30.1,2043,54,317,1178,561,82,2043,34,14,41.2,15,44.1,1213,5803,2570,57,45,13,22,22,1646,138
860,Bruno Fernandes,pt,MF,FW,Manchester Utd,Premier League,28,1994,34.6,2585,96,414,1069,1126,105,2580,44,19,43.2,21,47.7,1367,6155,3408,86,61,23,48,35,1715,182
861,Edimilson Fernandes,ch,DF,,Mainz 05,Bundesliga,27,1996,14.3,951,98,403,418,138,4,951,8,6,75.0,2,25.0,483,2609,1467,9,12,1,6,5,532,9
862,Aitor Fernández,es,GK,,Osasuna,La Liga,32,1991,6.1,216,156,207,9,1,1,216,0,0,,0,,112,636,426,0,0,0,0,0,95,0
863,Álex Fernández,es,MF,,Cádiz,La Liga,30,1992,14.3,775,52,212,405,163,8,775,7,4,57.1,2,28.6,384,1736,783,11,20,1,9,12,463,26
864,Carlos Fernández,es,FW,,Real Sociedad,La Liga,27,1996,4.5,142,6,16,79,49,14,141,10,3,30.0,7,70.0,64,315,100,5,3,0,13,14,85,13
865,Enzo Fernández,ar,MF,,Chelsea,Premier League,22,2001,24.5,2128,67,442,1209,488,47,2126,44,23,52.3,17,38.6,1315,6080,3109,52,46,8,29,24,1675,54
866,Raúl Fernández,es,GK,,Granada,La Liga,35,1988,3.1,115,90,115,0,0,0,115,0,0,,0,,58,357,205,0,0,0,0,0,47,0
867,Valery Fernández,es,MF,FW,Girona,La Liga,23,1999,5.6,285,12,60,108,120,23,285,19,7,36.8,6,31.6,182,1299,590,20,10,7,15,8,204,54
868,Fernando,es,GK,,Almería,La Liga,33,1990,4.0,169,138,167,2,0,0,169,0,0,,0,,93,536,339,0,0,0,0,0,74,0
869,Fernando,br,MF,,Sevilla,La Liga,36,1987,5.1,288,10,74,169,49,5,288,6,4,66.7,1,16.7,168,878,429,5,8,1,5,3,186,7
870,Ichem Ferrah,fr,FW,,Lille,Ligue 1,17,2005,0.0,3,0,0,2,1,0,3,0,0,,0,,2,7,0,0,0,0,1,0,2,2
871,Andrea Ferraris,it,MF,,Monza,Serie A,20,2003,0.1,5,0,1,2,2,0,5,0,0,,0,,3,11,9,0,0,0,0,0,3,0
872,André Ferreira,pt,GK,,Granada,La Liga,27,1996,14.9,542,473,541,1,0,0,542,0,0,,0,,271,1478,829,0,0,0,2,1,192,0
873,João Ferreira,pt,DF,,Udinese,Serie A,22,2001,20.2,1107,122,501,475,146,11,1107,33,18,54.5,12,36.4,515,2764,1488,19,21,4,22,8,533,45
874,Jordan Ferri,fr,MF,,Montpellier,Ligue 1,31,1992,22.6,1525,51,347,877,320,18,1525,36,17,47.2,19,52.8,1231,6540,2900,37,43,5,45,33,1132,68
875,Nacho Ferri,es,FW,MF,Eint Frankfurt,Bundesliga,18,2004,0.8,45,2,5,21,19,6,45,1,0,0.0,1,100.0,23,93,19,0,0,0,6,2,32,8
876,Rachad Fettal,ma,FW,,Almería,La Liga,18,2005,0.2,9,0,1,6,2,1,9,0,0,,0,,4,3,2,0,0,0,1,0,6,2
877,Seydou Fini,it,DF,FW,Genoa,Serie A,17,2006,0.4,19,0,1,6,12,1,19,1,0,0.0,1,100.0,11,64,23,1,2,0,1,1,13,2
878,Max Finkgräfe,de,DF,FW,Köln,Bundesliga,19,2004,19.5,1121,53,333,510,308,24,1121,58,36,62.1,21,36.2,495,3461,1845,51,35,11,37,24,527,59
879,Vincenzo Fiorillo,it,GK,,Salernitana,Serie A,33,1990,4.0,141,131,139,2,0,0,141,0,0,,0,,57,290,176,0,0,0,0,0,39,0
880,Kilian Fischer,de,DF,MF,Wolfsburg,Bundesliga,22,2000,3.2,185,9,60,71,55,8,185,2,1,50.0,1,50.0,72,399,179,6,3,1,5,1,93,9
881,John Fleck,sct,MF,DF,Sheffield Utd,Premier League,31,1991,1.0,49,3,10,29,11,1,49,1,0,0.0,0,0.0,19,81,39,2,1,0,2,0,27,0
882,Mark Flekken,nl,GK,,Brentford,Premier League,30,1993,36.5,1658,1268,1584,74,0,0,1658,4,3,75.0,1,25.0,930,5167,2908,0,0,0,0,0,810,0
883,Alessandro Florenzi,it,DF,,Milan,Serie A,32,1991,19.2,1449,62,403,699,354,19,1449,13,1,7.7,11,84.6,816,4084,2195,29,28,1,17,5,916,50
884,Phil Foden,eng,FW,MF,Manchester City,Premier League,23,2000,31.7,2146,22,174,785,1211,190,2146,102,47,46.1,46,45.1,1435,6921,3434,93,79,56,62,49,1753,269
885,Wes Foderingham,eng,GK,,Sheffield Utd,Premier League,32,1991,29.4,1154,943,1136,20,0,0,1154,2,2,100.0,0,0.0,574,3483,2223,0,0,0,1,1,388,0
886,Malick Fofana,be,FW,,Lyon,Ligue 1,18,2005,6.2,244,7,37,84,133,21,244,15,8,53.3,7,46.7,210,1566,836,26,18,10,16,11,197,60
887,Youssouf Fofana,fr,MF,,Monaco,Ligue 1,24,1999,30.0,2113,66,357,1329,458,49,2113,67,39,58.2,26,38.8,1614,9082,4247,53,83,8,49,33,1465,86
888,Jonas Föhrenbach,de,DF,,Heidenheim,Bundesliga,27,1996,31.0,1714,114,642,733,355,21,1714,27,8,29.6,16,59.3,777,4085,2496,44,32,2,22,11,860,69
889,Thomas Foket,be,DF,,Reims,Ligue 1,28,1994,20.4,1250,78,374,569,314,19,1250,12,7,58.3,5,41.7,796,4095,1848,24,24,1,27,10,730,84
890,Michael Folorunsho,it,MF,FW,Hellas Verona,Serie A,25,1998,30.9,1200,63,233,606,384,57,1200,70,22,31.4,42,60.0,662,3947,1714,56,41,8,62,38,730,110
891,Tiago Fonseca Morais,pt,FW,,Lille,Ligue 1,19,2003,0.5,23,0,2,14,8,2,23,3,0,0.0,3,100.0,17,100,49,3,0,1,1,0,13,2
892,Pablo Fornals,es,MF,FW,West Ham,Premier League,27,1996,4.7,277,7,53,128,98,20,277,12,6,50.0,5,41.7,156,645,256,4,7,2,8,8,176,27
893,Pablo Fornals,es,FW,MF,Betis,La Liga,27,1996,12.8,811,10,103,423,295,40,811,26,11,42.3,14,53.8,420,2044,1160,37,23,13,25,13,571,82
894,Emil Forsberg,se,MF,FW,RB Leipzig,Bundesliga,31,1991,5.2,261,7,25,132,105,19,260,9,3,33.3,4,44.4,173,801,290,8,3,4,12,7,196,38
895,Omari Forson,eng,FW,,Manchester Utd,Premier League,19,2004,0.8,39,0,2,25,12,1,39,2,1,50.0,1,50.0,29,115,34,1,3,0,1,0,31,2
896,Philipp Förster,de,MF,FW,Bochum,Bundesliga,28,1995,4.3,250,2,24,114,114,9,250,4,1,25.0,1,25.0,125,660,276,7,10,1,9,7,149,19
897,Héctor Fort,es,DF,,Barcelona,La Liga,16,2006,3.5,250,10,72,118,60,3,250,7,3,42.9,4,57.1,144,572,197,3,3,0,1,2,174,38
898,Lyle Foster,za,FW,MF,Burnley,Premier League,22,2000,21.1,692,41,93,289,321,93,692,39,19,48.7,18,46.2,380,2464,1278,55,31,36,69,33,479,104
899,Dimitri Foulquier,fr,DF,MF,Valencia,La Liga,30,1993,20.5,1258,47,423,558,290,18,1258,45,22,48.9,16,35.6,577,3158,1668,42,32,6,34,16,659,64
