Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
148,Jonathan Asp Jensen,dk,FW,,Bayern Munich,Bundesliga,17,2006,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
149,Iago Aspas,es,FW,,Celta Vigo,La Liga,35,1987,30.1,1546,11,99,650,816,137,1541,47,29,61.7,12,25.5,995,5117,2527,84,61,25,52,36,1146,202
150,Lorenz Assignon,tg,DF,,Burnley,Premier League,23,2000,13.7,670,46,210,270,207,30,670,32,13,40.6,17,53.1,283,1862,1063,38,16,12,27,13,303,57
151,Lorenz Assignon,tg,DF,,Rennes,Ligue 1,23,2000,11.2,712,26,158,323,237,21,712,23,10,43.5,13,56.5,489,2754,1380,28,19,7,13,5,431,67
152,Youcef Atal,dz,DF,,Nice,Ligue 1,27,1996,4.0,286,7,68,169,57,3,286,21,11,52.4,8,38.1,220,1488,701,9,14,1,5,3,193,5
153,Valentin Atangana Edoa,fr,MF,,Reims,Ligue 1,17,2005,6.2,264,13,69,136,65,11,264,8,2,25.0,5,62.5,166,1141,424,10,11,2,12,3,150,17
154,Arthur Atta,fr,MF,FW,Metz,Ligue 1,20,2003,10.3,544,33,138,291,121,16,544,29,12,41.4,16,55.2,364,2198,921,16,15,2,17,16,340,22
155,Noah Atubolu,de,GK,,Freiburg,Bundesliga,21,2002,34.0,1461,1103,1440,22,0,0,1461,0,0,,0,,835,4754,2508,0,0,0,2,0,729,0
156,Pierre-Emerick Aubameyang,ga,FW,,Marseille,Ligue 1,34,1989,29.1,960,30,85,377,512,163,956,34,18,52.9,14,41.2,696,4062,1628,68,34,38,42,21,680,235
157,Emil Audero,it,GK,,Inter,Serie A,26,1997,3.7,200,173,200,0,0,0,200,0,0,,0,,147,639,377,0,0,0,0,0,139,0
158,Tommaso Augello,it,DF,,Cagliari,Serie A,28,1994,26.9,1544,97,529,625,408,9,1544,29,15,51.7,12,41.4,692,3963,2135,62,34,1,21,8,772,99
159,Carlos Augusto,br,DF,,Inter,Serie A,24,1999,19.2,1285,96,425,553,317,52,1285,21,12,57.1,6,28.6,733,3634,1863,42,32,12,21,14,876,88
160,Yann Aurel Bisseck,de,DF,,Inter,Serie A,22,2000,10.0,737,88,350,306,84,19,737,13,5,38.5,7,53.8,497,2911,1551,24,24,1,10,4,576,20
161,Serge Aurier,ci,DF,MF,Nott'ham Forest,Premier League,30,1992,9.3,568,39,165,280,127,13,568,14,3,21.4,11,78.6,249,1039,532,10,15,1,9,8,347,29
162,Ezequiel Ávila,ar,FW,MF,Osasuna,La Liga,29,1994,9.6,474,5,41,183,253,28,474,18,5,27.8,10,55.6,236,1037,429,14,16,5,12,1,314,75
163,Ezequiel Ávila,ar,FW,,Betis,La Liga,29,1994,3.3,125,4,9,47,69,10,125,4,2,50.0,1,25.0,89,478,184,7,4,1,5,3,106,31
164,Taiwo Awoniyi,ng,FW,,Nott'ham Forest,Premier League,25,1997,11.6,294,14,30,153,118,43,294,16,8,50.0,7,43.8,168,748,320,8,6,6,38,11,209,45
165,André Ayew,gh,FW,,Le Havre,Ligue 1,33,1989,12.3,389,12,45,181,168,49,389,28,16,57.1,10,35.7,255,1466,501,14,10,5,25,20,273,65
166,Jordan Ayew,gh,FW,MF,Crystal Palace,Premier League,31,1991,28.3,1349,24,182,592,598,95,1349,130,52,40.0,57,43.8,836,5509,2119,74,55,20,85,80,967,173
167,Neil El Aynaoui,fr,MF,,Lens,Ligue 1,22,2001,17.4,877,40,169,526,193,39,877,39,15,38.5,16,41.0,646,3426,1271,25,21,1,27,16,580,44
168,Sardar Azmoun,ir,FW,MF,Roma,Serie A,28,1995,6.5,232,6,24,110,101,29,232,13,4,30.8,7,53.8,137,607,206,5,9,1,17,10,171,35
169,César Azpilicueta,es,DF,,Atlético Madrid,La Liga,33,1989,15.8,1168,83,381,613,179,12,1168,6,1,16.7,3,50.0,624,3341,2153,39,22,3,10,6,752,39
170,Paulo Azzi,br,DF,MF,Cagliari,Serie A,29,1994,10.6,620,30,166,249,216,19,620,28,13,46.4,11,39.3,295,2243,1398,47,39,5,14,5,328,42
171,Oussama El Azzouzi,ma,MF,,Bologna,Serie A,22,2001,6.1,448,19,105,287,58,8,448,3,0,0.0,3,100.0,274,1340,577,4,3,0,5,5,345,8
172,Abdellah Baallal,ma,MF,,Clermont Foot,Ligue 1,18,2004,0.0,5,0,2,2,1,0,5,0,0,,0,,3,17,6,0,0,0,0,0,2,0
173,Iddrisu Baba,gh,MF,,Almería,La Liga,27,1996,15.9,822,47,254,521,58,4,822,19,14,73.7,3,15.8,460,2217,844,1,3,0,18,7,482,5
174,Srđan Babić,rs,DF,,Almería,La Liga,27,1996,1.0,69,5,29,38,2,1,69,0,0,,0,,44,285,199,1,1,0,0,0,49,0
175,Shavy Babicka,ga,FW,MF,Toulouse,Ligue 1,23,2000,4.1,182,3,17,63,104,12,182,15,6,40.0,9,60.0,132,912,379,17,4,6,13,3,127,64
176,Aliou Badara Baldé,gn,FW,DF,Nice,Ligue 1,20,2002,0.8,58,1,5,19,36,5,58,10,3,30.0,6,60.0,35,353,161,5,5,1,2,0,28,8
177,Loïc Bade,fr,DF,,Sevilla,La Liga,23,2000,25.3,1648,184,920,692,55,24,1648,21,11,52.4,10,47.6,846,4490,2358,15,8,1,12,4,1000,3
178,Milan Badelj,hr,MF,,Genoa,Serie A,34,1989,28.2,1696,81,425,1029,255,18,1696,33,17,51.5,13,39.4,904,3806,1728,18,17,1,31,19,1097,36
179,Matthias Bader,de,DF,MF,Darmstadt 98,Bundesliga,26,1997,20.0,1134,47,384,494,267,25,1134,48,18,37.5,24,50.0,588,3257,1673,38,30,6,36,14,629,66
180,Benoît Badiashile,fr,DF,,Chelsea,Premier League,22,2001,14.9,1321,178,662,612,52,11,1321,1,0,0.0,0,0.0,765,3225,1734,3,5,1,6,4,976,3
181,Alex Baena,es,MF,FW,Villarreal,La Liga,22,2001,28.7,1550,29,224,650,693,102,1549,53,26,49.1,24,45.3,908,5282,2765,84,58,23,66,33,1120,181
182,Jaime Báez,uy,FW,MF,Frosinone,Serie A,28,1995,5.6,248,5,31,110,111,14,248,10,5,50.0,3,30.0,143,892,431,12,6,2,11,11,174,39
183,Nicola Bagnolini,it,GK,,Bologna,Serie A,19,2004,0.1,4,4,4,0,0,0,4,0,0,,0,,1,10,1,0,0,0,0,0,1,0
184,Leon Bailey,jm,MF,FW,Aston Villa,Premier League,25,1997,23.0,1040,19,151,318,589,129,1040,119,57,47.9,50,42.0,717,5148,2495,102,47,41,51,41,764,226
185,Eric Bailly,ci,DF,,Villarreal,La Liga,29,1994,9.3,459,79,282,175,9,3,459,8,7,87.5,0,0.0,243,1616,816,3,2,0,4,3,288,1
186,Stefan Bajcetic,es,MF,,Liverpool,Premier League,18,2004,0.3,12,0,4,8,0,0,12,0,0,,0,,9,46,24,0,0,0,0,0,9,0
187,Nedim Bajrami,al,MF,FW,Sassuolo,Serie A,24,1999,14.6,583,9,69,213,318,43,583,31,17,54.8,13,41.9,310,2647,1390,51,25,11,27,11,355,70
188,Cédric Bakambu,cd,FW,,Betis,La Liga,32,1991,2.2,66,0,3,35,28,11,66,3,1,33.3,2,66.7,35,210,110,5,2,3,11,4,50,12
189,Tiemoué Bakayoko,fr,MF,,Lorient,Ligue 1,28,1994,14.6,785,39,209,491,94,15,785,15,5,33.3,10,66.7,581,3428,1264,14,21,1,23,15,525,15
190,Mitchel Bakker,nl,DF,,Atalanta,Serie A,23,2000,4.2,255,6,70,116,77,10,255,12,7,58.3,4,33.3,139,807,457,12,8,2,10,3,151,20
191,Ridle Baku,de,DF,MF,Wolfsburg,Bundesliga,25,1998,22.4,1328,52,313,574,457,54,1328,40,17,42.5,18,45.0,732,3412,1536,37,31,9,48,20,811,130
192,Dilane Bakwa,fr,FW,MF,Strasbourg,Ligue 1,20,2002,24.2,1158,20,127,487,577,75,1158,121,52,43.0,62,51.2,806,6019,2898,94,76,24,49,38,756,204
193,Tommaso Baldanzi,it,MF,FW,Empoli,Serie A,20,2003,8.3,347,2,28,151,176,26,347,26,7,26.9,16,61.5,230,1420,641,20,16,6,19,13,260,40
194,Tommaso Baldanzi,it,FW,MF,Roma,Serie A,20,2003,5.8,261,1,26,122,116,19,261,22,8,36.4,10,45.5,176,1068,499,18,16,5,5,7,213,54
195,Alejandro Balde,es,DF,,Barcelona,La Liga,19,2003,15.3,979,35,215,394,384,40,979,53,20,37.7,20,37.7,567,3770,2213,73,36,20,32,16,664,141
196,George Baldock,gr,DF,,Sheffield Utd,Premier League,30,1993,10.8,505,66,200,192,116,9,505,11,6,54.5,4,36.4,238,988,463,9,3,4,9,9,258,24
197,Carlos Baleba,cm,MF,,Brighton,Premier League,19,2004,14.7,965,65,255,580,139,5,965,22,11,50.0,6,27.3,571,2903,1423,19,19,1,16,16,664,9
198,Carlos Baleba,cm,MF,,Lille,Ligue 1,19,2004,0.7,59,1,8,39,12,0,59,0,0,,0,,43,203,69,1,1,0,0,2,42,1
199,Leonardo Balerdi,ar,DF,,Marseille,Ligue 1,24,1999,25.2,1936,188,845,1036,73,18,1936,18,9,50.0,6,33.3,1412,7846,4056,19,23,0,17,10,1271,6
200,Iván Balliu,al,DF,,Rayo Vallecano,La Liga,31,1992,31.9,1736,83,477,797,471,33,1736,20,7,35.0,10,50.0,708,3600,1825,50,29,5,28,11,876,100
201,Fodé Ballo-Touré,sn,DF,MF,Fulham,Premier League,26,1997,0.8,91,4,35,39,18,1,91,6,3,50.0,2,33.3,48,300,163,5,2,1,0,0,50,4
202,Folarin Balogun,us,FW,,Monaco,Ligue 1,22,2001,18.8,620,5,30,248,345,140,617,41,11,26.8,28,68.3,501,2890,793,35,18,29,80,42,490,199
203,Jonathan Bamba,ci,MF,FW,Celta Vigo,La Liga,27,1996,22.0,1037,12,119,457,487,91,1037,106,42,39.6,53,50.0,754,4987,2946,107,48,31,49,24,805,169
204,Mohamed Bamba,ci,FW,,Lorient,Ligue 1,21,2001,12.6,405,9,32,195,187,76,404,29,11,37.9,17,58.6,278,1675,762,25,22,13,31,25,281,69
205,Samuel Bamba,de,FW,,Dortmund,Bundesliga,19,2004,0.5,30,1,4,5,22,8,30,1,1,100.0,0,0.0,15,146,103,5,3,1,5,0,22,7
206,Lameck Banda,zm,FW,,Lecce,Serie A,22,2001,15.0,602,2,75,231,315,61,602,99,42,42.4,50,50.5,414,3556,1752,70,34,34,57,29,404,136
207,Daniel Bandeira,pt,MF,,Hellas Verona,Serie A,23,2000,5.0,276,12,47,164,67,2,276,4,3,75.0,0,0.0,124,718,392,9,4,1,4,6,160,8
208,Mamady Bangré,bf,FW,MF,Toulouse,Ligue 1,22,2001,1.1,97,2,14,33,50,13,97,5,1,20.0,4,80.0,76,542,312,10,5,2,4,4,69,12
209,Mattia Bani,it,DF,,Genoa,Serie A,29,1993,25.6,1418,230,868,517,37,17,1418,4,1,25.0,2,50.0,749,3417,1524,5,2,0,10,2,834,4
210,Léo Baptistão,br,FW,,Almería,La Liga,30,1992,20.4,793,23,123,416,267,67,793,28,12,42.9,14,50.0,399,2131,1118,26,21,8,38,17,532,88
211,Shandon Baptiste,gd,MF,,Brentford,Premier League,25,1998,2.5,130,7,41,57,34,6,130,11,6,54.5,5,45.5,64,322,170,3,1,0,8,0,69,1
212,Antonín Barák,cz,MF,FW,Fiorentina,Serie A,28,1994,9.0,473,6,38,218,219,40,473,13,4,30.8,8,61.5,310,1648,634,17,23,1,15,16,372,64
213,Valentín Barco,ar,DF,FW,Brighton,Premier League,19,2004,3.4,274,7,73,102,100,5,274,11,5,45.5,4,36.4,181,697,367,8,4,0,5,4,188,20
214,Bradley Barcola,fr,FW,,Lyon,Ligue 1,20,2002,3.0,129,1,10,56,64,19,129,18,8,44.4,10,55.6,103,688,303,11,6,8,7,2,99,31
215,Bradley Barcola,fr,FW,MF,Paris S-G,Ligue 1,20,2002,15.2,802,16,97,251,475,103,802,94,46,48.9,43,45.7,639,4527,2538,93,50,50,45,11,613,216
216,Melvin Bard,fr,DF,,Nice,Ligue 1,22,2000,29.5,2106,83,686,1010,449,22,2106,73,37,50.7,31,42.5,1447,8425,3915,60,87,7,41,14,1263,99
217,Nicolò Barella,it,MF,,Inter,Serie A,26,1997,31.6,2425,43,424,1281,739,58,2425,59,29,49.2,24,40.7,1556,7283,3389,68,73,9,39,29,1941,144
218,Kike Barja,es,FW,MF,Osasuna,La Liga,26,1997,3.4,165,5,15,55,98,14,165,22,11,50.0,8,36.4,109,712,357,17,8,5,17,7,128,41
219,Ross Barkley,eng,MF,,Luton Town,Premier League,29,1993,29.1,1778,73,374,1012,430,39,1778,104,66,63.5,34,32.7,1006,6416,2807,48,49,4,27,56,1115,39
220,Aymen Barkok,ma,MF,FW,Mainz 05,Bundesliga,25,1998,3.6,238,2,19,116,103,19,237,8,2,25.0,4,50.0,123,655,344,14,4,5,12,5,174,33
221,Harvey Barnes,eng,FW,MF,Newcastle Utd,Premier League,25,1997,8.9,360,5,48,117,200,60,360,25,7,28.0,14,56.0,266,1782,1093,45,21,23,12,16,285,79
222,Leandro Barreiro Martins,lu,MF,,Mainz 05,Bundesliga,23,2000,29.0,1303,74,337,709,268,68,1303,33,15,45.5,15,45.5,487,2084,922,22,20,6,42,14,672,46
223,Enzo Barrenechea,ar,MF,,Frosinone,Serie A,22,2001,31.2,2213,104,622,1408,205,13,2213,18,8,44.4,8,44.4,1005,4013,1526,10,12,0,20,16,1385,24
224,Ander Barrenetxea,es,FW,MF,Real Sociedad,La Liga,21,2001,15.9,794,8,82,307,415,68,794,78,38,48.7,30,38.5,526,3503,1479,56,35,22,55,45,586,163
225,Pablo Barrios,es,MF,,Atlético Madrid,La Liga,20,2003,17.3,1085,39,239,622,238,15,1085,47,35,74.5,9,19.1,660,3667,1661,37,39,3,40,23,776,56
