Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
53,Maghnes Akliouche,fr,FW,MF,Monaco,Ligue 1,22,2002,7,4,392,4.4,0,1,1,0,0,0,0,0,1.0,1.0,0.9,1.9,19,30,32,0.00,0.23,0.23,0.00,0.23,0.23,0.21,0.44,0.23,0.44
54,Clément Akpa,ci,DF,,Auxerre,Ligue 1,22,2001,7,5,453,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,15,26,23,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08
55,David Akpan Ankeye,ng,FW,MF,Genoa,Serie A,22,2002,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,29,1995,7,7,630,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,28,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Andreas Albers,dk,FW,,St. Pauli,Bundesliga,34,1990,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,4,0.00,0.00,0.00,0.00,0.00,0.31,0.32,0.62,0.31,0.62
58,Raúl Albiol,es,DF,,Villarreal,La Liga,39,1985,8,7,558,6.2,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
59,Carlos Alcaraz,ar,MF,,Southampton,Premier League,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48
60,Omar Alderete,py,DF,,Getafe,La Liga,27,1996,9,9,810,9.0,0,0,0,0,0,0,2,0,0.4,0.4,0.6,1.0,7,38,0,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11
61,Carles Aleñá,es,MF,FW,Getafe,La Liga,26,1998,6,3,305,3.4,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,8,7,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
62,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,26,1998,8,8,662,7.4,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,19,41,25,0.00,0.14,0.14,0.00,0.14,0.05,0.29,0.33,0.05,0.33
63,Alfon,es,FW,MF,Celta Vigo,La Liga,25,1999,5,2,206,2.3,0,0,0,0,0,0,0,1,0.8,0.8,0.7,1.5,12,7,24,0.00,0.00,0.00,0.00,0.00,0.37,0.30,0.67,0.37,0.67
64,Mohamed Ali Cho,fr,FW,,Nice,Ligue 1,20,2004,6,6,428,4.8,2,0,2,2,0,0,0,0,1.2,1.2,0.7,1.9,13,9,37,0.42,0.00,0.42,0.42,0.42,0.25,0.15,0.40,0.25,0.40
65,Faride Alidou,de,FW,MF,Hellas Verona,Serie A,23,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
66,Alisson,br,GK,,Liverpool,Premier League,32,1992,6,6,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,Jim Allevinah,ga,FW,,Angers,Ligue 1,29,1995,5,4,305,3.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,7,15,21,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10
68,Domingos André Ribeiro Almeida,pt,FW,MF,Valencia,La Liga,24,2000,9,5,454,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,10,34,18,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.10,0.03,0.10
69,Iker Almena,es,FW,DF,Girona,La Liga,20,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33
70,Miguel Almirón,py,FW,,Newcastle Utd,Premier League,30,1994,4,0,38,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,4,6,0.00,0.00,0.00,0.00,0.00,0.45,0.42,0.88,0.45,0.88
71,Pontus Almqvist,se,FW,MF,Parma,Serie A,25,1999,7,1,224,2.5,1,1,2,1,0,0,0,0,0.5,0.5,0.8,1.3,13,4,17,0.40,0.40,0.80,0.40,0.80,0.19,0.33,0.53,0.19,0.53
72,Marcos Alonso,es,DF,MF,Celta Vigo,La Liga,33,1990,6,4,462,5.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,14,38,19,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
73,Giorgio Altare,it,DF,,Venezia,Serie A,26,1998,3,2,194,2.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,4,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
74,Adrià Altimira,es,FW,DF,Leganés,La Liga,23,2001,5,3,268,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,6,14,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
75,Sergi Altimira,es,MF,,Betis,La Liga,23,2001,7,4,421,4.7,0,1,1,0,0,0,2,0,0.3,0.2,0.2,0.4,5,22,6,0.00,0.21,0.21,0.00,0.21,0.06,0.04,0.10,0.04,0.08
76,Edson Álvarez,mx,MF,DF,West Ham,Premier League,27,1997,6,3,274,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,13,3,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
77,Hugo Álvarez,es,MF,DF,Celta Vigo,La Liga,21,2003,10,8,762,8.5,1,1,2,1,0,0,3,0,0.4,0.4,0.4,0.8,37,26,80,0.12,0.12,0.24,0.12,0.24,0.05,0.05,0.10,0.05,0.10
78,Julián Álvarez,ar,FW,MF,Atlético Madrid,La Liga,24,2000,10,6,545,6.1,3,1,4,3,0,0,1,0,2.0,2.0,0.6,2.6,17,7,32,0.50,0.17,0.66,0.50,0.66,0.33,0.09,0.42,0.33,0.42
79,Yeray Álvarez,es,DF,,Athletic Club,La Liga,29,1995,4,4,360,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,28,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
80,Skelly Alvero,fr,MF,,Werder Bremen,Bundesliga,22,2002,5,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,Selim Amallah,ma,MF,FW,Valladolid,La Liga,27,1996,8,7,529,5.9,2,1,3,1,1,1,1,0,2.5,1.7,0.2,1.9,10,22,11,0.34,0.17,0.51,0.17,0.34,0.42,0.03,0.45,0.28,0.32
82,Amath,sn,FW,DF,Valladolid,La Liga,28,1996,6,5,293,3.3,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.6,7,10,17,0.00,0.31,0.31,0.00,0.31,0.11,0.06,0.17,0.11,0.17
83,Jordan Amavi,fr,DF,,Brest,Ligue 1,30,1994,6,5,434,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,11,16,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03
84,Aurele Amenda,ch,DF,,Eint Frankfurt,Bundesliga,21,2003,2,1,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Kelvin Amian,fr,DF,,Nantes,Ligue 1,26,1998,7,6,557,6.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,14,26,23,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
86,Michael Amir Murillo,pa,DF,,Marseille,Ligue 1,28,1996,8,7,658,7.3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,7,27,21,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
87,Nadiem Amiri,de,MF,,Mainz 05,Bundesliga,27,1996,6,6,472,5.2,2,2,4,1,1,1,2,1,1.1,0.3,1.4,1.7,8,37,15,0.38,0.38,0.76,0.19,0.57,0.21,0.26,0.48,0.06,0.33
88,Samuel Amo-Ameyaw,eng,DF,,Southampton,Premier League,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.62,0.80,0.18,0.80
89,Mathis Amougou,fr,MF,,Saint-Étienne,Ligue 1,18,2006,8,8,604,6.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,4,26,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
90,Mohamed Amoura,dz,FW,,Wolfsburg,Bundesliga,24,2000,5,4,398,4.4,1,4,5,1,0,0,2,0,1.3,1.3,1.1,2.4,15,7,40,0.23,0.90,1.13,0.23,1.13,0.29,0.26,0.55,0.29,0.55
91,Sofyan Amrabat,ma,MF,,Fiorentina,Serie A,28,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
92,Joachim Andersen,dk,DF,,Crystal Palace,Premier League,28,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
93,Joachim Andersen,dk,DF,,Fulham,Premier League,28,1996,5,5,423,4.7,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.4,3,16,0,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08
94,Elliot Anderson,eng,MF,FW,Nott'ham Forest,Premier League,21,2002,8,7,498,5.5,0,1,1,0,0,0,2,0,0.5,0.5,1.1,1.6,13,21,24,0.00,0.18,0.18,0.00,0.18,0.09,0.19,0.29,0.09,0.29
95,André,br,MF,,Wolves,Premier League,23,2001,6,5,362,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,10,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05
96,Benjamin André,fr,MF,,Lille,Ligue 1,34,1990,6,6,532,5.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,5,49,9,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
97,Marcos André,br,FW,,Valladolid,La Liga,28,1996,5,3,252,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,4,7,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
98,Robert Andrich,de,MF,DF,Leverkusen,Bundesliga,30,1994,5,5,409,4.5,2,0,2,2,0,0,2,0,0.5,0.5,0.1,0.6,1,22,5,0.44,0.00,0.44,0.44,0.44,0.11,0.02,0.13,0.11,0.13
99,Angeliño,es,DF,,Roma,Serie A,27,1997,8,8,688,7.6,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,19,65,27,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08
100,Lorenzo Anghelè,it,FW,,Juventus,Serie A,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Faustino Anjorin,eng,MF,,Empoli,Serie A,22,2001,5,4,296,3.3,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,9,17,6,0.00,0.30,0.30,0.00,0.30,0.05,0.17,0.22,0.05,0.22
102,Waldemar Anton,de,DF,,Dortmund,Bundesliga,28,1996,7,7,630,7.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,10,40,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
103,Michail Antonio,jm,FW,,West Ham,Premier League,34,1990,8,7,488,5.4,1,1,2,1,0,0,1,0,1.8,1.8,0.7,2.6,12,10,30,0.18,0.18,0.37,0.18,0.37,0.34,0.13,0.47,0.34,0.47
104,Antoniu,es,MF,,Espanyol,La Liga,22,2002,3,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.26,0.04,0.26
105,Antony,br,FW,,Manchester Utd,Premier League,24,2000,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.47,0.22,0.70,0.47,0.70
106,Anuar,ma,MF,FW,Valladolid,La Liga,29,1995,2,1,111,1.2,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,1,5,0.81,0.00,0.81,0.81,0.81,0.45,0.10,0.56,0.45,0.56
107,Dennis Appiah,fr,DF,,Saint-Étienne,Ligue 1,32,1992,7,5,527,5.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,11,27,15,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07
108,Aritz Arambarri,es,DF,,Leganés,La Liga,26,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
109,Mauro Arambarri,uy,MF,FW,Getafe,La Liga,29,1995,10,6,558,6.2,3,0,3,2,1,1,4,0,1.4,0.6,0.0,0.7,3,13,7,0.48,0.00,0.48,0.32,0.32,0.23,0.01,0.23,0.10,0.11
