Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Adrián,es,GK,,Liverpool,Premier League,33,1987,3.0,9,0,0,2,0,6.8,0.38,-2.2,-0.72,11,28,39.3,77,19,31.2,31.3,22,18.2,21.1,35,0,0.0,6,2.00,17.0
2,Rúnar Alex Rúnarsson,is,GK,,Arsenal,Premier League,25,1995,0.2,0,0,0,0,0,0.1,0.05,+0.1,+0.50,0,3,0.0,10,2,30.0,28.2,1,0.0,15.0,3,0,0.0,0,0.00,
3,Alisson,br,GK,,Liverpool,Premier League,27,1992,33.0,32,4,1,4,0,35.0,0.27,+3.0,+0.09,74,194,38.1,980,165,14.9,25.7,173,27.7,30.4,341,20,5.9,87,2.64,18.6
4,Saturnin Allagbé,bj,GK,,Dijon,Ligue 1,26,1993,12.0,30,1,1,2,1,20.3,0.28,-8.7,-0.72,66,187,35.3,297,70,40.7,35.2,105,62.9,45.2,166,5,3.0,17,1.42,16.2
5,Nícolas Andrade,br,GK,,Udinese,it Serie A,32,1988,2.0,5,0,0,0,0,3.7,0.62,-1.3,-0.64,7,13,53.8,31,6,25.8,29.4,9,55.6,43.1,23,0,0.0,0,0.00,11.0
6,Ángel,es,GK,,Granada,La Liga,18,2002,1.0,2,1,0,1,0,3.1,0.13,+1.1,+1.15,9,24,37.5,14,0,71.4,43.7,17,82.4,54.8,20,0,0.0,0,0.00,7.7
7,Alphonse Areola,fr,GK,,Fulham,Premier League,27,1993,36.0,48,6,0,2,1,50.5,0.28,+3.5,+0.10,144,389,37.0,760,173,32.8,30.0,251,55.8,39.8,501,26,5.2,31,0.86,13.0
8,Kepa Arrizabalaga,es,GK,,Chelsea,Premier League,25,1994,6.5,8,1,0,0,0,8.0,0.31,0.0,0.00,21,53,39.6,200,41,18.5,27.3,46,34.8,31.1,68,3,4.4,1,0.15,9.6
9,Sergio Asenjo,es,GK,,Villarreal,La Liga,31,1989,36.0,40,7,0,3,2,36.0,0.24,-2.0,-0.06,157,406,38.7,1022,190,26.3,30.2,283,48.4,40.4,564,27,4.8,32,0.89,13.9
10,Emil Audero,it,GK,,Sampdoria,it Serie A,23,1997,37.0,54,7,1,6,1,51.9,0.25,-1.1,-0.03,213,543,39.2,986,180,38.2,35.0,259,64.1,45.3,563,12,2.1,34,0.92,14.8
11,Édgar Badía,es,GK,,Elche,La Liga,28,1992,30.0,46,5,0,3,0,52.5,0.33,+6.5,+0.22,208,453,45.9,864,144,33.0,32.7,285,58.9,41.4,444,8,1.8,31,1.03,13.9
12,Stefan Bajic,fr,GK,,Saint-Étienne,Ligue 1,18,2001,1.0,4,0,0,0,0,1.6,0.39,-2.4,-2.42,4,16,25.0,30,9,33.3,35.0,7,85.7,47.1,17,0,0.0,0,0.00,7.7
13,Oliver Baumann,de,GK,,Hoffenheim,Bundesliga,30,1990,31.0,51,6,0,4,2,49.4,0.32,+0.4,+0.01,134,407,32.9,1143,176,29.2,29.9,204,35.8,32.0,417,14,3.4,53,1.71,18.3
14,Walter Benítez,ar,GK,,Nice,Ligue 1,27,1993,38.0,53,7,1,11,0,50.8,0.25,-2.2,-0.06,91,286,31.8,919,180,21.1,27.2,300,30.7,32.4,572,24,4.2,20,0.53,13.1
15,Alessandro Berardi,it,GK,,Hellas Verona,it Serie A,29,1991,0.3,0,0,0,0,0,0.0,0.02,0.0,+0.06,5,9,55.6,7,0,71.4,43.0,4,100.0,66.5,6,0,0.0,0,0.00,9.0
16,Paul Bernardoni,fr,GK,,Angers,Ligue 1,23,1997,38.0,58,7,0,5,1,53.5,0.33,-3.5,-0.09,143,456,31.4,712,214,37.5,35.2,269,70.3,50.9,516,19,3.7,17,0.45,11.3
17,Dimitry Bertaud,cd,GK,,Montpellier,Ligue 1,22,1998,8.3,11,1,0,1,0,14.0,0.32,+3.0,+0.36,94,180,52.2,230,46,47.8,39.3,82,85.4,55.4,145,7,4.8,2,0.24,10.5
18,Rubén Blanco,es,GK,,Celta Vigo,La Liga,25,1995,18.2,27,1,1,2,0,22.6,0.36,-4.4,-0.24,94,269,34.9,520,79,35.2,32.7,143,60.1,43.2,234,3,1.3,14,0.77,15.7
19,Elias Bördner,de,GK,,Eint Frankfurt,Bundesliga,18,2002,1.0,1,0,0,0,0,0.8,0.13,-0.2,-0.21,4,17,23.5,33,9,45.5,35.3,10,20.0,25.4,14,1,7.1,2,2.00,10.3
20,Yassine Bounou,ma,GK,,Sevilla,La Liga,29,1991,33.0,28,4,0,4,2,27.8,0.21,+1.8,+0.05,166,381,43.6,895,147,30.5,32.0,200,54.0,40.7,450,26,5.8,34,1.03,15.0
21,Claudio Bravo,cl,GK,,Betis,La Liga,37,1983,20.0,25,4,0,0,1,24.0,0.26,0.0,0.00,117,328,35.7,518,82,47.3,38.1,129,64.3,48.5,287,11,3.8,16,0.80,13.0
22,Fabian Bredlow,de,GK,,Stuttgart,Bundesliga,25,1995,1.0,1,0,0,0,0,2.8,0.31,+1.8,+1.77,2,10,20.0,30,6,30.0,29.4,9,11.1,25.0,31,1,3.2,0,0.00,8.8
23,Gianluigi Buffon,it,GK,,Juventus,it Serie A,42,1978,8.0,5,2,1,0,0,5.5,0.13,+0.5,+0.07,25,62,40.3,245,45,20.4,27.4,61,19.7,25.0,122,1,0.8,9,1.13,15.2
24,Roman Bürki,ch,GK,,Dortmund,Bundesliga,29,1990,18.5,30,4,0,6,0,28.4,0.27,-1.6,-0.09,62,166,37.3,519,108,24.7,29.5,110,34.5,34.9,187,4,2.1,13,0.70,16.3
25,Jack Butland,eng,GK,,Crystal Palace,Premier League,27,1993,1.0,2,0,0,0,0,1.0,0.20,-1.0,-1.02,3,18,16.7,13,2,76.9,48.9,8,100.0,68.1,18,1,5.6,2,2.00,23.3
