Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
94,Ivan Provedel,it,GK,,Lazio,Serie A,30,1994,8.0,12,2,0,1,1,9.7,0.29,-1.3,-0.16,40,110,36.4,244,30,37.7,36.0,30,60.0,48.7,105,12,11.4,6,0.75,10.9,Matches
95,Aaron Ramsdale,eng,GK,,Southampton,Premier League,26,1998,6.0,16,1,0,4,0,15.7,0.41,-0.3,-0.05,25,90,27.8,249,28,34.5,33.0,13,30.8,29.5,96,5,5.2,9,1.50,15.5,Matches
96,Federico Ravaglia,it,GK,,Bologna,Serie A,24,1999,3.0,3,0,0,0,0,1.7,0.20,-1.3,-0.42,8,28,28.6,98,11,21.4,27.9,15,46.7,40.7,28,4,14.3,4,1.33,14.2,Matches
97,David Raya,es,GK,,Arsenal,Premier League,29,1995,8.0,8,1,0,2,0,6.8,0.17,-1.2,-0.15,49,143,34.3,245,26,41.6,34.7,46,89.1,58.8,102,14,13.7,9,1.13,12.1,Matches
98,Pepe Reina,es,GK,,Como,Serie A,42,1982,3.0,5,0,0,0,0,4.3,0.33,-0.7,-0.23,9,33,27.3,85,10,35.3,32.9,7,42.9,33.7,38,1,2.6,2,0.67,15.3,Matches
99,Álex Remiro,es,GK,,Real Sociedad,La Liga,29,1995,10.0,8,4,0,0,0,7.9,0.14,-0.1,-0.01,49,111,44.1,277,30,24.9,30.6,65,64.6,49.5,129,6,4.7,11,1.10,14.9,Matches
100,Guillaume Restes,fr,GK,,Toulouse,Ligue 1,19,2005,8.0,11,0,0,1,2,6.7,0.24,-2.3,-0.29,28,73,38.4,198,24,25.8,28.6,33,66.7,48.9,95,2,2.1,6,0.75,14.9,Matches
101,Leo Román,es,GK,,Mallorca,La Liga,24,2000,3.0,1,0,0,0,0,2.1,0.16,+1.1,+0.36,16,50,32.0,76,4,48.7,39.6,23,56.5,51.6,50,0,0.0,0,0.00,12.0,Matches
102,Gerónimo Rulli,ar,GK,,Marseille,Ligue 1,32,1992,8.0,8,0,1,2,0,8.8,0.21,+0.8,+0.10,25,75,33.3,256,40,21.9,26.9,35,54.3,41.1,112,8,7.1,16,2.00,17.5,Matches
103,Frederik Rønnow,dk,GK,,Union Berlin,Bundesliga,32,1992,7.0,4,0,1,0,0,6.4,0.28,+2.4,+0.35,40,106,37.7,198,37,40.9,36.4,32,78.1,57.2,104,11,10.6,4,0.57,10.0,Matches
