Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90
1,Brenden Aaronson,us,MF,Leeds United,Premier League,21,2000,0,0,0,0,26.4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
2,Paxten Aaronson,us,MF,Eint Frankfurt,Bundesliga,18,2003,0,0,0,0,1.9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
3,James Abankwah,ie,DF,Udinese,it Serie A,18,2004,0,0,0,0,0.7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
4,George Abbott,eng,MF,Tottenham,Premier League,16,2005,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
5,Yunis Abdelhamid,ma,DF,Reims,Ligue 1,34,1987,0,0,0,0,37.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
6,Himad Abdelli,dz,MF,Angers,Ligue 1,22,1999,0,0,0,0,23.7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
7,Salis Abdul Samed,gh,MF,Lens,Ligue 1,22,2000,0,0,0,0,32.2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
8,Laurent Abergel,fr,MF,Lorient,Ligue 1,29,1993,0,0,0,0,26.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
9,Oliver Abildgaard,dk,MF,Hellas Verona,it Serie A,26,1996,0,0,0,0,6.6,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
10,Matthis Abline,fr,FW,Auxerre,Ligue 1,19,2003,0,0,0,0,9.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
11,Matthis Abline,fr,FW,Rennes,Ligue 1,19,2003,0,0,0,0,1.2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
12,Abner,br,DF,Betis,La Liga,22,2000,0,0,0,0,6.7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
13,Zakaria Aboukhlal,ma,FW,Toulouse,Ligue 1,22,2000,0,0,0,0,27.5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
14,Tammy Abraham,eng,FW,Roma,it Serie A,24,1997,0,0,0,0,24.3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
15,Christian Acella,it,MF,Cremonese,it Serie A,20,2002,0,0,0,0,0.2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
16,Francesco Acerbi,it,DF,Inter,it Serie A,34,1988,0,0,0,0,26.9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
