Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
1,Ismael Aaneba,fr,DF,Strasbourg,Ligue 1,21,1999,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
2,Patrick van Aanholt,nl,DF,Crystal Palace,Premier League,29,1990,0,0,0,0,22,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
3,Basit Abdallah,gh,MF,Benevento,it Serie A,20,1999,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
4,Yunis Abdelhamid,ma,DF,Reims,Ligue 1,32,1987,0,0,0,0,33,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
5,Sabit Abdulai,gh,MF,Getafe,La Liga,21,1999,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
6,Eris Abedini,xk,MF,Granada,La Liga,21,1998,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
7,Mehdi Abeid,dz,MF,Nantes,Ligue 1,27,1992,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
8,Laurent Abergel,fr,MF,Lorient,Ligue 1,27,1993,0,0,0,0,38,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
9,Charles Abi,fr,FW,Saint-Étienne,Ligue 1,20,2000,0,0,0,0,24,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
10,Matthis Abline,fr,FW,Rennes,Ligue 1,17,2003,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
11,Pape Abou Cissé,sn,DF,Saint-Étienne,Ligue 1,24,1995,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
12,Abdel Abqar,ma,DF,Alavés,La Liga,21,1999,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
13,David Abraham,ar,DF,Eint Frankfurt,Bundesliga,34,1986,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
14,Tammy Abraham,eng,FW,Chelsea,Premier League,22,1997,0,0,0,0,22,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
15,Amir Abrashi,al,MF,Freiburg,Bundesliga,30,1990,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
16,Gennaro Acampora,it,MF,Spezia,it Serie A,26,1994,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
17,Francesco Acerbi,it,DF,Lazio,it Serie A,32,1988,0,0,0,0,32,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
18,Ragnar Ache,de,FW,Eint Frankfurt,Bundesliga,22,1998,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
19,Marcos Acuña,ar,DF,Sevilla,La Liga,28,1991,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
20,Che Adams,sct,FW,Southampton,Premier League,24,1996,0,0,0,0,36,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
21,Tyler Adams,us,MF,RB Leipzig,Bundesliga,21,1999,0,0,0,0,27,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
22,Sargis Adamyan,am,FW,Hoffenheim,Bundesliga,27,1993,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
23,Tosin Adarabioyo,eng,DF,Fulham,Premier League,22,1997,0,0,0,0,33,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
24,Enzo Adeagbo,ch,DF,Lazio,it Serie A,18,2002,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
25,Bobby Adekanye,nl,FW,Lazio,it Serie A,21,1999,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
26,Bobby Adekanye,nl,FW,Cádiz,La Liga,21,1999,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
