Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
53,Ruben Aguilar,fr,DF,,Lens,Ligue 1,31,1993,5,270,54,20.0,3.0,3,81,2,2,13,2,1.80,3,0,+3,+1.00,+0.83,5.6,2.2,+3.4,+1.13,Matches
54,Naouirou Ahamada,fr,MF,,Crystal Palace,Premier League,22,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
55,Naouirou Ahamada,fr,MF,,Rennes,Ligue 1,22,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,Matches
56,Honest Ahanor,it,DF,,Genoa,it Serie A,16,2008,2,85,43,5.9,0.9,1,68,0,1,17,10,1.50,1,2,-1,-1.06,-0.39,0.8,2.1,-1.2,-1.31,Matches
57,Erik Ahlstrand,se,FW,MF,St. Pauli,Bundesliga,23,2001,4,34,9,2.7,0.4,0,,0,4,9,2,0.75,1,1,0,0.00,+0.59,1.1,1.1,0.0,+0.06,Matches
58,Jean-Eudes Aholou,ci,MF,,Angers,Ligue 1,30,1994,14,"1,097",78,81.3,12.2,14,78,5,0,,0,0.93,10,19,-9,-0.74,+0.33,12.6,16.2,-3.6,-0.29,Matches
59,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,29,1995,1,2,2,0.1,0.0,0,,0,1,2,11,3.00,1,0,+1,+45.00,+45.24,0.3,0.0,+0.3,+14.69,Matches
60,Romeo Aigbekaen,de,MF,,St. Pauli,Bundesliga,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
61,Ayman Aiki,fr,FW,MF,Saint-Étienne,Ligue 1,19,2005,5,127,25,9.4,1.4,1,58,0,4,17,2,0.00,0,3,-3,-2.13,-0.73,0.3,3.3,-3.1,-2.17,Matches
62,Ola Aina,ng,DF,,Nott'ham Forest,Premier League,28,1996,16,"1,373",86,95.3,15.3,16,86,13,0,,0,1.75,21,18,+3,+0.20,+1.54,19.3,16.3,+3.0,+0.19,Matches
63,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,23,2001,16,"1,366",85,94.9,15.2,16,85,9,0,,0,0.56,24,39,-15,-0.99,+0.23,16.0,25.3,-9.3,-0.61,Matches
64,Junior Ajayi,ci,FW,,Hellas Verona,it Serie A,20,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,Matches
65,Kristoffer Ajer,no,DF,,Brentford,Premier League,26,1998,9,651,72,45.2,7.2,8,80,4,1,15,1,1.11,12,13,-1,-0.14,-0.48,10.8,11.9,-1.2,-0.16,Matches
66,Ludovic Ajorque,fr,FW,,Brest,Ligue 1,30,1994,13,972,75,72.0,10.8,11,83,7,2,28,0,1.23,16,19,-3,-0.28,-0.28,14.3,19.6,-5.3,-0.49,Matches
67,Jonathan Akaegbobi,de,FW,,Wolfsburg,Bundesliga,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
68,Manuel Akanji,ch,DF,,Manchester City,Premier League,29,1995,12,"1,006",84,69.9,11.2,12,84,10,0,,2,1.92,20,15,+5,+0.45,+0.45,22.9,15.9,+7.0,+0.63,Matches
