Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
1,Ismael Aaneba,fr,DF,,Strasbourg,Ligue 1,21,1999,2,11,6,0.3,0.1,0,,0,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.2,-0.2,-1.75,Matches
2,Patrick van Aanholt,nl,DF,,Crystal Palace,Premier League,29,1990,22,"1,777",81,52.0,19.7,20,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,17.1,30.9,-13.8,-0.70,Matches
3,Basit Abdallah,gh,MF,,Benevento,Serie A,20,1999,0,,,,,0,,0,0,,13,,,,,,,,,,,Matches
4,Yunis Abdelhamid,ma,DF,,Reims,Ligue 1,32,1987,33,"2,889",88,84.5,32.1,33,88,32,0,,0,1.18,37,39,-2,-0.06,+0.95,29.1,45.4,-16.2,-0.51,Matches
5,Sabit Abdulai,gh,MF,,Getafe,La Liga,21,1999,3,60,20,1.8,0.7,0,,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.4,-0.4,-0.65,Matches
6,Eris Abedini,xk,MF,,Granada,La Liga,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
7,Mehdi Abeid,dz,MF,,Nantes,Ligue 1,27,1992,18,"1,320",73,38.6,14.7,15,83,10,3,23,1,0.94,13,23,-10,-0.68,-0.77,16.2,22.8,-6.6,-0.45,Matches
8,Laurent Abergel,fr,MF,,Lorient,Ligue 1,27,1993,38,"2,963",78,86.6,32.9,32,85,22,6,40,0,1.11,42,53,-11,-0.33,+1.04,41.8,43.0,-1.2,-0.04,Matches
9,Charles Abi,fr,FW,MF,Saint-Étienne,Ligue 1,20,2000,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.5,16.1,-0.6,-0.06,Matches
10,Matthis Abline,fr,FW,,Rennes,Ligue 1,17,2003,1,2,2,0.1,0.0,0,,0,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.4,0.0,+0.4,+17.75,Matches
