Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
42,Ola Aina,ng,DF,Nott'ham Forest,Premier League,26,1996,18.8,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0
43,Rayan Aït-Nouri,dz,DF/MF,Wolves,Premier League,22,2001,25.9,65,2.51,41,9,6,3,6,0,5,0.19,2,0,0,0,3,0
44,Tosin Aiyegun,bj,MF/FW,Lorient,Ligue 1,25,1998,10.0,13,1.30,12,0,0,0,1,0,1,0.10,0,0,0,0,1,0
45,Kristoffer Ajer,no,DF,Brentford,Premier League,25,1998,20.4,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0
46,Ludovic Ajorque,fr,FW,Mainz 05,Bundesliga,29,1994,15.1,37,2.45,29,1,0,1,5,1,0,0.00,0,0,0,0,0,0
47,Manuel Akanji,ch,DF/MF,Manchester City,Premier League,28,1995,27.9,55,1.97,45,1,0,3,2,4,4,0.14,4,0,0,0,0,0
48,Marley Aké,fr,FW,Udinese,it Serie A,22,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
49,Nathan Aké,nl,DF,Manchester City,Premier League,28,1995,22.7,36,1.59,28,0,2,4,1,1,6,0.26,3,0,1,2,0,0
50,Ilias Akhomach,ma,MF/FW,Villarreal,La Liga,19,2004,16.8,57,3.40,34,2,13,2,5,1,3,0.18,2,0,1,0,0,0
51,Sergio Akieme,es,DF,Almería,La Liga,25,1997,18.6,32,1.72,22,3,4,1,2,0,1,0.05,0,0,0,1,0,0
52,Sergio Akieme,es,DF,Reims,Ligue 1,25,1997,9.1,19,2.09,12,1,3,2,0,1,1,0.11,0,0,0,1,0,0
53,Ebenezer Akinsanmiro,ng,MF,Inter,it Serie A,18,2004,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
54,Maghnes Akliouche,fr,MF/FW,Monaco,Ligue 1,21,2002,17.9,88,4.91,59,11,6,3,4,5,9,0.50,7,0,0,0,0,2
55,Paul Akouokou,ci,MF,Betis,La Liga,25,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
56,Paul Akouokou,ci,MF,Lyon,Ligue 1,25,1997,3.4,6,1.75,4,0,1,0,0,1,0,0.00,0,0,0,0,0,0
57,Jean-Daniel Akpa-Akpro,ci,MF,Monza,it Serie A,30,1992,7.8,5,0.64,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
58,David Akpan Ankeye,ng,FW,Genoa,it Serie A,21,2002,0.6,1,1.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
59,Kevin Akpoguma,ng,DF,Hoffenheim,Bundesliga,28,1995,12.2,16,1.31,13,0,2,0,1,0,3,0.25,3,0,0,0,0,0
60,David Alaba,at,DF,Real Madrid,La Liga,31,1992,12.8,18,1.40,13,4,0,1,0,0,1,0.08,0,1,0,0,0,0
