Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
417,Leandro Cabrera,uy,DF,,Espanyol,La Liga,31,1991,29.7,35,1.18,26,3,0,6,0,0,3,0.10,26,3,0,6,0,0
418,Liberato Cacace,nz,DF,,Empoli,Serie A,21,2000,6.5,23,3.53,13,3,2,4,0,1,1,0.15,13,3,2,4,0,1
419,Anthony Caci,fr,DF,,Mainz 05,Bundesliga,25,1997,22.6,50,2.21,34,11,1,2,2,0,5,0.22,34,11,1,2,2,0
420,Cafú,pt,MF,,Nott'ham Forest,Premier League,29,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
421,Moisés Caicedo,ec,MF,,Brighton,Premier League,20,2001,34.9,88,2.52,81,0,2,3,1,1,5,0.14,81,0,2,3,1,1
422,Tom Cairney,sct,MF,,Fulham,Premier League,31,1991,11.0,45,4.10,35,4,1,2,2,1,3,0.27,35,4,1,2,2,1
423,Jens Cajuste,se,MF,,Reims,Ligue 1,22,1999,17.0,51,3.00,40,0,5,1,1,4,3,0.18,40,0,5,1,1,4
424,Cala,es,DF,,Cádiz,La Liga,32,1989,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
425,Davide Calabria,it,DF,,Milan,Serie A,25,1996,18.8,37,1.97,30,2,0,1,3,1,6,0.32,30,2,0,1,3,1
426,Mattia Caldara,it,DF,,Spezia,Serie A,28,1994,13.9,7,0.50,7,0,0,0,0,0,1,0.07,7,0,0,0,0,0
427,Luca Caldirola,it,DF,,Monza,Serie A,31,1991,26.1,12,0.46,12,0,0,0,0,0,1,0.04,12,0,0,0,0,0
428,Fernando Calero,es,DF,MF,Espanyol,La Liga,26,1995,17.9,22,1.23,20,0,0,1,0,1,4,0.22,20,0,0,1,0,1
429,Duje Ćaleta-Car,hr,DF,,Southampton,Premier League,25,1996,10.5,6,0.57,6,0,0,0,0,0,0,0.00,6,0,0,0,0,0
430,Duje Ćaleta-Car,hr,DF,,Marseille,Ligue 1,25,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
431,Hakan Çalhanoğlu,tr,MF,,Inter,Serie A,28,1994,26.3,131,4.99,75,46,0,5,4,1,11,0.42,75,46,0,5,4,1
432,Kerim Calhanoglu,de,DF,,Schalke 04,Bundesliga,19,2002,0.7,4,5.71,4,0,0,0,0,0,0,0.00,4,0,0,0,0,0
433,Daniel Caligiuri,it,DF,MF,Augsburg,Bundesliga,34,1988,3.2,10,3.09,3,4,0,0,3,0,1,0.31,3,4,0,0,3,0
434,Alexander Callens,pe,DF,,Girona,La Liga,30,1992,1.3,1,0.75,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
435,Dominic Calvert-Lewin,eng,FW,,Everton,Premier League,25,1997,12.9,24,1.85,16,0,5,1,2,0,4,0.31,16,0,5,1,2,0
436,Mahdi Camara,fr,MF,,Brest,Ligue 1,24,1998,20.2,38,1.87,25,0,6,3,2,2,2,0.10,25,0,6,3,2,2
437,Mohamed Camara,gn,MF,,Roma,Serie A,25,1997,7.7,12,1.55,6,0,0,1,1,4,0,0.00,6,0,0,1,1,4
438,Mohamed Camara,ml,MF,,Monaco,Ligue 1,22,2000,24.4,44,1.81,40,0,1,1,2,0,8,0.33,40,0,1,1,2,0
439,Ousmane Camara,gn,FW,MF,Auxerre,Ligue 1,20,2001,0.3,2,7.20,1,0,0,1,0,0,0,0.00,1,0,0,1,0,0
440,Ousmane Camara,fr,DF,,Angers,Ligue 1,19,2003,5.8,1,0.17,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
