Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
492,Jonny Castro,es,DF,,Wolves,Premier League,28,1994,14.0,24,1.71,20,0,0,0,3,1,1,0.07,20,0,0,0,3,1
493,Gaetano Castrovilli,it,MF,,Fiorentina,Serie A,25,1997,8.0,18,2.25,12,2,0,2,1,1,1,0.12,12,2,0,2,1,1
494,Danilo Cataldi,it,MF,,Lazio,Serie A,27,1994,21.3,35,1.64,21,13,0,1,0,0,2,0.09,21,13,0,1,0,0
495,Catena,es,DF,,Rayo Vallecano,La Liga,27,1994,34.5,31,0.90,25,2,0,2,2,0,1,0.03,25,2,0,2,2,0
496,Yoann Cathline,fr,FW,MF,Lorient,Ligue 1,20,2002,12.1,27,2.23,13,2,6,3,2,1,4,0.33,13,2,6,3,2,1
497,Maximiliano Caufriez,be,DF,,Clermont Foot,Ligue 1,25,1997,24.7,12,0.49,11,0,0,1,0,0,1,0.04,11,0,0,1,0,0
498,Edinson Cavani,uy,FW,,Valencia,La Liga,35,1987,16.1,24,1.49,19,1,0,4,0,0,4,0.25,19,1,0,4,0,0
499,Dani Ceballos,es,MF,,Real Madrid,La Liga,25,1996,17.4,81,4.66,60,8,5,2,5,1,9,0.52,60,8,5,2,5,1
500,Pietro Ceccaroni,it,DF,,Lecce,Serie A,26,1995,0.5,1,2.09,0,0,0,1,0,0,0,0.00,0,0,0,1,0,0
501,Federico Ceccherini,it,DF,,Hellas Verona,Serie A,30,1992,15.7,19,1.20,13,2,0,0,0,4,2,0.13,13,2,0,0,0,4
502,Assan Ceesay,gm,FW,,Lecce,Serie A,28,1994,20.1,37,1.84,25,0,5,3,4,0,6,0.30,25,0,5,3,4,0
503,Emil Ceide,no,FW,,Sassuolo,Serie A,20,2001,5.7,19,3.33,15,0,3,0,1,0,3,0.53,15,0,3,0,1,0
504,Zeki Çelik,tr,DF,,Roma,Serie A,25,1997,16.7,40,2.40,33,3,0,1,1,2,5,0.30,33,3,0,1,1,2
505,Álex Centelles,es,DF,,Almería,La Liga,24,1997,12.5,24,1.92,15,7,2,0,0,0,4,0.32,15,7,2,0,0,0
506,Fabien Centonze,fr,DF,,Nantes,Ligue 1,26,1996,18.8,35,1.86,27,3,1,0,4,0,3,0.16,27,3,1,0,4,0
507,Michele Cerofolini,it,GK,,Fiorentina,Serie A,23,1999,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
508,Franco Cervi,ar,MF,DF,Celta Vigo,La Liga,28,1994,21.0,61,2.90,42,8,3,4,4,0,5,0.24,42,8,3,4,4,0
509,Julian Chabot,de,DF,,Köln,Bundesliga,24,1998,20.0,15,0.75,10,0,0,3,1,1,2,0.10,10,0,0,3,1,1
510,Florian Chabrolle,fr,MF,,Ajaccio,Ligue 1,24,1998,3.7,1,0.27,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
511,El Chadaille Bitshiabu,fr,DF,,Paris S-G,Ligue 1,17,2005,6.5,3,0.46,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0
512,Fares Chaïbi,dz,FW,MF,Toulouse,Ligue 1,19,2002,26.0,72,2.77,55,1,5,8,3,0,7,0.27,55,1,5,8,3,0
513,Nathaniel Chalobah,eng,MF,,Fulham,Premier League,27,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
514,Trevoh Chalobah,eng,DF,,Chelsea,Premier League,23,1999,17.9,16,0.90,11,0,1,2,2,0,3,0.17,11,0,1,2,2,0
515,Muhammed Cham,at,MF,,Clermont Foot,Ligue 1,21,2000,21.9,68,3.11,49,8,2,5,4,0,7,0.32,49,8,2,5,4,0
516,Calum Chambers,eng,DF,MF,Aston Villa,Premier League,27,1995,3.9,6,1.53,5,0,0,0,0,1,0,0.00,5,0,0,0,0,1
517,Timothy Chandler,us,DF,,Eint Frankfurt,Bundesliga,32,1990,1.0,3,3.10,2,1,0,0,0,0,0,0.00,2,1,0,0,0,0
518,Gaëtan Charbonnier,fr,FW,MF,Auxerre,Ligue 1,33,1988,2.8,9,3.19,8,0,0,0,1,0,0,0.00,8,0,0,0,1,0
519,Brendan Chardonnet,fr,DF,,Brest,Ligue 1,27,1994,27.7,20,0.72,17,1,0,2,0,0,1,0.04,17,1,0,2,0,0
520,Shea Charles,nir,DF,,Manchester City,Premier League,18,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
521,Xavier Chavalerin,fr,MF,,Troyes,Ligue 1,31,1991,27.0,41,1.52,31,4,2,2,0,2,3,0.11,31,4,2,2,0,2
522,Pep Chavarría,es,FW,MF,Rayo Vallecano,La Liga,24,1998,4.1,19,4.68,15,4,0,0,0,0,2,0.49,15,4,0,0,0,0
523,Ivane Chegra,fr,MF,FW,Ajaccio,Ligue 1,18,2004,2.1,5,2.33,3,1,0,1,0,0,1,0.47,3,1,0,1,0,0
524,Pape Cheikh Diop,sn,MF,,Elche,La Liga,24,1997,0.4,1,2.43,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
525,Rayan Cherki,fr,MF,FW,Lyon,Ligue 1,18,2003,20.8,128,6.15,81,22,19,5,1,0,16,0.77,81,22,19,5,1,0
526,Ilyes Cheti,dz,DF,,Angers,Ligue 1,27,1995,2.3,1,0.43,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
527,Lucas Chevalier,fr,GK,,Lille,Ligue 1,20,2001,32.0,5,0.16,5,0,0,0,0,0,0,0.00,5,0,0,0,0,0
528,Fabio Chiarodia,it,DF,,Werder Bremen,Bundesliga,17,2005,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
529,Federico Chiesa,it,DF,MF,Juventus,Serie A,24,1997,9.5,41,4.34,26,3,7,3,1,1,6,0.63,26,3,7,3,1,1
530,Ben Chilwell,eng,DF,MF,Chelsea,Premier League,25,1996,15.6,39,2.49,19,17,0,1,2,0,4,0.26,19,17,0,1,2,0
531,Vlad Chiricheș,ro,DF,,Cremonese,Serie A,32,1989,10.9,5,0.46,5,0,0,0,0,0,1,0.09,5,0,0,0,0,0
532,Pedro Chirivella,es,MF,,Nantes,Ligue 1,25,1997,22.5,50,2.22,46,1,2,0,0,1,3,0.13,46,1,2,0,0,1
533,Joris Chotard,fr,MF,,Montpellier,Ligue 1,20,2001,27.3,40,1.46,30,4,1,1,1,3,8,0.29,30,4,1,1,1,3
534,Andreas Christensen,dk,DF,,Barcelona,La Liga,26,1996,19.6,15,0.77,15,0,0,0,0,0,2,0.10,15,0,0,0,0,0
535,Oliver Christensen,dk,GK,,Hertha BSC,Bundesliga,23,1999,33.0,7,0.21,5,2,0,0,0,0,1,0.03,5,2,0,0,0,0
536,Ryan Christie,sct,MF,FW,Bournemouth,Premier League,27,1995,20.4,66,3.24,48,5,5,5,3,0,4,0.20,48,5,5,5,3,0
537,Carney Chukwuemeka,eng,MF,FW,Chelsea,Premier League,18,2003,3.9,16,4.07,13,0,0,1,0,2,0,0.00,13,0,0,1,0,2
538,Samuel Chukwueze,ng,FW,MF,Villarreal,La Liga,23,1999,26.0,110,4.23,75,4,24,2,4,1,15,0.58,75,4,24,2,4,1
539,Chumi,es,DF,,Almería,La Liga,23,1999,16.5,11,0.66,9,0,1,0,1,0,0,0.00,9,0,1,0,1,0
540,Darko Churlinov,mk,FW,,Stuttgart,Bundesliga,22,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
541,Víctor Chust,es,DF,,Cádiz,La Liga,22,2000,10.7,5,0.47,4,1,0,0,0,0,0,0.00,4,1,0,0,0,0
542,Tolga Ciğerci,tr,MF,,Hertha BSC,Bundesliga,30,1992,7.5,19,2.54,12,4,1,1,0,1,1,0.13,12,4,1,1,0,1
543,Yanis Cimignani,fr,MF,DF,Ajaccio,Ligue 1,20,2002,3.1,8,2.58,8,0,0,0,0,0,0,0.00,8,0,0,0,0,0
544,Daniel Ciofani,it,FW,,Cremonese,Serie A,37,1985,11.8,24,2.03,17,0,0,5,1,1,4,0.34,17,0,0,5,1,1
545,Tio Cipot,si,FW,MF,Spezia,Serie A,19,2003,1.5,4,2.59,4,0,0,0,0,0,0,0.00,4,0,0,0,0,0
546,Pathé Ciss,sn,MF,DF,Rayo Vallecano,La Liga,28,1994,14.2,21,1.48,19,0,0,1,1,0,0,0.00,19,0,0,1,1,0
547,Souleymane Cissé,fr,DF,,Clermont Foot,Ligue 1,19,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
548,Patrick Ciurria,it,DF,MF,Monza,Serie A,27,1995,30.6,67,2.19,42,12,4,6,2,1,4,0.13,42,12,4,6,2,1
549,Bobby Clark,eng,MF,,Liverpool,Premier League,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
550,Alexis Claude-Maurice,fr,FW,,Nice,Ligue 1,24,1998,0.7,3,4.22,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0
551,Alexis Claude-Maurice,fr,MF,FW,Lens,Ligue 1,24,1998,6.7,15,2.23,9,1,2,2,0,1,3,0.45,9,1,2,2,0,1
552,Jonathan Clauss,fr,DF,,Marseille,Ligue 1,29,1992,28.8,101,3.51,78,3,5,12,0,3,13,0.45,78,3,5,12,0,3
553,Carlos Clerc,es,DF,MF,Elche,La Liga,30,1992,29.3,41,1.40,31,3,1,2,4,0,4,0.14,31,3,1,2,4,0
554,Nathaniel Clyne,eng,DF,,Crystal Palace,Premier League,31,1991,18.2,18,0.99,16,1,0,0,1,0,0,0.00,16,1,0,0,1,0
555,Conor Coady,eng,DF,,Everton,Premier League,29,1993,23.3,16,0.69,14,0,0,1,1,0,1,0.04,14,0,0,1,1,0
556,Nicolò Cocetta,it,DF,,Udinese,Serie A,18,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
557,Marcus Coco,fr,FW,MF,Nantes,Ligue 1,26,1996,7.1,19,2.67,17,0,2,0,0,0,0,0.00,17,0,2,0,0,0
558,Alexandre Coeff,fr,DF,,Auxerre,Ligue 1,30,1992,6.5,3,0.46,2,0,0,1,0,0,1,0.15,2,0,0,1,0,0
559,Jack Colback,eng,MF,,Nott'ham Forest,Premier League,32,1989,5.5,3,0.54,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0
560,Séamus Coleman,ie,DF,,Everton,Premier League,33,1988,18.4,21,1.14,15,1,1,1,3,0,2,0.11,15,1,1,1,3,0
561,David Čolina,hr,DF,FW,Augsburg,Bundesliga,22,2000,1.8,5,2.69,3,1,1,0,0,0,0,0.00,3,1,1,0,0,0
562,Álex Collado,es,MF,,Elche,La Liga,23,1999,8.0,35,4.36,25,6,0,3,1,0,2,0.25,25,6,0,3,1,0
563,Diego Collado,es,FW,,Villarreal,La Liga,21,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
564,Omar Colley,gm,DF,,Sampdoria,Serie A,29,1992,15.4,5,0.33,2,0,0,1,1,1,0,0.00,2,0,0,1,1,1
565,Nathan Collins,ie,DF,,Wolves,Premier League,21,2001,20.2,10,0.50,7,0,1,0,2,0,0,0.00,7,0,1,0,2,0
566,Lorenzo Colombo,it,FW,,Lecce,Serie A,20,2002,16.8,43,2.56,29,0,4,8,2,0,2,0.12,29,0,4,8,2,0
567,Andrea Colpani,it,MF,,Monza,Serie A,23,1999,10.5,38,3.60,23,5,3,4,3,0,2,0.19,23,5,3,4,3,0
568,Levi Colwill,eng,DF,,Brighton,Premier League,19,2003,13.6,18,1.33,16,1,0,1,0,0,2,0.15,16,1,0,1,0,0
569,Kingsley Coman,fr,FW,MF,Bayern Munich,Bundesliga,26,1996,15.7,85,5.43,67,1,9,4,4,0,11,0.70,67,1,9,4,4,0
570,Eray Cömert,ch,DF,,Valencia,La Liga,24,1998,18.6,12,0.65,8,0,1,1,2,0,0,0.00,8,0,1,1,2,0
571,Santi Comesaña,es,MF,,Rayo Vallecano,La Liga,25,1996,27.2,87,3.20,73,1,6,2,2,3,5,0.18,73,1,6,2,2,3
572,Andrea Consigli,it,GK,,Sassuolo,Serie A,35,1987,35.0,6,0.17,5,1,0,0,0,0,0,0.00,5,1,0,0,0,0
573,Abdu Conté,pt,DF,,Troyes,Ligue 1,24,1998,14.6,24,1.64,20,2,0,0,2,0,2,0.14,20,2,0,0,2,0
574,Andrea Conti,it,DF,,Sampdoria,Serie A,28,1994,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
575,Lewis Cook,eng,MF,,Bournemouth,Premier League,25,1997,19.1,39,2.04,27,8,0,0,1,3,4,0.21,27,8,0,0,1,3
576,Steve Cook,eng,DF,,Nott'ham Forest,Premier League,31,1991,10.6,6,0.56,6,0,0,0,0,0,0,0.00,6,0,0,0,0,0
577,Liam Cooper,sct,DF,,Leeds United,Premier League,30,1991,15.8,16,1.01,13,1,0,2,0,0,3,0.19,13,1,0,2,0,0
578,Copete,es,DF,,Mallorca,La Liga,22,1999,24.5,16,0.65,15,0,0,0,1,0,0,0.00,15,0,0,0,1,0
579,Diego Coppola,it,DF,,Hellas Verona,Serie A,18,2003,13.1,9,0.69,6,2,0,0,0,1,0,0.00,6,2,0,0,0,1
580,Francis Coquelin,fr,MF,,Villarreal,La Liga,31,1991,8.3,9,1.09,8,0,0,0,0,1,0,0.00,8,0,0,0,0,1
581,Sébastien Corchia,fr,DF,,Nantes,Ligue 1,31,1990,8.7,15,1.72,11,2,1,0,0,1,4,0.46,11,2,1,0,0,1
582,Alex Cordaz,it,GK,,Inter,Serie A,39,1983,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
583,Maxwel Cornet,ci,FW,,West Ham,Premier League,25,1996,2.7,6,2.23,4,0,1,0,0,1,0,0.00,4,0,1,0,0,1
584,Jesús Corona,mx,FW,,Sevilla,La Liga,29,1993,1.2,5,4.02,4,0,1,0,0,0,1,0.80,4,0,1,0,0,0
585,Ángel Correa,ar,FW,MF,Atlético Madrid,La Liga,27,1995,16.2,61,3.78,45,3,5,6,1,1,11,0.68,45,3,5,6,1,1
586,Joaquín Correa,ar,FW,,Inter,Serie A,27,1994,10.6,37,3.51,27,0,3,5,2,0,3,0.28,27,0,3,5,2,0
587,Thierry Correia,pt,DF,,Valencia,La Liga,23,1999,22.3,43,1.93,29,2,1,0,10,1,2,0.09,29,2,1,0,10,1
588,Alessandro Cortinovis,it,MF,,Hellas Verona,Serie A,21,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
589,Danny da Costa,de,DF,,Mainz 05,Bundesliga,29,1993,13.7,32,2.33,23,5,1,2,0,1,4,0.29,23,5,1,2,0,1
590,David Costa,pt,MF,FW,Lens,Ligue 1,21,2001,15.6,63,4.02,51,1,6,3,1,1,7,0.45,51,1,6,3,1,1
591,Diego Costa,es,FW,,Wolves,Premier League,33,1988,13.8,23,1.67,15,0,3,3,2,0,1,0.07,15,0,3,3,2,0
592,Jaume Costa,es,DF,,Mallorca,La Liga,34,1988,28.9,58,2.01,44,5,1,1,5,2,4,0.14,44,5,1,1,5,2
593,Logan Costa,cv,DF,,Toulouse,Ligue 1,21,2001,4.6,7,1.52,5,0,0,2,0,0,0,0.00,5,0,0,2,0,0
594,Nuno da Costa,cv,FW,MF,Auxerre,Ligue 1,31,1991,22.3,52,2.34,35,0,7,4,5,1,5,0.22,35,0,7,4,5,1
595,Samu Costa,pt,MF,,Almería,La Liga,21,2000,22.1,47,2.13,37,1,1,2,3,3,3,0.14,37,1,1,2,3,3
596,Benoît Costil,fr,GK,,Auxerre,Ligue 1,35,1987,19.0,4,0.21,2,2,0,0,0,0,0,0.00,2,2,0,0,0,0
597,Vladimír Coufal,cz,DF,,West Ham,Premier League,29,1992,23.7,52,2.19,36,13,0,1,2,0,3,0.13,36,13,0,1,2,0
598,Lassana Coulibaly,ml,MF,,Salernitana,Serie A,26,1996,32.1,56,1.74,51,1,1,0,3,0,10,0.31,51,1,1,0,3,0
599,Soumaïla Coulibaly,fr,DF,,Dortmund,Bundesliga,18,2003,0.5,1,2.00,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
600,Tanguy Coulibaly,fr,FW,DF,Stuttgart,Bundesliga,21,2001,3.6,13,3.58,8,1,4,0,0,0,1,0.28,8,1,4,0,0,0
601,Thibaut Courtois,be,GK,,Real Madrid,La Liga,30,1992,31.0,5,0.16,2,3,0,0,0,0,0,0.00,2,3,0,0,0,0
602,Mathieu Coutadeur,fr,MF,,Ajaccio,Ligue 1,36,1986,21.6,26,1.20,24,1,1,0,0,0,1,0.05,24,1,1,0,0,0
603,Philippe Coutinho,br,MF,FW,Aston Villa,Premier League,30,1992,8.8,24,2.74,19,1,3,1,0,0,0,0.00,19,1,3,1,0,0
604,Yan Couto,br,DF,MF,Girona,La Liga,20,2002,12.9,45,3.50,35,2,4,1,2,1,4,0.31,35,2,4,1,2,1
605,Conor Coventry,ie,MF,FW,West Ham,Premier League,22,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
606,Nicolas Cozza,fr,DF,,Montpellier,Ligue 1,23,1999,14.2,18,1.27,15,0,1,1,1,0,2,0.14,15,0,1,1,1,0
607,Nicolas Cozza,fr,DF,,Wolfsburg,Bundesliga,23,1999,1.1,1,0.90,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
608,Alessio Cragno,it,GK,,Monza,Serie A,28,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
609,Matthew Craig,sct,MF,,Tottenham,Premier League,19,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
610,Aaron Cresswell,eng,DF,,West Ham,Premier League,32,1989,24.8,73,2.94,43,27,0,2,1,0,1,0.04,43,27,0,2,1,0
611,Bryan Cristante,it,MF,DF,Roma,Serie A,27,1995,32.6,42,1.29,37,0,0,5,0,0,7,0.21,37,0,0,5,0,0
612,Domen Črnigoj,si,MF,,Salernitana,Serie A,26,1995,3.3,6,1.83,4,0,0,1,0,1,0,0.00,4,0,0,1,0,1
613,Juan Cruz Armada,es,DF,,Osasuna,La Liga,30,1992,22.9,39,1.70,31,6,0,1,0,1,3,0.13,31,6,0,1,0,1
614,Juan Cruz,es,FW,,Betis,La Liga,22,2000,2.0,3,1.52,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0
615,Juan Cuadrado,co,DF,FW,Juventus,Serie A,34,1988,23.1,78,3.38,43,20,5,3,7,0,6,0.26,43,20,5,3,7,0
616,Marc Cucurella,es,DF,,Chelsea,Premier League,24,1998,18.6,27,1.46,21,6,0,0,0,0,3,0.16,21,6,0,0,0,0
617,Jorge Cuenca,es,DF,,Villarreal,La Liga,22,1999,5.6,5,0.89,4,0,0,1,0,0,0,0.00,4,0,0,1,0,0
618,Braian Cufré,ar,DF,,Mallorca,La Liga,25,1996,2.4,3,1.23,2,0,0,0,1,0,0,0.00,2,0,0,0,1,0
619,Mickaël Cuisance,fr,MF,,Sampdoria,Serie A,22,1999,6.9,12,1.75,8,1,2,0,1,0,0,0.00,8,1,2,0,1,0
620,Matheus Cunha,br,FW,,Wolves,Premier League,23,1999,10.7,21,1.96,16,1,1,1,2,0,0,0.00,16,1,1,1,2,0
621,Matheus Cunha,br,FW,MF,Atlético Madrid,La Liga,23,1999,4.2,10,2.38,8,0,0,2,0,0,2,0.48,8,0,0,2,0,0
622,Curro,es,MF,,Almería,La Liga,26,1996,0.5,2,4.19,0,2,0,0,0,0,0,0.00,0,2,0,0,0,0
623,Marco D'Alessandro,it,DF,FW,Monza,Serie A,31,1991,3.2,8,2.49,7,0,0,0,1,0,1,0.31,7,0,0,0,1,0
624,Danilo D'Ambrosio,it,DF,,Inter,Serie A,33,1988,8.1,17,2.09,14,0,1,1,1,0,2,0.25,14,0,1,1,1,0
625,Luca D'Andrea,it,FW,,Sassuolo,Serie A,17,2004,3.5,16,4.56,12,1,2,1,0,0,1,0.28,12,1,2,1,0,0
626,Damien Da Silva,fr,DF,,Lyon,Ligue 1,34,1988,3.8,1,0.27,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
627,Moanes Dabbur,il,FW,,Hoffenheim,Bundesliga,30,1992,10.4,38,3.66,30,0,3,3,1,1,6,0.58,30,0,3,3,1,1
628,Andréa Dacourt,fr,MF,,Nice,Ligue 1,17,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
629,Colin Dagba,fr,DF,MF,Strasbourg,Ligue 1,23,1998,10.6,23,2.16,19,2,1,0,1,0,2,0.19,19,2,1,0,1,0
630,Finn Dahmen,de,GK,,Mainz 05,Bundesliga,24,1998,8.0,3,0.37,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0
631,Mahmoud Dahoud,de,MF,,Dortmund,Bundesliga,26,1996,3.7,6,1.60,5,0,0,1,0,0,1,0.27,5,0,0,1,0,0
632,Patson Daka,zm,FW,,Leicester City,Premier League,23,1998,13.2,28,2.12,19,1,1,5,2,0,7,0.53,19,1,1,5,2,0
633,Thijs Dallinga,nl,FW,,Toulouse,Ligue 1,21,2000,26.1,42,1.61,33,0,1,7,1,0,4,0.15,33,0,1,7,1,0
634,Diogo Dalot,pt,DF,,Manchester Utd,Premier League,23,1999,23.9,52,2.17,48,0,1,2,0,1,2,0.08,48,0,1,2,0,1
635,Muhammed Damar,de,MF,,Hoffenheim,Bundesliga,18,2004,1.8,5,2.83,5,0,0,0,0,0,1,0.57,5,0,0,0,0,0
636,Mikkel Damsgaard,dk,MF,FW,Brentford,Premier League,22,2000,11.0,25,2.28,20,3,0,1,1,0,2,0.18,20,3,0,1,1,0
637,Flavius Daniliuc,at,DF,,Salernitana,Serie A,21,2001,24.4,18,0.74,15,1,0,2,0,0,0,0.00,15,1,0,2,0,0
638,Flavius Daniliuc,at,DF,,Nice,Ligue 1,21,2001,1.0,1,0.99,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
639,Danilo,br,MF,,Nott'ham Forest,Premier League,21,2001,10.8,23,2.12,17,1,3,1,1,0,6,0.55,17,1,3,1,1,0
640,Danilo,br,DF,,Juventus,Serie A,31,1991,35.4,62,1.75,54,1,0,5,2,0,4,0.11,54,1,0,5,2,0
641,Arnaut Danjuma,nl,FW,MF,Tottenham,Premier League,25,1997,1.9,4,2.13,4,0,0,0,0,0,0,0.00,4,0,0,0,0,0
642,Arnaut Danjuma,nl,FW,,Villarreal,La Liga,25,1997,5.3,13,2.44,7,0,1,1,3,1,0,0.00,7,0,1,1,3,1
643,Kévin Danois,fr,MF,,Auxerre,Ligue 1,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
644,Kevin Danso,at,DF,,Lens,Ligue 1,23,1998,35.9,41,1.14,38,0,1,0,2,0,5,0.14,38,0,1,0,2,0
645,Dante,br,DF,,Nice,Ligue 1,38,1983,36.7,34,0.93,30,0,0,3,0,1,3,0.08,30,0,0,3,0,1
646,Márton Dárdai,hu,DF,MF,Hertha BSC,Bundesliga,20,2002,10.5,10,0.95,9,0,0,0,1,0,1,0.10,9,0,0,0,1,0
647,Sergi Darder,es,MF,,Espanyol,La Liga,28,1993,36.9,150,4.07,98,35,8,4,4,1,11,0.30,98,35,8,4,4,1
648,Achraf Dari,ma,DF,,Brest,Ligue 1,23,1999,14.6,7,0.48,3,2,0,0,1,1,2,0.14,3,2,0,0,1,1
649,Vladimír Darida,cz,MF,,Hertha BSC,Bundesliga,31,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
650,Matteo Darmian,it,DF,,Inter,Serie A,32,1989,22.5,39,1.73,33,4,0,0,1,1,4,0.18,33,4,0,0,1,1
651,Josh Dasilva,eng,MF,,Brentford,Premier League,23,1998,15.4,42,2.72,36,1,3,1,1,0,7,0.45,36,1,3,1,1,0
652,David Datro Fofana,ci,FW,,Chelsea,Premier League,19,2002,0.8,6,7.71,2,0,4,0,0,0,0,0.00,2,0,4,0,0,0
653,Juan David Cabal,co,DF,,Hellas Verona,Serie A,21,2001,4.9,8,1.62,7,1,0,0,0,0,0,0.00,7,1,0,0,0,0
654,Jonathan David,ca,FW,,Lille,Ligue 1,22,2000,35.2,116,3.30,84,0,6,13,11,2,13,0.37,84,0,6,13,11,2
655,Alphonso Davies,ca,DF,,Bayern Munich,Bundesliga,21,2000,22.7,88,3.88,76,0,9,1,1,1,8,0.35,76,0,9,1,1,1
656,Ben Davies,wls,DF,,Tottenham,Premier League,29,1993,25.4,37,1.46,33,1,0,3,0,0,7,0.28,33,1,0,3,0,0
657,Tom Davies,eng,MF,,Everton,Premier League,24,1998,6.0,6,1.00,5,0,0,1,0,0,0,0.00,5,0,0,1,0,0
658,Paweł Dawidowicz,pl,DF,,Hellas Verona,Serie A,27,1995,18.1,16,0.88,13,1,0,1,0,1,1,0.06,13,1,0,1,0,1
659,Craig Dawson,eng,DF,,West Ham,Premier League,32,1990,8.0,12,1.50,10,0,0,1,1,0,1,0.12,10,0,0,1,1,0
660,Craig Dawson,eng,DF,,Wolves,Premier League,32,1990,15.7,6,0.38,6,0,0,0,0,0,0,0.00,6,0,0,0,0,0
661,Kevin De Bruyne,be,MF,,Manchester City,Premier League,31,1991,26.9,176,6.55,120,33,8,7,5,3,31,1.15,120,33,8,7,5,3
662,Charles De Ketelaere,be,MF,FW,Milan,Serie A,21,2001,12.4,47,3.79,39,2,4,0,2,0,2,0.16,39,2,4,0,2,0
663,Manuel De Luca,it,FW,MF,Sampdoria,Serie A,24,1998,0.5,1,2.00,0,0,0,0,1,0,0,0.00,0,0,0,0,1,0
664,Tommaso De Nipoti,it,MF,,Atalanta,Serie A,19,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
665,Rodrigo De Paul,ar,MF,,Atlético Madrid,La Liga,28,1994,21.4,88,4.12,77,7,1,0,3,0,11,0.52,77,7,1,0,3,0
666,Mattia De Sciglio,it,DF,,Juventus,Serie A,29,1992,11.6,15,1.30,14,0,0,0,1,0,1,0.09,14,0,0,0,1,0
667,Lorenzo De Silvestri,it,DF,,Bologna,Serie A,34,1988,7.5,11,1.47,11,0,0,0,0,0,0,0.00,11,0,0,0,0,0
668,Thibault De Smet,be,DF,,Reims,Ligue 1,24,1998,19.5,29,1.48,25,3,0,0,0,1,1,0.05,25,3,0,0,0,1
669,Koni De Winter,be,DF,,Empoli,Serie A,20,2002,11.4,5,0.44,5,0,0,0,0,0,0,0.00,5,0,0,0,0,0
670,Grégoire Defrel,mq,FW,,Sassuolo,Serie A,31,1991,13.0,16,1.23,14,0,0,1,1,0,1,0.08,14,0,0,1,1,0
671,Duccio Degl'Innocenti,it,MF,,Empoli,Serie A,19,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
672,Brecht Dejaegere,be,MF,,Toulouse,Ligue 1,31,1991,20.1,48,2.39,40,0,4,2,2,0,6,0.30,40,0,4,2,2,0
673,Romain Del Castillo,fr,MF,FW,Brest,Ligue 1,26,1996,15.8,68,4.31,40,18,3,3,2,2,13,0.82,40,18,3,3,2,2
674,Alberto Del Moral,es,MF,,Villarreal,La Liga,22,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
675,Thomas Delaine,fr,DF,MF,Strasbourg,Ligue 1,30,1992,11.9,23,1.94,19,0,2,0,0,2,4,0.34,19,0,2,0,0,2
676,Thomas Delaney,dk,MF,,Sevilla,La Liga,30,1991,3.4,4,1.17,3,0,0,0,1,0,0,0.00,3,0,0,0,1,0
