Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng,DF,,Norwich City,Premier League,21,2000,32.0,46,1.44,34,3,2,3,3,1,3,0.09,34,3,2,3,3,1,Matches
2,Yunis Abdelhamid,ma,DF,,Reims,Ligue 1,33,1987,33.1,22,0.66,17,0,2,1,0,2,1,0.03,17,0,2,1,0,2,Matches
3,Salis Abdul Samed,gh,MF,,Clermont Foot,Ligue 1,21,2000,27.4,50,1.83,41,0,0,4,4,1,3,0.11,41,0,0,4,4,1,Matches
4,Laurent Abergel,fr,MF,,Lorient,Ligue 1,28,1993,32.8,83,2.53,67,2,3,1,7,3,9,0.27,67,2,3,1,7,3,Matches
5,Charles Abi,fr,FW,,Saint-Étienne,Ligue 1,21,2000,0.5,1,2.00,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
6,Dickson Abiama,ng,FW,,Greuther Fürth,Bundesliga,22,1998,8.1,15,1.85,10,0,0,2,2,1,2,0.25,10,0,0,2,2,1,Matches
7,Matthis Abline,fr,FW,,Rennes,Ligue 1,18,2003,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Tammy Abraham,eng,FW,,Roma,Serie A,23,1997,34.3,94,2.74,62,1,6,17,7,1,14,0.41,62,1,6,17,7,1,Matches
9,Luis Abram,pe,DF,,Granada,La Liga,25,1996,6.2,3,0.48,1,0,0,2,0,0,1,0.16,1,0,0,2,0,0,Matches
10,Francesco Acerbi,it,DF,,Lazio,Serie A,33,1988,28.2,17,0.61,13,1,0,1,2,0,2,0.07,13,1,0,1,2,0,Matches
11,Ragnar Ache,de,MF,FW,Eint Frankfurt,Bundesliga,23,1998,2.9,8,2.78,4,0,1,2,1,0,1,0.35,4,0,1,2,1,0,Matches
12,Mohamed Achi,fr,MF,,Nantes,Ligue 1,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Marcos Acuña,ar,DF,,Sevilla,La Liga,29,1991,25.1,75,2.99,48,19,2,3,3,0,3,0.12,48,19,2,3,3,0,Matches
14,Che Adams,sct,FW,,Southampton,Premier League,25,1996,22.7,51,2.25,32,0,2,4,11,2,5,0.22,32,0,2,4,11,2,Matches
15,Tyler Adams,us,MF,,RB Leipzig,Bundesliga,22,1999,15.0,26,1.73,23,1,1,1,0,0,4,0.27,23,1,1,1,0,0,Matches
16,Sargis Adamyan,am,FW,MF,Hoffenheim,Bundesliga,28,1993,3.7,11,2.98,8,0,2,0,0,1,1,0.27,8,0,2,0,0,1,Matches
17,Martin Adeline,fr,MF,FW,Reims,Ligue 1,17,2003,3.9,10,2.56,8,0,1,0,0,1,0,0.00,8,0,1,0,0,1,Matches
18,Amine Adli,ma,FW,MF,Leverkusen,Bundesliga,21,2000,14.0,49,3.51,39,1,3,4,2,0,6,0.43,39,1,3,4,2,0,Matches
19,Yacine Adli,fr,MF,FW,Bordeaux,Ligue 1,21,2000,25.1,121,4.82,81,22,6,3,5,4,18,0.72,81,22,6,3,5,4,Matches
20,Michel Aebischer,ch,MF,,Bologna,Serie A,24,1997,4.9,10,2.05,9,1,0,0,0,0,0,0.00,9,1,0,0,0,0,Matches
21,Felix Afena-Gyan,gh,FW,MF,Roma,Serie A,18,2003,7.4,23,3.10,14,0,2,2,5,0,2,0.27,14,0,2,2,5,0,Matches
22,Martin Agirregabiria,es,DF,,Alavés,La Liga,25,1996,18.0,32,1.78,25,3,2,0,2,0,3,0.17,25,3,2,0,2,0,Matches
23,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,20,2000,4.0,1,0.25,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
24,Lucien Agoume,fr,MF,,Brest,Ligue 1,19,2002,20.8,35,1.69,28,1,1,4,1,0,2,0.10,28,1,1,4,1,0,Matches
25,Kevin Agudelo,co,MF,FW,Spezia,Serie A,22,1998,13.7,39,2.84,21,0,6,4,4,4,3,0.22,21,0,6,4,4,4,Matches
26,Nayef Aguerd,ma,DF,,Rennes,Ligue 1,25,1996,30.4,15,0.49,10,0,0,4,1,0,4,0.13,10,0,0,4,1,0,Matches
27,Sergio Agüero,ar,FW,,Barcelona,La Liga,33,1988,1.7,3,1.78,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0,Matches
