Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
28,Ruben Aguilar,fr,DF,,Monaco,Ligue 1,28,1993,23.8,32,1.35,25,3,1,1,2,0,4,0.17,25,3,1,1,2,0,Matches
29,Álvaro Aguirre,es,FW,,Rayo Vallecano,La Liga,21,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Naouirou Ahamada,fr,MF,DF,Stuttgart,Bundesliga,19,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Anel Ahmedhodžić,ba,DF,,Bordeaux,Ligue 1,22,1999,15.0,20,1.33,16,1,0,2,0,1,2,0.13,16,1,0,2,0,1,Matches
32,Jean-Eudes Aholou,ci,MF,,Strasbourg,Ligue 1,27,1994,11.2,23,2.06,19,0,1,1,1,1,3,0.27,19,0,1,1,1,1,Matches
33,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,25,1995,29.3,16,0.55,15,0,0,1,0,0,2,0.07,15,0,0,1,0,0,Matches
34,Ola Aina,ng,DF,,Torino,Serie A,24,1996,16.0,37,2.32,29,2,3,0,3,0,1,0.06,29,2,3,0,3,0,Matches
35,Rayan Aït-Nouri,dz,DF,MF,Wolves,Premier League,20,2001,20.3,45,2.22,30,8,4,0,2,1,6,0.30,30,8,4,0,2,1,Matches
36,Kristoffer Ajer,no,DF,,Brentford,Premier League,23,1998,22.2,33,1.50,22,6,2,1,1,1,7,0.32,22,6,2,1,1,1,Matches
37,Ludovic Ajorque,fr,FW,,Strasbourg,Ligue 1,27,1994,30.4,84,2.76,63,0,2,9,9,1,10,0.33,63,0,2,9,9,1,Matches
38,Manuel Akanji,ch,DF,,Dortmund,Bundesliga,26,1995,25.1,16,0.64,12,2,1,1,0,0,1,0.04,12,2,1,1,0,0,Matches
39,Carlos Akapo,gq,DF,,Cádiz,La Liga,28,1993,20.5,26,1.27,17,4,1,1,3,0,1,0.05,17,4,1,1,3,0,Matches
40,Marley Aké,fr,FW,MF,Juventus,Serie A,20,2001,0.9,1,1.18,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
41,Nathan Aké,nl,DF,,Manchester City,Premier League,26,1995,10.3,5,0.49,5,0,0,0,0,0,0,0.00,5,0,0,0,0,0,Matches
42,Ilias Akhomach,ma,FW,,Barcelona,La Liga,17,2004,1.4,9,6.53,5,0,1,1,2,0,0,0.00,5,0,1,1,2,0,Matches
43,Maghnes Akliouche,fr,MF,FW,Monaco,Ligue 1,19,2002,0.6,1,1.67,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
44,Paul Akouokou,ci,MF,,Betis,La Liga,23,1997,5.7,7,1.22,7,0,0,0,0,0,0,0.00,7,0,0,0,0,0,Matches
45,Jean-Daniel Akpa-Akpro,ci,MF,,Lazio,Serie A,28,1992,3.5,3,0.86,2,0,0,1,0,0,0,0.00,2,0,0,1,0,0,Matches
46,Kevin Akpoguma,ng,DF,FW,Hoffenheim,Bundesliga,26,1995,17.0,32,1.89,23,1,3,3,2,0,2,0.12,23,1,3,3,2,0,Matches
47,David Alaba,at,DF,,Real Madrid,La Liga,29,1992,29.4,45,1.53,37,2,1,4,0,1,8,0.27,37,2,1,4,0,1,Matches
48,Sofiane Alakouch,ma,DF,MF,Metz,Ligue 1,23,1998,1.8,4,2.28,2,0,0,0,2,0,0,0.00,2,0,0,0,2,0,Matches
49,Tomás Alarcón,cl,MF,,Cádiz,La Liga,22,1999,15.8,28,1.77,14,12,1,0,0,1,2,0.13,14,12,1,0,0,1,Matches
50,Lucas Alario,ar,FW,,Leverkusen,Bundesliga,28,1992,7.3,27,3.69,17,0,6,2,2,0,4,0.55,17,0,6,2,2,0,Matches
51,Jordi Alba,es,DF,,Barcelona,La Liga,32,1989,29.4,89,3.03,82,3,0,2,2,0,14,0.48,82,3,0,2,2,0,Matches
52,Josué Albert,gf,DF,,Clermont Foot,Ligue 1,29,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Luis Alberto,es,MF,,Lazio,Serie A,28,1992,26.1,120,4.59,83,26,3,3,5,0,16,0.61,83,26,3,3,5,0,Matches
54,Raúl Albiol,es,DF,,Villarreal,La Liga,35,1985,27.4,10,0.37,9,0,0,1,0,0,2,0.07,9,0,0,1,0,0,Matches
55,Marc Albrighton,eng,FW,DF,Leicester City,Premier League,31,1989,12.6,19,1.51,12,4,0,0,3,0,2,0.16,12,4,0,0,3,0,Matches
56,Paco Alcácer,es,FW,,Villarreal,La Liga,27,1993,8.7,15,1.71,12,0,1,2,0,0,6,0.69,12,0,1,2,0,0,Matches
57,Thiago Alcántara,es,MF,,Liverpool,Premier League,30,1991,17.0,67,3.93,57,0,1,7,1,1,6,0.35,57,0,1,7,1,1,Matches
58,Rubén Alcaraz,es,MF,,Cádiz,La Liga,30,1991,12.3,39,3.18,28,5,1,2,3,0,1,0.08,28,5,1,2,3,0,Matches
59,Omar Alderete,py,DF,,Valencia,La Liga,24,1996,26.7,17,0.64,14,1,1,0,0,1,2,0.07,14,1,1,0,0,1,Matches
60,Iván Alejo,es,MF,FW,Cádiz,La Liga,26,1995,11.8,38,3.21,33,1,3,1,0,0,4,0.34,33,1,3,1,0,0,Matches
61,Doğan Alemdar,tr,GK,,Rennes,Ligue 1,18,2002,12.0,1,0.08,1,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
62,Carles Aleñá,es,MF,,Getafe,La Liga,23,1998,25.8,64,2.48,50,2,2,4,6,0,4,0.16,50,2,2,4,6,0,Matches
63,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,22,1998,31.7,160,5.05,96,53,3,7,1,0,18,0.57,96,53,3,7,1,0,Matches
64,Mohamed Ali Cho,fr,FW,,Angers,Ligue 1,17,2004,20.4,42,2.06,23,0,11,2,5,1,7,0.34,23,0,11,2,5,1,Matches
65,Alisson,br,GK,,Liverpool,Premier League,28,1992,36.0,2,0.06,2,0,0,0,0,0,1,0.03,2,0,0,0,0,0,Matches
66,Allan,br,MF,,Everton,Premier League,30,1991,24.3,38,1.57,35,0,1,0,1,1,7,0.29,35,0,1,0,1,1,Matches
67,Jim Allevinah,ga,FW,,Clermont Foot,Ligue 1,26,1995,16.5,53,3.21,32,4,9,6,1,1,3,0.18,32,4,9,6,1,1,Matches
68,Dele Alli,eng,MF,,Tottenham,Premier League,25,1996,7.3,7,0.96,4,0,0,0,3,0,1,0.14,4,0,0,0,3,0,Matches
69,Dele Alli,eng,MF,FW,Everton,Premier League,25,1996,3.8,13,3.46,12,1,0,0,0,0,1,0.27,12,1,0,0,0,0,Matches
70,Miguel Almirón,py,MF,FW,Newcastle Utd,Premier League,27,1994,19.1,49,2.57,36,0,3,8,2,0,4,0.21,36,0,3,8,2,0,Matches
71,Marcos Alonso,es,DF,,Chelsea,Premier League,30,1990,24.1,93,3.86,66,16,3,6,2,0,10,0.42,66,16,3,6,2,0,Matches
72,Giorgio Altare,it,DF,,Cagliari,Serie A,22,1998,16.3,27,1.66,16,3,1,7,0,0,0,0.00,16,3,1,7,0,0,Matches
73,Hugo Álvarez,es,FW,,Celta Vigo,La Liga,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Yeray Álvarez,es,DF,,Athletic Club,La Liga,26,1995,20.7,17,0.82,16,1,0,0,0,0,1,0.05,16,1,0,0,0,0,Matches
75,Dani Alves,br,DF,,Barcelona,La Liga,38,1983,12.2,34,2.79,26,7,0,0,1,0,4,0.33,26,7,0,0,1,0,Matches
76,Steven Alzate,co,MF,,Brighton,Premier League,22,1998,4.5,6,1.34,6,0,0,0,0,0,1,0.22,6,0,0,0,0,0,Matches
77,Ibrahim Amadou,fr,DF,MF,Metz,Ligue 1,28,1993,9.0,9,1.00,8,0,0,0,1,0,0,0.00,8,0,0,0,1,0,Matches
78,Emmanuel Amankwaa Akurugu,gh,DF,,Getafe,La Liga,19,2001,0.9,1,1.14,0,1,0,0,0,0,1,1.14,0,1,0,0,0,0,Matches
79,Daniel Amartey,gh,DF,,Leicester City,Premier League,26,1994,23.6,18,0.76,18,0,0,0,0,0,1,0.04,18,0,0,0,0,0,Matches
80,Amath,sn,FW,MF,Mallorca,La Liga,25,1996,9.8,23,2.34,11,1,2,4,4,1,3,0.31,11,1,2,4,4,1,Matches
81,Jordan Amavi,fr,DF,,Nice,Ligue 1,27,1994,4.6,6,1.31,4,0,0,0,2,0,1,0.22,4,0,0,0,2,0,Matches
82,Jordan Amavi,fr,DF,FW,Marseille,Ligue 1,27,1994,1.4,2,1.41,2,0,0,0,0,0,1,0.70,2,0,0,0,0,0,Matches
83,Wisdom Amey,it,DF,,Bologna,Serie A,15,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Kelvin Amian,fr,DF,,Spezia,Serie A,23,1998,29.4,33,1.12,22,3,3,3,2,0,1,0.03,22,3,3,3,2,0,Matches
85,Nadiem Amiri,de,MF,FW,Genoa,Serie A,24,1996,7.6,30,3.96,24,4,1,0,1,0,1,0.13,24,4,1,0,1,0,Matches
86,Nadiem Amiri,de,MF,FW,Leverkusen,Bundesliga,24,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,5,1,0,0,1,0,Matches
87,Ethan Ampadu,wls,MF,DF,Venezia,Serie A,20,2000,25.4,45,1.77,39,4,1,0,0,1,6,0.24,39,4,1,0,0,1,Matches
88,Sofyan Amrabat,ma,MF,,Fiorentina,Serie A,24,1996,10.5,18,1.72,16,0,1,0,1,0,0,0.00,16,0,1,0,1,0,Matches
89,Joachim Andersen,dk,DF,,Crystal Palace,Premier League,25,1996,32.4,33,1.02,30,1,0,1,0,1,4,0.12,30,1,0,1,0,1,Matches
90,Felipe Anderson,br,FW,,Lazio,Serie A,28,1993,32.1,115,3.59,87,3,10,5,9,1,19,0.59,87,3,10,5,9,1,Matches
91,Sebastian Andersson,se,FW,,Köln,Bundesliga,30,1991,14.0,20,1.43,16,0,0,1,2,1,4,0.29,16,0,0,1,2,1,Matches
92,Florin Andone,ro,FW,,Cádiz,La Liga,28,1993,2.0,4,2.05,3,0,1,0,0,0,0,0.00,3,0,1,0,0,0,Matches
93,Andrés Andrade Cedeño,pa,DF,,Arminia,Bundesliga,22,1998,11.6,7,0.60,6,0,0,1,0,0,1,0.09,6,0,0,1,0,0,Matches
94,Benjamin André,fr,MF,,Lille,Ligue 1,30,1990,30.6,56,1.83,46,2,2,3,1,2,5,0.16,46,2,2,3,1,2,Matches
95,Fredrik André Bjørkan,no,DF,,Hertha BSC,Bundesliga,22,1998,3.9,10,2.55,8,1,0,0,1,0,0,0.00,8,1,0,0,1,0,Matches
96,Marcos André,br,FW,MF,Valencia,La Liga,24,1996,10.8,26,2.40,16,0,1,3,5,1,2,0.18,16,0,1,3,5,1,Matches
97,Robert Andrich,de,MF,,Leverkusen,Bundesliga,26,1994,20.2,38,1.88,27,0,2,5,3,1,6,0.30,27,0,2,5,3,1,Matches
98,José Ángel,es,DF,,Osasuna,La Liga,31,1989,12.0,20,1.66,14,1,3,1,1,0,2,0.17,14,1,3,1,1,0,Matches
99,Angeliño,es,DF,,RB Leipzig,Bundesliga,24,1997,25.5,83,3.25,53,22,3,4,1,0,8,0.31,53,22,3,4,1,0,Matches
100,Ebenezer Annan,gh,DF,,Bologna,Serie A,18,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Cristian Ansaldi,ar,DF,,Torino,Serie A,34,1986,7.7,29,3.79,22,3,2,2,0,0,6,0.78,22,3,2,2,0,0,Matches
102,Janis Antiste,fr,FW,,Spezia,Serie A,18,2002,8.8,14,1.58,12,0,1,1,0,0,0,0.00,12,0,1,1,0,0,Matches
103,Waldemar Anton,de,DF,,Stuttgart,Bundesliga,25,1996,28.8,37,1.28,31,0,1,2,2,1,2,0.07,31,0,1,2,2,1,Matches
104,Josep Antoni Gayá,es,DF,,Mallorca,La Liga,21,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Michail Antonio,jm,FW,,West Ham,Premier League,31,1990,33.0,97,2.94,65,1,11,11,9,0,17,0.51,65,1,11,11,9,0,Matches
106,Christopher Antwi-Adjei,gh,FW,MF,Bochum,Bundesliga,27,1994,12.6,26,2.25,15,1,1,3,6,0,2,0.17,15,1,1,3,6,0,Matches
107,Houssem Aouar,dz,MF,FW,Lyon,Ligue 1,23,1998,27.8,101,3.63,77,3,6,9,4,2,6,0.22,77,3,6,9,4,2,Matches
108,Adil Aouchiche,fr,MF,FW,Saint-Étienne,Ligue 1,19,2002,12.0,38,3.17,21,10,1,1,5,0,5,0.42,21,10,1,1,5,0,Matches
109,Dennis Appiah,fr,DF,,Nantes,Ligue 1,29,1992,23.3,15,0.64,13,1,1,0,0,0,0,0.00,13,1,1,0,0,0,Matches
110,Mauro Arambarri,uy,MF,,Getafe,La Liga,25,1995,29.6,75,2.53,35,31,2,2,3,2,10,0.34,35,31,2,2,3,2,Matches
111,Mattia Aramu,it,MF,FW,Venezia,Serie A,26,1995,23.3,75,3.21,31,22,2,5,15,0,11,0.47,31,22,2,5,15,0,Matches
112,Charles Aránguiz,cl,MF,,Leverkusen,Bundesliga,32,1989,17.5,41,2.34,35,3,1,1,1,0,6,0.34,35,3,1,1,1,0,Matches
113,Néstor Araujo,mx,DF,,Celta Vigo,La Liga,29,1991,29.1,14,0.48,12,0,1,1,0,0,2,0.07,12,0,1,1,0,0,Matches
114,Ronald Araújo,uy,DF,,Barcelona,La Liga,22,1999,25.2,15,0.59,12,0,0,2,1,0,0,0.00,12,0,0,2,1,0,Matches
115,Cameron Archer,eng,FW,MF,Aston Villa,Premier League,20,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Alphonse Areola,fr,GK,,West Ham,Premier League,28,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Jesús Areso,es,DF,,Osasuna,La Liga,22,1999,2.1,4,1.91,1,2,0,0,1,0,0,0.00,1,2,0,0,1,0,Matches
118,Matias Arezo,uy,FW,MF,Granada,La Liga,18,2002,1.8,6,3.33,5,0,0,1,0,0,1,0.56,5,0,0,1,0,0,Matches
119,Santiago Arias,co,DF,,Granada,La Liga,29,1992,4.9,9,1.84,6,1,1,0,1,0,0,0.00,6,1,1,0,1,0,Matches
120,Adam Armstrong,eng,FW,,Southampton,Premier League,24,1997,15.7,36,2.29,22,0,5,6,3,0,3,0.19,22,0,5,6,3,0,Matches
121,Stuart Armstrong,sct,MF,,Southampton,Premier League,29,1992,16.4,54,3.30,42,2,2,3,4,1,3,0.18,42,2,2,3,4,1,Matches
122,Marko Arnautović,at,FW,,Bologna,Serie A,32,1989,29.9,89,2.97,71,0,7,9,2,0,7,0.23,71,0,7,9,2,0,Matches
123,Maximilian Arnold,de,MF,,Wolfsburg,Bundesliga,27,1994,33.3,106,3.19,56,45,2,0,3,0,4,0.12,56,45,2,0,3,0,Matches
124,Kepa Arrizabalaga,es,GK,,Chelsea,Premier League,26,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Tolgay Arslan,de,MF,,Udinese,Serie A,30,1990,18.4,48,2.60,30,5,1,4,7,1,8,0.43,30,5,1,4,7,1,Matches
126,Santiago Arzamendia,py,MF,,Cádiz,La Liga,23,1998,5.2,5,0.96,3,2,0,0,0,0,0,0.00,3,2,0,0,0,0,Matches
127,Takuma Asano,jp,FW,MF,Bochum,Bundesliga,26,1994,17.9,49,2.74,35,0,4,6,3,1,7,0.39,35,0,4,6,3,1,Matches
128,Santiago Ascacíbar,ar,MF,,Hertha BSC,Bundesliga,24,1997,26.4,39,1.48,32,1,1,1,2,2,1,0.04,32,1,1,1,2,2,Matches
129,Sergio Asenjo,es,GK,,Villarreal,La Liga,32,1989,6.0,1,0.17,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
130,Alejandro Asensio,es,FW,,Rayo Vallecano,La Liga,20,2000,0.1,2,13.85,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0,Matches
131,Marco Asensio,es,FW,MF,Real Madrid,La Liga,25,1996,19.2,70,3.64,42,12,5,9,2,0,6,0.31,42,12,5,9,2,0,Matches
132,Harrison Ashby,sct,DF,,West Ham,Premier League,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Kristoffer Askildsen,no,MF,,Sampdoria,Serie A,20,2001,8.4,7,0.84,5,0,2,0,0,0,1,0.12,5,0,2,0,0,0,Matches
134,Fisnik Asllani,xk,MF,FW,Hoffenheim,Bundesliga,18,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
135,Kristjan Asllani,al,MF,,Empoli,Serie A,19,2002,15.0,30,2.00,22,3,0,3,2,0,3,0.20,22,3,0,3,2,0,Matches
136,Iago Aspas,es,FW,,Celta Vigo,La Liga,33,1987,34.3,120,3.50,90,7,6,11,6,0,15,0.44,90,7,6,11,6,0,Matches
137,Lorenz Assignon,tg,DF,,Rennes,Ligue 1,21,2000,6.8,18,2.63,13,0,0,3,2,0,1,0.15,13,0,0,3,2,0,Matches
138,Simon Asta,de,DF,,Greuther Fürth,Bundesliga,20,2001,8.7,11,1.26,8,3,0,0,0,0,1,0.11,8,3,0,0,0,0,Matches
139,Youcef Atal,dz,DF,,Nice,Ligue 1,25,1996,12.7,31,2.45,22,0,3,1,4,1,3,0.24,22,0,3,1,4,1,Matches
140,Pierre-Emerick Aubameyang,ga,FW,,Arsenal,Premier League,32,1989,11.5,22,1.91,14,0,2,4,2,0,3,0.26,14,0,2,4,2,0,Matches
141,Pierre-Emerick Aubameyang,ga,FW,,Barcelona,La Liga,32,1989,12.0,15,1.25,13,0,0,2,0,0,3,0.25,13,0,0,2,0,0,Matches
142,Emil Audero,it,GK,,Sampdoria,Serie A,24,1997,28.4,5,0.18,4,1,0,0,0,0,0,0.00,4,1,0,0,0,0,Matches
143,Tommaso Augello,it,DF,,Sampdoria,Serie A,26,1994,26.6,49,1.84,34,4,5,1,3,2,2,0.08,34,4,5,1,3,2,Matches
144,Jean-Kévin Augustin,fr,FW,MF,Nantes,Ligue 1,24,1997,0.9,1,1.07,0,0,0,1,0,0,0,0.00,0,0,0,1,0,0,Matches
145,Ludwig Augustinsson,se,DF,FW,Sevilla,La Liga,27,1994,8.8,13,1.48,9,3,0,0,0,1,1,0.11,9,3,0,0,0,1,Matches
146,Serge Aurier,ci,DF,,Villarreal,La Liga,28,1992,11.2,16,1.43,13,1,0,2,0,0,1,0.09,13,1,0,2,0,0,Matches
147,Ezequiel Ávila,ar,FW,MF,Osasuna,La Liga,27,1994,20.8,47,2.26,26,4,4,6,7,0,4,0.19,26,4,4,6,7,0,Matches
148,Taiwo Awoniyi,ng,FW,,Union Berlin,Bundesliga,23,1997,24.2,68,2.82,46,0,8,11,3,0,6,0.25,46,0,8,11,3,0,Matches
149,Ramzi Aya,it,DF,,Salernitana,Serie A,30,1990,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,Jordan Ayew,gh,FW,,Crystal Palace,Premier League,29,1991,22.4,61,2.72,41,1,2,3,13,1,6,0.27,41,1,2,3,13,1,Matches
151,Kaan Ayhan,tr,DF,,Sassuolo,Serie A,26,1994,15.0,8,0.53,8,0,0,0,0,0,0,0.00,8,0,0,0,0,0,Matches
152,Luke Ayling,eng,DF,,Leeds United,Premier League,29,1991,25.2,33,1.31,24,1,0,7,0,1,5,0.20,24,1,0,7,0,1,Matches
153,Karim Azamoum,fr,DF,,Troyes,Ligue 1,31,1990,4.3,1,0.23,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
154,Sardar Azmoun,ir,FW,MF,Leverkusen,Bundesliga,26,1995,4.0,13,3.26,12,0,0,1,0,0,1,0.25,12,0,0,1,0,0,Matches
155,César Azpilicueta,es,DF,,Chelsea,Premier League,31,1989,23.0,48,2.09,43,0,2,3,0,0,8,0.35,43,0,2,3,0,0,Matches
156,Iddrisu Baba,gh,MF,,Mallorca,La Liga,25,1996,21.5,26,1.21,20,0,1,4,0,1,3,0.14,20,0,1,4,0,1,Matches
157,Carlos Bacca,co,FW,,Granada,La Liga,34,1986,5.7,13,2.27,9,0,0,2,2,0,2,0.35,9,0,0,2,2,0,Matches
158,Daniel Bachmann,at,GK,,Watford,Premier League,27,1994,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
159,Loïc Bade,fr,DF,,Rennes,Ligue 1,21,2000,10.9,5,0.46,3,0,0,2,0,0,1,0.09,3,0,0,2,0,0,Matches
160,Milan Badelj,hr,MF,,Genoa,Serie A,32,1989,31.6,72,2.28,64,0,1,1,2,4,2,0.06,64,0,1,1,2,4,Matches
161,Édgar Badía,es,GK,,Elche,La Liga,29,1992,24.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
162,Benoît Badiashile,fr,DF,,Monaco,Ligue 1,20,2001,20.4,15,0.73,11,0,0,3,0,1,1,0.05,11,0,0,3,0,1,Matches
163,Youssouph Badji,sn,FW,MF,Brest,Ligue 1,19,2001,1.5,3,1.99,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0,Matches
164,Miguel Baeza,es,DF,,Celta Vigo,La Liga,21,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
165,Nicola Bagnolini,it,GK,,Bologna,Serie A,17,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
166,Issa Bah,lu,FW,,Venezia,Serie A,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
167,Stéphane Bahoken,cm,FW,,Angers,Ligue 1,29,1992,12.2,15,1.23,13,0,0,1,1,0,1,0.08,13,0,0,1,1,0,Matches
168,Leon Bailey,jm,FW,MF,Aston Villa,Premier League,23,1997,8.5,20,2.37,15,0,1,2,2,0,1,0.12,15,0,1,2,2,0,Matches
169,Eric Bailly,ci,DF,,Manchester Utd,Premier League,27,1994,2.4,1,0.41,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
170,Dénys Bain,fr,DF,,Brest,Ligue 1,28,1993,2.0,1,0.50,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
171,Stefan Bajic,fr,GK,,Saint-Étienne,Ligue 1,19,2001,5.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
172,Nedim Bajrami,al,MF,FW,Empoli,Serie A,22,1999,22.8,104,4.55,66,21,8,5,1,3,7,0.31,66,21,8,5,1,3,Matches
173,Cédric Bakambu,cd,FW,,Marseille,Ligue 1,30,1991,4.0,13,3.30,11,0,1,1,0,0,3,0.76,11,0,1,1,0,0,Matches
174,Abdoulaye Bakayoko,fr,DF,,Saint-Étienne,Ligue 1,18,2002,3.4,3,0.88,2,0,0,0,1,0,0,0.00,2,0,0,0,1,0,Matches
