Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
44,Erik Ahlstrand,se,FW,MF,St. Pauli,Bundesliga,23,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Jean-Eudes Aholou,ci,MF,,Angers,Ligue 1,30,1994,12.2,18,1.48,11,0,2,1,2,2,0,0.00,11,0,2,1,2,2,Matches
46,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,29,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Ayman Aiki,fr,FW,MF,Saint-Étienne,Ligue 1,19,2005,1.4,1,0.71,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
48,Ola Aina,ng,DF,,Nott'ham Forest,Premier League,28,1996,15.3,32,2.10,25,4,1,1,0,1,1,0.07,25,4,1,1,0,1,Matches
49,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,23,2001,15.2,35,2.30,24,2,4,3,1,1,5,0.33,24,2,4,3,1,1,Matches
50,Kristoffer Ajer,no,DF,,Brentford,Premier League,26,1998,7.2,8,1.11,8,0,0,0,0,0,2,0.28,8,0,0,0,0,0,Matches
51,Ludovic Ajorque,fr,FW,,Brest,Ligue 1,30,1994,10.8,21,1.94,19,0,0,0,2,0,2,0.19,19,0,0,0,2,0,Matches
52,Manuel Akanji,ch,DF,,Manchester City,Premier League,29,1995,11.2,21,1.88,21,0,0,0,0,0,1,0.09,21,0,0,0,0,0,Matches
53,Ümit Akdag,ro,DF,,Toulouse,Ligue 1,21,2003,2.5,2,0.79,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0,Matches
54,Nathan Aké,nl,DF,,Manchester City,Premier League,29,1995,3.3,4,1.20,4,0,0,0,0,0,0,0.00,4,0,0,0,0,0,Matches
55,Ilias Akhomach,ma,MF,FW,Villarreal,La Liga,20,2004,6.5,29,4.38,17,0,5,1,6,0,1,0.15,17,0,5,1,6,0,Matches
56,Sergio Akieme,es,DF,,Reims,Ligue 1,27,1997,11.9,13,1.10,12,0,0,0,1,0,1,0.08,12,0,0,0,1,0,Matches
57,Maghnes Akliouche,fr,FW,MF,Monaco,Ligue 1,22,2002,10.6,38,3.58,26,1,3,4,2,2,4,0.38,26,1,3,4,2,2,Matches
58,Clément Akpa,ci,DF,,Auxerre,Ligue 1,23,2001,12.0,13,1.08,9,2,0,0,1,1,2,0.17,9,2,0,0,1,1,Matches
59,David Akpan Ankeye,ng,FW,MF,Genoa,Serie A,22,2002,0.5,1,2.00,0,0,0,0,1,0,1,2.00,0,0,0,0,1,0,Matches
60,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,29,1995,10.3,9,0.87,8,1,0,0,0,0,1,0.10,8,1,0,0,0,0,Matches
61,Andreas Albers,dk,FW,,St. Pauli,Bundesliga,34,1990,0.6,2,3.33,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0,Matches
62,Raúl Albiol,es,DF,,Villarreal,La Liga,39,1985,12.2,3,0.25,2,0,0,1,0,0,1,0.08,2,0,0,1,0,0,Matches
