Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Max Aarons,eng,DF,,Bournemouth,Premier League,24,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2,Rodrigo Abajas,es,DF,,Valencia,La Liga,21,2003,0.7,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0
3,James Abankwah,ie,DF,MF,Udinese,Serie A,20,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,2
4,Keyliane Abdallah,fr,FW,,Marseille,Ligue 1,18,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0
5,Yunis Abdelhamid,ma,DF,,Saint-Étienne,Ligue 1,37,1987,10.4,17,11,15,2,0,10,16,62.5,6,22,15,7,12,29,54
6,Himad Abdelli,dz,MF,FW,Angers,Ligue 1,25,1999,14.8,23,17,7,8,8,8,23,34.8,15,8,0,8,12,35,11
7,Mohamed Abdelmoneim,eg,DF,,Nice,Ligue 1,25,1999,5.8,15,11,9,5,1,10,17,58.8,7,6,3,3,13,28,33
8,Ali Abdi,tn,DF,MF,Nice,Ligue 1,30,1993,6.5,16,10,7,4,5,14,21,66.7,7,13,3,10,3,19,13
9,Saud Abdulhamid,sa,DF,,Roma,Serie A,25,1999,1.6,2,1,1,0,1,1,1,100.0,0,1,0,1,1,3,0
10,Abel,es,DF,FW,Osasuna,La Liga,24,2000,11.4,24,17,11,8,5,14,27,51.9,13,15,2,13,10,34,33
11,Nabil Aberdin,fr,MF,,Getafe,La Liga,22,2002,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5
12,Oliver Abildgaard,dk,MF,,Como,Serie A,28,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0
13,Matthis Abline,fr,FW,,Nantes,Ligue 1,21,2003,12.6,6,3,2,2,2,1,6,16.7,5,3,0,3,2,8,20
14,Abner,br,DF,,Lyon,Ligue 1,24,2000,7.3,17,12,7,7,3,12,17,70.6,5,10,1,9,5,22,22
15,Zakaria Aboukhlal,ma,MF,FW,Toulouse,Ligue 1,24,2000,13.1,12,7,5,4,3,4,14,28.6,10,10,0,10,6,18,5
16,Abdel Abqar,ma,DF,,Alavés,La Liga,25,1999,14.5,23,14,14,8,1,11,17,64.7,6,15,10,5,24,47,73
17,Tammy Abraham,eng,FW,,Roma,Serie A,27,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
18,Tammy Abraham,eng,FW,,Milan,Serie A,27,1997,4.9,6,3,0,5,1,1,1,100.0,0,3,0,3,2,8,4
19,Federico Accornero,it,MF,,Genoa,Serie A,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
20,Francesco Acerbi,it,DF,,Inter,Serie A,36,1988,7.4,6,4,5,1,0,2,3,66.7,1,6,6,0,15,21,28
21,Akor Adams,ng,FW,,Montpellier,Ligue 1,24,2000,10.2,3,2,1,1,1,2,3,66.7,1,2,1,1,1,4,4
22,Che Adams,sct,FW,,Torino,Serie A,28,1996,10.5,6,3,1,3,2,0,1,0.0,1,6,3,3,1,7,4
23,Tyler Adams,us,MF,,Bournemouth,Premier League,25,1999,4.1,21,14,6,13,2,8,12,66.7,4,6,3,3,15,36,9
24,Junior Adamu,at,FW,,Freiburg,Bundesliga,23,2001,8.9,3,0,1,1,1,0,4,0.0,4,6,0,6,5,8,9
25,Tosin Adarabioyo,eng,DF,,Chelsea,Premier League,27,1997,3.9,5,4,5,0,0,2,3,66.7,1,3,2,1,3,8,16
26,Martin Adeline,fr,MF,,Reims,Ligue 1,21,2003,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2
27,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,22,2002,3.9,7,5,3,1,3,2,4,50.0,2,6,0,6,1,8,0
28,Simon Adingra,ci,FW,MF,Brighton,Premier League,22,2002,3.9,9,4,5,3,1,4,10,40.0,6,5,0,5,4,13,1
29,Amine Adli,ma,MF,,Leverkusen,Bundesliga,24,2000,2.3,7,4,1,1,5,3,5,60.0,2,3,0,3,0,7,3
30,Yacine Adli,fr,MF,,Fiorentina,Serie A,24,2000,7.2,19,10,8,7,4,11,23,47.8,12,7,1,6,3,22,14
31,Adryelson,br,DF,,Lyon,Ligue 1,26,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1
32,Vasilije Adžić,me,MF,,Juventus,Serie A,18,2006,0.2,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0
33,Michel Aebischer,ch,MF,,Bologna,Serie A,27,1997,4.2,7,4,1,4,2,4,8,50.0,4,3,1,2,5,12,2
34,Oladapo Afolayan,eng,FW,MF,St. Pauli,Bundesliga,26,1998,10.6,13,6,3,6,4,4,11,36.4,7,9,1,8,5,18,9
35,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,27,1997,14.0,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64
36,Asher Agbinone,eng,MF,,Crystal Palace,Premier League,19,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0
37,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,23,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4
38,Lucien Agoume,fr,MF,,Sevilla,La Liga,22,2002,9.5,24,7,10,11,3,11,17,64.7,6,15,6,9,15,39,14
39,Felix Agu,de,DF,,Werder Bremen,Bundesliga,25,1999,8.9,10,5,6,3,1,5,11,45.5,6,6,2,4,8,18,23
40,Álvaro Aguado,es,MF,,Espanyol,La Liga,28,1996,3.5,4,2,2,2,0,2,6,33.3,4,5,0,5,2,6,5
41,Nayef Aguerd,ma,DF,,Real Sociedad,La Liga,28,1996,12.2,19,15,11,8,0,7,13,53.8,6,11,6,5,9,28,46
42,Ruben Aguilar,fr,DF,,Lens,Ligue 1,31,1993,3.0,9,6,5,4,0,7,9,77.8,2,5,1,4,5,14,2
