Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Ismael Aaneba,fr,DF,,Strasbourg,Ligue 1,21,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,Matches
2,Patrick van Aanholt,nl,DF,,Crystal Palace,Premier League,29,1990,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,Matches
3,Yunis Abdelhamid,ma,DF,,Reims,Ligue 1,32,1987,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,Matches
4,Sabit Abdulai,gh,MF,,Getafe,La Liga,21,1999,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,Matches
5,Mehdi Abeid,dz,MF,,Nantes,Ligue 1,27,1992,14.7,34,19,16,14,4,15,30,50.0,15,9,2,7,20,54,10,Matches
6,Laurent Abergel,fr,MF,,Lorient,Ligue 1,27,1993,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,Matches
7,Charles Abi,fr,FW,MF,Saint-Étienne,Ligue 1,20,2000,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,Matches
8,Matthis Abline,fr,FW,,Rennes,Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
9,Pape Abou Cissé,sn,DF,,Saint-Étienne,Ligue 1,24,1995,14.0,15,13,10,5,0,6,10,60.0,4,7,4,3,27,42,87,Matches
10,David Abraham,ar,DF,,Eint Frankfurt,Bundesliga,34,1986,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,Matches
11,Tammy Abraham,eng,FW,,Chelsea,Premier League,22,1997,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,Matches
12,Amir Abrashi,al,MF,DF,Freiburg,Bundesliga,30,1990,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,Matches
13,Gennaro Acampora,it,MF,FW,Spezia,it Serie A,26,1994,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,Matches
14,Francesco Acerbi,it,DF,,Lazio,it Serie A,32,1988,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,Matches
15,Ragnar Ache,de,FW,DF,Eint Frankfurt,Bundesliga,22,1998,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,Matches
16,Marcos Acuña,ar,DF,,Sevilla,La Liga,28,1991,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,Matches
17,Che Adams,sct,FW,,Southampton,Premier League,24,1996,29.6,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,Matches
18,Tyler Adams,us,MF,DF,RB Leipzig,Bundesliga,21,1999,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,Matches
19,Sargis Adamyan,am,FW,MF,Hoffenheim,Bundesliga,27,1993,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,Matches
20,Tosin Adarabioyo,eng,DF,,Fulham,Premier League,22,1997,32.8,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,Matches
21,Bobby Adekanye,nl,FW,MF,Cádiz,La Liga,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,Matches
22,Yacine Adli,fr,MF,,Bordeaux,Ligue 1,20,2000,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,Matches
23,Andrea Adorante,it,FW,,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
24,Adrián,es,GK,,Liverpool,Premier League,33,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,Matches
25,Martin Agirregabiria,es,DF,MF,Alavés,La Liga,24,1996,17.3,32,18,17,12,3,17,33,51.5,16,9,3,6,27,59,36,Matches
26,Lucien Agoume,fr,MF,,Spezia,it Serie A,18,2002,8.9,18,10,11,7,0,6,19,31.6,13,10,5,5,15,33,10,Matches
27,Felix Agu,de,DF,,Werder Bremen,Bundesliga,20,1999,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18,Matches
28,Kevin Agudelo,co,FW,,Spezia,it Serie A,21,1998,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2,Matches
29,Nayef Aguerd,ma,DF,,Rennes,Ligue 1,24,1996,35.0,37,30,28,9,0,21,33,63.6,12,34,22,12,47,84,102,Matches
30,Sergio Agüero,ar,FW,,Manchester City,Premier League,32,1988,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,Matches
31,Ruben Aguilar,fr,DF,MF,Monaco,Ligue 1,27,1993,24.7,63,37,32,21,10,32,52,61.5,20,30,3,27,47,110,43,Matches
32,Naouirou Ahamada,fr,MF,,Stuttgart,Bundesliga,18,2002,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1,Matches
33,Matteo Ahlinvi,bj,MF,,Nîmes,Ligue 1,21,1999,10.0,26,20,10,14,2,11,39,28.2,28,6,0,6,2,28,8,Matches
34,Jean-Eudes Aholou,ci,MF,,Strasbourg,Ligue 1,26,1994,23.8,46,25,18,25,3,19,48,39.6,29,17,5,12,53,99,32,Matches
35,Jean-Eudes Aholou,ci,MF,,Monaco,Ligue 1,26,1994,0.4,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,1,Matches
36,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,24,1995,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,Matches
37,Ola Aina,ng,DF,,Fulham,Premier League,23,1996,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,Matches
38,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,19,2001,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,Matches
39,Rayan Aït-Nouri,dz,DF,,Angers,Ligue 1,19,2001,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1,Matches
40,Semi Ajayi,ng,DF,,West Brom,Premier League,26,1993,30.9,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,Matches
41,Ludovic Ajorque,fr,FW,,Strasbourg,Ligue 1,26,1994,33.0,30,18,6,18,6,7,31,22.6,24,14,5,9,11,41,54,Matches
42,Manuel Akanji,ch,DF,,Dortmund,Bundesliga,25,1995,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70,Matches
43,Carlos Akapo,gq,DF,,Cádiz,La Liga,27,1993,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33,Matches
44,Marley Aké,fr,FW,,Marseille,Ligue 1,19,2001,1.6,3,3,1,0,2,0,1,0.0,1,2,0,2,0,3,1,Matches
45,Nathan Aké,nl,DF,,Manchester City,Premier League,25,1995,8.9,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,Matches
