Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
63,Thiago Alcántara,es,MF,Liverpool,Premier League,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0
64,Carlos Alcaraz,ar,MF,Juventus,it Serie A,20,2002,4.2,165,155,10,7,2,1,1,2,1,0,0,0,143,0,3
65,Rubén Alcaraz,es,MF,Cádiz,La Liga,32,1991,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17
66,Omar Alderete,py,DF,Getafe,La Liga,26,1996,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11
67,Iván Alejo,es,MF,Cádiz,La Liga,28,1995,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32
68,Carles Aleñá,es,MF,Getafe,La Liga,25,1998,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12
69,Trent Alexander-Arnold,eng,DF,Liverpool,Premier League,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23
70,Aboubacar Ali,fr,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,34,34,0,0,0,0,6,0,0,0,0,0,22,0,1
71,Mohamed Ali Cho,fr,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1
72,Mohamed Ali Cho,fr,FW,Nice,Ligue 1,19,2004,9.6,268,245,22,6,1,0,44,0,16,8,7,0,193,1,8
73,Faride Alidou,de,"FW,MF",Köln,Bundesliga,22,2001,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17
74,Nabil Alioui,fr,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,358,289,66,17,6,1,54,1,36,23,13,0,228,3,14
