Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
27,Yacine Adli,fr,MF,FW,Milan,Serie A,22,2000,1.6,76,72,4,1,0,1,6,1,2,0,2,0,49,0,5
28,Michel Aebischer,ch,FW,MF,Bologna,Serie A,25,1997,17.1,674,641,30,10,0,3,21,13,4,1,3,0,557,3,16
29,Felix Afena-Gyan,gh,FW,MF,Cremonese,Serie A,19,2003,9.1,193,185,8,2,0,1,4,5,0,0,0,0,146,0,4
30,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,25,1997,26.5,1493,1433,56,50,7,18,2,4,0,0,0,0,1281,4,11
31,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,21,2000,7.5,241,169,72,10,0,0,0,0,0,0,0,0,171,0,0
32,Lucien Agoume,fr,MF,,Troyes,Ligue 1,20,2002,12.2,744,720,21,15,3,8,9,2,4,3,0,0,619,3,12
33,Felix Agu,de,DF,FW,Werder Bremen,Bundesliga,22,1999,0.5,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2
34,Álvaro Aguado,es,MF,,Valladolid,La Liga,26,1996,21.0,1142,1040,95,50,3,39,57,5,35,3,24,0,930,7,17
35,Kevin Agudelo,co,MF,FW,Spezia,Serie A,23,1998,23.7,735,711,17,2,5,1,34,7,5,3,2,0,531,7,39
36,Nayef Aguerd,ma,DF,,West Ham,Premier League,26,1996,17.7,763,723,36,29,0,21,0,0,0,0,0,0,599,4,5
37,Ruben Aguilar,fr,DF,,Monaco,Ligue 1,29,1993,13.0,847,696,149,18,0,3,39,131,0,0,0,0,696,2,22
38,Naouirou Ahamada,fr,MF,FW,Crystal Palace,Premier League,20,2002,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0
39,Naouirou Ahamada,fr,MF,,Stuttgart,Bundesliga,20,2002,15.5,529,514,13,4,2,1,6,5,0,0,0,0,449,2,13
40,Amar Ahmed,se,FW,,Troyes,Ligue 1,18,2004,0.2,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0
41,Jean-Eudes Aholou,ci,MF,,Strasbourg,Ligue 1,28,1994,14.4,592,576,16,13,3,6,5,1,0,0,0,0,447,0,11
42,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,26,1995,34.7,1766,1710,51,42,0,5,2,8,0,0,0,0,1525,5,13
43,Ola Aina,ng,DF,,Torino,Serie A,25,1996,9.7,544,432,108,8,0,3,35,97,3,0,0,0,402,4,17
44,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,21,2001,12.0,578,487,89,5,0,2,21,81,3,1,2,0,470,2,18
45,Emanuel Aiwum,at,DF,,Cremonese,Serie A,21,2000,18.4,817,715,100,24,1,6,4,67,0,0,0,0,646,2,13
46,Kristoffer Ajer,no,DF,,Brentford,Premier League,24,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8
47,Ludovic Ajorque,fr,FW,,Strasbourg,Ligue 1,28,1994,8.6,255,242,10,1,3,3,0,0,0,0,0,0,178,3,1
48,Ludovic Ajorque,fr,FW,MF,Mainz 05,Bundesliga,28,1994,13.5,415,398,14,1,1,5,4,2,0,0,0,0,243,3,11
49,Manuel Akanji,ch,DF,,Manchester City,Premier League,27,1995,25.4,2056,1999,55,28,0,8,6,27,0,0,0,0,1912,2,8
50,Nathan Aké,nl,DF,,Manchester City,Premier League,27,1995,20.8,1813,1685,126,35,1,6,15,91,0,0,0,0,1639,2,26
51,Sergio Akieme,es,DF,,Almería,La Liga,24,1997,25.5,1061,824,230,25,3,13,70,205,0,0,0,0,821,7,20
52,Babatunde Akinsola,ng,FW,,Valladolid,La Liga,19,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
53,Maghnes Akliouche,fr,MF,FW,Monaco,Ligue 1,20,2002,4.5,168,161,5,1,0,0,10,3,1,1,0,0,130,2,6
54,Paul Akouokou,ci,MF,DF,Betis,La Liga,24,1997,5.0,174,168,4,2,1,2,0,2,0,0,0,0,160,2,3
55,Jean-Daniel Akpa-Akpro,ci,MF,FW,Empoli,Serie A,29,1992,15.1,406,396,9,7,1,3,11,2,0,0,0,0,302,1,20
56,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,27,1995,21.7,1024,966,56,30,1,14,8,26,0,0,0,0,814,2,18
57,David Alaba,at,DF,,Real Madrid,La Liga,30,1992,20.4,1189,1082,98,45,4,3,26,46,3,3,0,0,1042,9,11
58,Ángel Alarcón,es,FW,MF,Barcelona,La Liga,18,2004,0.3,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0
59,Tomás Alarcón,cl,MF,,Cádiz,La Liga,23,1999,2.5,95,88,7,5,1,3,6,0,2,1,1,0,78,0,0
60,Lucas Alario,ar,FW,MF,Eint Frankfurt,Bundesliga,29,1992,3.7,85,80,5,0,0,0,0,0,0,0,0,0,56,0,1
61,Jordi Alba,es,DF,,Barcelona,La Liga,33,1989,15.8,1460,1277,178,40,4,8,91,137,1,0,0,0,1217,5,24
62,Luis Alberto,es,MF,,Lazio,Serie A,29,1992,27.1,1988,1732,246,81,14,7,147,7,117,55,49,0,1640,10,30
63,Raúl Albiol,es,DF,,Villarreal,La Liga,36,1985,23.5,1472,1428,42,34,0,15,1,0,0,0,0,0,1303,2,7
64,Marc Albrighton,eng,FW,MF,Leicester City,Premier League,32,1989,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10
65,Thiago Alcántara,es,MF,,Liverpool,Premier League,31,1991,13.9,1097,1063,31,23,8,15,3,6,0,0,0,0,946,3,22
66,Carlos Alcaraz,ar,MF,FW,Southampton,Premier League,19,2002,11.4,290,279,9,1,2,4,4,1,0,0,0,0,222,2,10
67,Rubén Alcaraz,es,MF,,Cádiz,La Liga,31,1991,22.7,1046,978,63,44,6,27,44,0,15,9,2,2,827,5,17
68,Omar Alderete,py,DF,,Getafe,La Liga,25,1996,22.7,877,826,37,30,1,25,7,7,0,0,0,0,509,14,13
69,Iván Alejo,es,MF,FW,Cádiz,La Liga,27,1995,14.6,392,365,25,5,1,0,108,13,7,2,4,0,219,2,26
70,Doğan Alemdar,tr,GK,,Rennes,Ligue 1,19,2002,4.5,145,96,48,13,0,0,0,0,0,0,0,0,95,1,0
71,Carles Aleñá,es,MF,FW,Getafe,La Liga,24,1998,23.5,809,782,21,8,3,10,43,2,9,5,4,0,607,6,18
72,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,23,1998,32.5,2912,2393,509,70,26,59,252,341,98,16,74,1,2188,10,37
73,Alejandro Alfaro,es,MF,,Elche,La Liga,20,2002,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
74,Ángel Algobia,es,MF,,Getafe,La Liga,23,1999,12.6,521,502,17,15,0,5,11,0,1,1,0,0,420,2,8
