Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Rodrigo Abajas,es,DF,Valencia,La Liga,21,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2
2,James Abankwah,ie,DF,Udinese,it Serie A,20,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Keyliane Abdallah,fr,FW,Marseille,Ligue 1,18,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
4,Yunis Abdelhamid,ma,DF,Saint-Étienne,Ligue 1,37,1987,6.4,290,260,29,15,0,0,0,1,0,0,0,0,253,1,1
5,Himad Abdelli,dz,"MF,FW",Angers,Ligue 1,24,1999,8.8,503,457,44,21,5,1,20,5,5,3,1,0,405,2,8
6,Mohamed Abdelmoneim,eg,DF,Nice,Ligue 1,25,1999,3.8,194,182,12,11,0,5,0,1,0,0,0,0,168,0,1
7,Ali Abdi,tn,"DF,MF",Nice,Ligue 1,30,1993,4.5,188,153,33,2,0,1,13,31,0,0,0,0,142,2,5
8,Abel,es,DF,Osasuna,La Liga,24,2000,8.1,350,249,99,7,0,0,24,92,0,0,0,0,238,2,14
9,Nabil Aberdin,fr,MF,Getafe,La Liga,22,2002,2.6,51,48,2,2,0,1,0,0,0,0,0,0,31,1,1
10,Oliver Abildgaard,dk,MF,Como,it Serie A,28,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Matthis Abline,fr,FW,Nantes,Ligue 1,21,2003,7.8,125,118,7,0,1,3,8,0,0,0,0,0,83,0,10
12,Abner,br,DF,Lyon,Ligue 1,24,2000,6.2,349,291,56,5,1,1,20,45,6,6,0,0,282,2,9
13,Zakaria Aboukhlal,ma,"FW,MF",Toulouse,Ligue 1,24,2000,7.2,127,120,6,0,0,0,12,2,2,2,0,0,77,1,5
14,Abdel Abqar,ma,DF,Alavés,La Liga,25,1999,8.5,270,255,14,13,0,5,1,1,0,0,0,0,190,1,2
15,Tammy Abraham,eng,FW,Roma,it Serie A,27,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Tammy Abraham,eng,FW,Milan,it Serie A,27,1997,3.9,53,46,7,0,1,0,1,0,0,0,0,0,37,0,2
17,Federico Accornero,it,MF,Genoa,it Serie A,20,2004,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1
18,Francesco Acerbi,it,DF,Inter,it Serie A,36,1988,6.3,497,481,15,10,0,0,3,4,0,0,0,0,472,1,0
19,Akor Adams,ng,FW,Montpellier,Ligue 1,24,2000,8.1,111,96,14,0,0,1,4,0,0,0,0,0,67,1,4
20,Che Adams,sct,"FW,MF",Torino,it Serie A,28,1996,6.3,143,131,11,1,1,1,2,1,0,0,0,0,100,1,5
21,Tyler Adams,us,MF,Bournemouth,Premier League,25,1999,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
22,Junior Adamu,at,FW,Freiburg,Bundesliga,23,2001,7.0,139,128,10,0,1,0,2,1,0,0,0,0,86,1,6
23,Tosin Adarabioyo,eng,DF,Chelsea,Premier League,27,1997,1.9,151,140,10,6,0,0,0,0,0,0,0,0,138,1,1
24,Martin Adeline,fr,MF,Reims,Ligue 1,20,2003,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
25,Karim Adeyemi,de,"FW,MF",Dortmund,Bundesliga,22,2002,3.4,82,80,1,0,1,0,1,0,0,0,0,0,60,1,7
26,Simon Adingra,ci,"FW,MF",Brighton,Premier League,22,2002,1.5,67,66,0,0,0,0,9,0,0,0,0,0,42,1,2
27,Amine Adli,ma,MF,Leverkusen,Bundesliga,24,2000,2.3,120,115,5,0,0,1,11,5,0,0,0,0,92,0,3
28,Yacine Adli,fr,MF,Fiorentina,it Serie A,24,2000,3.0,203,185,17,7,0,3,13,1,9,1,8,0,165,1,2
29,Adryelson,br,DF,Lyon,Ligue 1,26,1998,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Vasilije Adžić,me,MF,Juventus,it Serie A,18,2006,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,1
31,Michel Aebischer,ch,MF,Bologna,it Serie A,27,1997,4.2,196,184,10,4,1,1,6,0,6,1,3,0,170,2,2
32,Oladapo Afolayan,eng,"FW,MF",St. Pauli,Bundesliga,26,1998,5.0,99,95,2,0,0,3,14,2,0,0,0,0,69,2,6
33,Emmanuel Agbadou,ci,DF,Reims,Ligue 1,27,1997,9.0,605,564,41,11,1,17,0,1,0,0,0,0,539,0,1
34,Asher Agbinone,eng,MF,Crystal Palace,Premier League,19,2005,0.0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
35,Julen Agirrezabala,es,GK,Athletic Club,La Liga,23,2000,7.4,210,149,59,19,0,0,0,0,0,0,0,0,149,2,0
36,Lucien Agoume,fr,MF,Sevilla,La Liga,22,2002,6.7,365,351,11,7,1,2,3,4,0,0,0,0,296,3,7
37,Felix Agu,de,DF,Werder Bremen,Bundesliga,25,1999,7.4,305,255,49,1,0,2,19,48,0,0,0,0,247,1,8
38,Álvaro Aguado,es,MF,Espanyol,La Liga,28,1996,2.5,125,117,8,6,1,2,9,0,2,0,1,0,99,0,4
39,Nayef Aguerd,ma,DF,Real Sociedad,La Liga,28,1996,6.7,518,495,20,11,0,12,0,2,0,0,0,0,470,3,3
40,Ruben Aguilar,fr,DF,Lens,Ligue 1,31,1993,3.0,205,164,41,3,0,1,9,38,0,0,0,0,165,0,8
41,Honest Ahanor,it,DF,Genoa,it Serie A,16,2008,0.8,11,9,2,0,0,0,1,2,0,0,0,0,8,0,0
42,Jean-Eudes Aholou,ci,MF,Angers,Ligue 1,30,1994,7.0,268,263,3,3,0,0,0,0,0,0,0,0,236,2,1
43,Joseph Aidoo,gh,DF,Celta Vigo,La Liga,29,1995,0.0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1
44,Ayman Aiki,fr,"FW,MF",Saint-Étienne,Ligue 1,19,2005,1.0,17,17,0,0,0,0,1,0,0,0,0,0,10,0,0
45,Ola Aina,ng,DF,Nott'ham Forest,Premier League,28,1996,8.6,395,312,82,6,0,0,18,76,0,0,0,0,294,1,16
46,Rayan Aït-Nouri,dz,DF,Wolves,Premier League,23,2001,8.3,376,308,65,17,0,2,16,46,2,0,1,0,315,3,7
47,Kristoffer Ajer,no,DF,Brentford,Premier League,26,1998,7.1,300,267,32,2,0,3,5,30,0,0,0,0,236,1,10
48,Ludovic Ajorque,fr,FW,Brest,Ligue 1,30,1994,6.8,183,182,1,0,0,3,0,0,0,0,0,0,130,0,5
49,Manuel Akanji,ch,DF,Manchester City,Premier League,29,1995,7.7,694,683,10,6,3,3,8,3,0,0,0,0,654,1,2
