Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Ismael Aaneba,fr,DF,Strasbourg,Ligue 1,21,1999,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Patrick van Aanholt,nl,DF,Crystal Palace,Premier League,29,1990,19.7,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26
3,Yunis Abdelhamid,ma,DF,Reims,Ligue 1,32,1987,32.1,1762,1697,60,60,0,11,0,0,0,0,0,0,1506,5,10
4,Sabit Abdulai,gh,MF,Getafe,La Liga,21,1999,0.7,14,14,0,0,0,1,1,0,0,0,0,0,7,0,1
5,Mehdi Abeid,dz,MF,Nantes,Ligue 1,27,1992,14.7,718,662,52,33,0,9,40,5,14,7,7,0,605,4,7
6,Laurent Abergel,fr,MF,Lorient,Ligue 1,27,1993,32.9,1564,1521,38,31,1,11,26,7,0,0,0,0,1288,5,34
7,Charles Abi,fr,"FW,MF",Saint-Étienne,Ligue 1,20,2000,10.1,202,192,10,0,0,1,3,0,0,0,0,0,128,0,10
8,Matthis Abline,fr,FW,Rennes,Ligue 1,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Pape Abou Cissé,sn,DF,Saint-Étienne,Ligue 1,24,1995,14.0,681,653,27,25,0,18,1,2,0,0,0,0,521,1,2
10,David Abraham,ar,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,678,616,59,17,0,10,13,42,0,0,0,0,558,3,7
11,Tammy Abraham,eng,FW,Chelsea,Premier League,22,1997,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9
12,Amir Abrashi,al,"MF,DF",Freiburg,Bundesliga,30,1990,0.7,23,23,0,0,0,0,0,0,0,0,0,0,18,0,1
13,Gennaro Acampora,it,"MF,FW",Spezia,it Serie A,26,1994,4.9,223,216,5,4,0,6,7,0,1,0,0,0,185,2,1
14,Francesco Acerbi,it,DF,Lazio,it Serie A,32,1988,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11
15,Ragnar Ache,de,"FW,DF",Eint Frankfurt,Bundesliga,22,1998,1.1,32,32,0,0,0,0,1,0,0,0,0,0,19,0,2
16,Marcos Acuña,ar,DF,Sevilla,La Liga,28,1991,25.9,1767,1487,277,46,0,21,119,206,25,2,20,0,1415,3,30
17,Che Adams,sct,FW,Southampton,Premier League,24,1996,29.6,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19
18,Tyler Adams,us,"MF,DF",RB Leipzig,Bundesliga,21,1999,20.6,1375,1273,100,22,0,2,19,78,0,0,0,0,1173,2,17
19,Sargis Adamyan,am,"FW,MF",Hoffenheim,Bundesliga,27,1993,5.3,156,151,5,0,0,2,10,3,0,0,0,0,103,0,10
20,Tosin Adarabioyo,eng,DF,Fulham,Premier League,22,1997,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11
21,Bobby Adekanye,nl,"FW,MF",Cádiz,La Liga,21,1999,0.4,10,10,0,0,0,0,2,0,0,0,0,0,7,0,0
22,Yacine Adli,fr,MF,Bordeaux,Ligue 1,20,2000,26.9,1631,1559,65,40,6,25,53,6,18,7,8,0,1327,7,22
